"SITE_ID", "GROUP_ID", "VARIABLE_GROUP", "SA", "SA_DATE", "SA_COMMENT", "SA_MAX", "SA_APPROACH", "SA_DATE_UNC", 
"US-Me2", "22121", "GRP_SA", , "2014", "mean age of oldes 10% of trees", "106", "increment core", , 
"US-Me3", "24579", "GRP_SA", , "2004", , "18", , , 
"US-Me4", "23807", "GRP_SA", "87", "2001", , , , , 
"US-Me4", "23812", "GRP_SA", "156", "2001", , , , , 
"US-Me4", "24694", "GRP_SA", , "2001", , "89", , , 
"US-Me4", "24703", "GRP_SA", , "2001", , "250", , , 
"US-Me5", "25086", "GRP_SA", "15", "2001", , "23", , , 
"US-Me6", "19685", "GRP_SA", "20", "2010", , "20", , , 
"US-Me6", "22130", "GRP_SA", , "2014", "mean age of oldest 10% of trees", "23", "increment core", , 
"US-MMS", "18321", "GRP_SA", "70", "20020101", "unsure how this was determined", "80", , , 
"US-MOz", "23824", "GRP_SA", "77", "2005", , "102", , , 
"US-NC1", "25075", "GRP_SA", "2", , , , , , 
"US-NC2", "24817", "GRP_SA", "14", , , , , , 
"US-NR1", "24971", "GRP_SA", "100", , "(Date) Not formally determined, only estimated as time since cessation of logging.; approx; Monson et al. Global Change Biology (2002), 8 459-478", , , , 
"US-Oho", "25076", "GRP_SA", "46", , , , , , 
"US-PFa", "26870", "GRP_SA", "138", "2005", "125-150; ~2005; Wetland Stands, P. Bolstad", "150", , , 
"US-PFa", "27019", "GRP_SA", "75", "2005", "70-80; ~2005; Sugar Maple, P. Bolstad", , , , 
"US-PFa", "28545", "GRP_SA", "61", , "From Ryan Anderson WLEF biomass spreadsheet", , , , 
"US-PFa", "29032", "GRP_SA", "18", "2005", "15-20; ~2005; Aspen, P. Bolstad", , , , 
"US-PFa", "29141", "GRP_SA", "38", "2005", "35-40; ~2005; Mean age, P. Bolstad", , , , 
"US-PFa", "29492", "GRP_SA", "65", "2005", "60-70; ~2005; Red Pine, P. Bolstad", , , , 
"US-Slt", "29305", "GRP_SA", , "2004", "ca. 10% of trees, largest in plots", "90", , , 
"US-SO2", "23825", "GRP_SA", "5", "2008", "Before July 2003 stand age of 80 years, mostly resprouts from root stocks after 2003 wildfire", , , , 
"US-SO2", "24226", "GRP_SA", , "2008", , "5", , , 
"US-SO3", "23690", "GRP_SA", "5", , "Before July 2003 stand age of 10 years, previously burned by controlled fire in1993", , , , 
"US-SO3", "24227", "GRP_SA", , , , "5", , , 
"US-SO4", "24205", "GRP_SA", "90", , "Last distrubance by wildfire unknow - estimated age", , , , 
"US-SO4", "24728", "GRP_SA", , , , "90", , , 
"US-SP1", "26764", "GRP_SA", "80", , "Most of the dominat trees are 80 years old", , , , 
"US-SP2", "26912", "GRP_SA", , "2008", , "9", , , 
"US-SP2", "27608", "GRP_SA", "9", "2008", "even aged plantation", , , , 
"US-SP3", "26914", "GRP_SA", "18", "2008", "even-aged plantation", , , , 
"US-SP3", "27068", "GRP_SA", , "2008", , "18", , , 
"US-SRM", "27972", "GRP_SA", "60", "2008", "guesstimate, based on when majority of encroachment happened, mesquite tree encroachment over the last 100 years (M. McClaren, personal communication)", "200", , , 
"US-UMB", "18853", "GRP_SA", "92", "20150101", "After heavy logging, fire swept through the area in 1923 creating an even aged forest", , , "365", 
"US-UMd", "19326", "GRP_SA", "92", "20150101", "After heavy logging, fire swept through the area in 1923 creating an even aged forest", , , "365", 
"US-WBW", "23932", "GRP_SA", "85", , "(range 50-120) ameriflux web page", , , , 
"US-WBW", "24428", "GRP_SA", , , , "120", , , 
"US-WCr", "26877", "GRP_SA", "70", , , , , , 
"US-WCr", "28552", "GRP_SA", "78", "2000", "(range 65-90) Bolstadt et al 2003", , , , 
"US-Wi0", "24950", "GRP_SA", "8", , , , , , 
"US-Wi1", "24183", "GRP_SA", "17", , , , , , 
"US-Wi2", "24560", "GRP_SA", "21", , , , , , 
"US-Wi3", "24823", "GRP_SA", "66", , "(range 65-67) template: MHW02:65; MHW03:66;MHW04:67;", , , , 
"US-Wi4", "24824", "GRP_SA", "66", , "(range 65-67) template: MRP02:64, MRP03:65, MRP04:66, MRP05:67,", , , , 
"US-Wi5", "24561", "GRP_SA", , , , "15", , , 
"US-Wi5", "24815", "GRP_SA", "13", , "(range 10-15) 10_15", , , , 
"US-Wi6", "24683", "GRP_SA", "7", , , "12", , , 
"US-Wi7", "23661", "GRP_SA", "5", , "<5", , , , 
"US-Wi8", "23927", "GRP_SA", "3", , , , , , 
"US-Wi9", "24816", "GRP_SA", "15", , , , , , 
"US-Wrc", "24818", "GRP_SA", "475", , , "500", , , 
