"SITE_ID", "GROUP_ID", "VARIABLE_GROUP", "NEP", "NEP_COMMENT", "NEP_DATE_START", "NEP_DATE_END", "NEP_APPROACH", "NEP_SPATIAL_VARIABILITY", 
"CA-Man", "26504", "GRP_NEP", "84000", "Jan-Dec; Data from Dunn et al. (2007, Global Change Biology 13, 577-590)", "1996", "1997", , , 
"CA-Man", "26645", "GRP_NEP", "-27000", "Jan-Dec; Data from Dunn et al. (2007, Global Change Biology 13, 577-590)", "2002", "2003", , , 
"CA-Man", "26646", "GRP_NEP", "-21000", "Jan-Dec; Data from Dunn et al. (2007, Global Change Biology 13, 577-590)", "2004", "2005", , , 
"CA-Mer", "25454", "GRP_NEP", "75000", "Jan-Dec; measrued followed Fluxnet-Canada protocol, using eddy covariance technique", "2005", "2006", , , 
"CA-Mer", "25707", "GRP_NEP", "80000", "Jan-Dec; measrued followed Fluxnet-Canada protocol, using eddy covariance technique", "2007", "2008", , , 
"CA-Mer", "25831", "GRP_NEP", "57000", "Jan-Dec; measrued followed Fluxnet-Canada protocol, using eddy covariance technique", "1999", "2000", , , 
"CA-Mer", "25945", "GRP_NEP", "138000", "Jan-Dec; measrued followed Fluxnet-Canada protocol, using eddy covariance technique", "2006", "2007", , , 
"CA-Mer", "26210", "GRP_NEP", "25000", "Jan-Dec; measrued followed Fluxnet-Canada protocol, using eddy covariance technique", "2000", "2001", , , 
"CA-Mer", "26339", "GRP_NEP", "-8000", "Jan-Dec; measrued followed Fluxnet-Canada protocol, using eddy covariance technique", "2001", "2002", , , 
"CA-Mer", "26340", "GRP_NEP", "9000", "Jan-Dec; measrued followed Fluxnet-Canada protocol, using eddy covariance technique", "2002", "2003", , , 
"CA-Mer", "26341", "GRP_NEP", "15000", "Jan-Dec; measrued followed Fluxnet-Canada protocol, using eddy covariance technique", "2003", "2004", , , 
"CA-Mer", "26342", "GRP_NEP", "113000", "Jan-Dec; measrued followed Fluxnet-Canada protocol, using eddy covariance technique", "2004", "2005", , , 
"CA-NS1", "23665", "GRP_NEP", "308", "0,154 kgC/m2/y", , , , , 
"CA-NS2", "23936", "GRP_NEP", "352", "0,176 kgC/m2/y", , , , , 
"CA-NS3", "24686", "GRP_NEP", "366", "0,183 kgC/m2/y", , , , , 
"CA-NS5", "24687", "GRP_NEP", "524", "0,262 kgC/m2/y", , , , , 
"CA-NS6", "23666", "GRP_NEP", "404", "0.202 kgC/m2/y", , , , , 
"CA-NS7", "24688", "GRP_NEP", "188", "0,094 kg DM/m2", , , , , 
