"SITE_ID", "GROUP_ID", "VARIABLE_GROUP", "HEIGHTC_COMMENT", "HEIGHTC", "HEIGHTC_STATISTIC", "HEIGHTC_STATISTIC_NUMBER", "HEIGHTC_APPROACH", "HEIGHTC_DATE", "HEIGHTC_DATE_UNC", "HEIGHTC_STATISTIC_TYPE", "HEIGHTC_VEGTYPE", "HEIGHTC_SPATIAL_VARIABILITY", "HEIGHTC_SPATIAL_REP_NUMBER", 
"CA-Man", "88188", "GRP_HEIGHTC", "Mean diameter at breast height (cm) 8.5; Stand density (#/ha) 5450; Gower et al. (1997, J Geophy Res 102, 29029-29041)", "9.1", "Mean", , , "1994", , , , , , 
"CA-Mer", "26459", "GRP_HEIGHTC", , "0.25", , , , , , , , , , 
"CA-NS1", "89123", "GRP_HEIGHTC", "(range 14-18) Black Spruce. From Goulden et al. 2006 Global Change Biology: An eddy covariance mesonet to measure the effect of forest age on land-atmosphere exchange", "16", "Expert estimate", , , "2003", , , , , , 
"CA-NS2", "89124", "GRP_HEIGHTC", "(range 12-20) Black Spruce. From Goulden et al. 2006 Global Change Biology: An eddy covariance mesonet to measure the effect of forest age on land-atmosphere exchange", "16", "Expert estimate", , , "2003", , , , , , 
"CA-NS3", "89125", "GRP_HEIGHTC", "(range 2-7) 5-7 m Jack Pine and Aspen, 2-6 m Black Spruce. From Goulden et al. 2006 Global Change Biology: An eddy covariance mesonet to measure the effect of forest age on land-atmosphere exchange", "4", "Expert estimate", , , "2003", , , , , , 
"CA-NS4", "89126", "GRP_HEIGHTC", "(range 0.10-4) stunted Black Spruce and miscellenous shrubs and grasses. Poorly drained, muskeg analogue to CA-NS3.", "2", "Expert estimate", , , "2004", , , , , , 
"CA-NS5", "89127", "GRP_HEIGHTC", "(range 1-5) Dense stand of 5 m Jack Pine with scattered 5 m Aspen.  Many 1-2 m Black Spruce. From Goulden et al. 2006 Global Change Biology: An eddy covariance mesonet to measure the effect of forest age on land-atmosphere exchange", "5", "Expert estimate", , , "2003", , , , , , 
"CA-NS6", "89128", "GRP_HEIGHTC", "(range 0.2-4) Many 0.2-1 m Black Spruce, 1-2 m Jack Pine, and 0.5-4 m Aspen. From Goulden et al. 2006 Global Change Biology: An eddy covariance mesonet to measure the effect of forest age on land-atmosphere exchange", "2", "Expert estimate", , , "2003", , , , , , 
"CA-NS7", "89129", "GRP_HEIGHTC", "(range 0.10-0.25) Black Spruce. From Goulden et al. 2006 Global Change Biology: An eddy covariance mesonet to measure the effect of forest age on land-atmosphere exchange", "1", "Expert estimate", , , "2003", , , , , , 
"CA-Oas", "88192", "GRP_HEIGHTC", , "21", "Mean", , , "1996", , , , , , 
"CA-Obs", "89119", "GRP_HEIGHTC", "Stand density (#/ha) 5900; Gower et al. (1997, J Geophy Res, 29029-29041)", "11", "Mean", , , "1993", , , , , , 
"CA-Ojp", "25878", "GRP_HEIGHTC", "Mean diameter at breast height (cm) 14.9; Stand density (#/ha) 1024; Data from Alison Deanne Theede (2007)", "16.7", , , , "20040718", , , , , , 
