"SITE_ID", "GROUP_ID", "VARIABLE_GROUP", "HEIGHTC_COMMENT", "HEIGHTC", "HEIGHTC_STATISTIC", "HEIGHTC_STATISTIC_NUMBER", "HEIGHTC_APPROACH", "HEIGHTC_DATE", "HEIGHTC_DATE_UNC", "HEIGHTC_STATISTIC_TYPE", "HEIGHTC_VEGTYPE", "HEIGHTC_SPATIAL_VARIABILITY", "HEIGHTC_SPATIAL_REP_NUMBER", 
"US-GBT", "88598", "GRP_HEIGHTC", , "2.8", "25th Percentile", "190", , "2010", , , , , , 
"US-GBT", "88599", "GRP_HEIGHTC", , "23.1", "90th Percentile", "271", , "2011", , , , , , 
"US-GBT", "88600", "GRP_HEIGHTC", , "24.6", "95th Percentile", "271", , "2011", , , , , , 
"US-GBT", "88601", "GRP_HEIGHTC", , "24.2", "99th Percentile", "190", , "2010", , , , , , 
"US-GBT", "88602", "GRP_HEIGHTC", , "14.9", "Mean", "271", , "2011", , , , , , 
"US-GBT", "88603", "GRP_HEIGHTC", , "10.3", "25th Percentile", "271", , "2011", , , , , , 
"US-GLE", "88604", "GRP_HEIGHTC", , "4.2", "25th Percentile", "414", , "201909", , , , , , 
"US-GLE", "88605", "GRP_HEIGHTC", , "24.2", "99th Percentile", "190", , "2010", , , , , , 
"US-GLE", "88606", "GRP_HEIGHTC", , "6.2", "Median - 50th Percentile", "190", , "2010", , , , , , 
"US-GLE", "88607", "GRP_HEIGHTC", , "1.9", "10th Percentile", "217", , "201808", , , , , , 
"US-GLE", "88608", "GRP_HEIGHTC", , "8.2", "Mean", "190", , "2010", , , , , , 
"US-GLE", "88609", "GRP_HEIGHTC", , "14.9", "Mean", "271", , "2011", , , , , , 
"US-GLE", "88610", "GRP_HEIGHTC", , "20.4", "99th Percentile", "414", , "201909", , , , , , 
"US-GLE", "88611", "GRP_HEIGHTC", , "1.7", "5th Percentile", "217", , "201808", , , , , , 
"US-GLE", "88612", "GRP_HEIGHTC", , "2.8", "25th Percentile", "217", , "201808", , , , , , 
"US-GLE", "88613", "GRP_HEIGHTC", , "12.2", "75th Percentile", "217", , "201808", , , , , , 
"US-GLE", "88614", "GRP_HEIGHTC", , "2.4", "5th Percentile", "414", , "201909", , , , , , 
"US-GLE", "88615", "GRP_HEIGHTC", , "7.8", "10th Percentile", "271", , "2011", , , , , , 
"US-GLE", "88616", "GRP_HEIGHTC", , "8.6", "Mean", "414", , "201909", , , , , , 
"US-GLE", "88617", "GRP_HEIGHTC", , "17.2", "90th Percentile", "190", , "2010", , , , , , 
"US-GLE", "88618", "GRP_HEIGHTC", , "16.9", "95th Percentile", "217", , "201808", , , , , , 
"US-GLE", "88619", "GRP_HEIGHTC", , "2.2", "5th Percentile", "190", , "2010", , , , , , 
"US-GLE", "88620", "GRP_HEIGHTC", , "2.2", "10th Percentile", "190", , "2010", , , , , , 
"US-GLE", "88621", "GRP_HEIGHTC", , "4.9", "Median - 50th Percentile", "217", , "201808", , , , , , 
"US-GLE", "88622", "GRP_HEIGHTC", , "10.3", "25th Percentile", "271", , "2011", , , , , , 
"US-GLE", "88623", "GRP_HEIGHTC", , "6.3", "5th Percentile", "271", , "2011", , , , , , 
"US-GLE", "88624", "GRP_HEIGHTC", , "1.7", "1st Percentile", "414", , "201909", , , , , , 
"US-GLE", "88625", "GRP_HEIGHTC", , "18.7", "99th Percentile", "217", , "201808", , , , , , 
"US-GLE", "88626", "GRP_HEIGHTC", , "14.9", "90th Percentile", "414", , "201909", , , , , , 
"US-GLE", "88627", "GRP_HEIGHTC", , "19.7", "95th Percentile", "190", , "2010", , , , , , 
"US-GLE", "88628", "GRP_HEIGHTC", , "7.2", "Mean", "217", , "201808", , , , , , 
"US-GLE", "88629", "GRP_HEIGHTC", , "12.9", "75th Percentile", "190", , "2010", , , , , , 
"US-GLE", "88630", "GRP_HEIGHTC", , "23.1", "90th Percentile", "271", , "2011", , , , , , 
"US-GLE", "88631", "GRP_HEIGHTC", , "15.5", "90th Percentile", "217", , "201808", , , , , , 
"US-GLE", "88632", "GRP_HEIGHTC", , "2.9", "10th Percentile", "414", , "201909", , , , , , 
"US-GLE", "88633", "GRP_HEIGHTC", , "12.7", "75th Percentile", "414", , "201909", , , , , , 
"US-GLE", "88634", "GRP_HEIGHTC", , "19.2", "75th Percentile", "271", , "2011", , , , , , 
"US-GLE", "88635", "GRP_HEIGHTC", , "27.7", "99th Percentile", "271", , "2011", , , , , , 
"US-GLE", "88636", "GRP_HEIGHTC", , "2.8", "25th Percentile", "190", , "2010", , , , , , 
"US-GLE", "88637", "GRP_HEIGHTC", , "24.6", "95th Percentile", "271", , "2011", , , , , , 
"US-GLE", "88638", "GRP_HEIGHTC", , "17.0", "95th Percentile", "414", , "201909", , , , , , 
"US-GLE", "88639", "GRP_HEIGHTC", , "1.7", "1st Percentile", "190", , "2010", , , , , , 
"US-GLE", "88640", "GRP_HEIGHTC", , "1.5", "1st Percentile", "217", , "201808", , , , , , 
"US-GLE", "88641", "GRP_HEIGHTC", , "14.6", "Median - 50th Percentile", "271", , "2011", , , , , , 
"US-GLE", "88642", "GRP_HEIGHTC", , "7.7", "Median - 50th Percentile", "414", , "201909", , , , , , 
"US-GLE", "88643", "GRP_HEIGHTC", , "4.4", "1st Percentile", "271", , "2011", , , , , , 
"US-Goo", "89114", "GRP_HEIGHTC", "site is occasionally grazed by cattle", "0.05", "Measurement Uncertainty", , , "200205", "15", , , , , 
"US-Goo", "89115", "GRP_HEIGHTC", "site is occasionally grazed by cattle", "0.35", "Mean", , , "200205", "15", , , , , 
"US-Ha1", "89116", "GRP_HEIGHTC", "Height estimate based on visual observation of canopy top relative to tower", "23", "Expert estimate", "1", , "20070601", , , , , , 
"US-Ha1", "89934", "GRP_HEIGHTC", "Height from a sample of trees in permanent plots surrounding tower", "3.40", "Standard Deviation", "67", "Suunto clinometer", "20180710", , "Spatial", , , , 
"US-Ha1", "89936", "GRP_HEIGHTC", "Height from a sample of trees in permanent plots surrounding tower", "25.4", "Mean", "67", "Suunto clinometer", "20180710", , "Spatial", , , , 
"US-Ha2", "24528", "GRP_HEIGHTC", , "21", , , , , , , , , , 
"US-Ho1", "25106", "GRP_HEIGHTC", "emergent PIST", "20", , , , "1999", , , , , , 
"US-Ho2", "24712", "GRP_HEIGHTC", "emergent PIST", "20", , , , "1999", , , , , , 
"US-Ho3", "24459", "GRP_HEIGHTC", , "18", , , , "2005", , , , , , 
"US-IB2", "88240", "GRP_HEIGHTC", , "1.08", "Mean", "3", "average crown height", "20090729", , , , , , 
"US-IB2", "88241", "GRP_HEIGHTC", , "1.45", "Mean", "3", "average crown height", "20130829", , , , , , 
"US-IB2", "88242", "GRP_HEIGHTC", , "0.95", "Mean", "3", "average crown height", "20050629", , , , , , 
"US-IB2", "88243", "GRP_HEIGHTC", , "1.2", "Mean", "3", "average crown height", "20140813", , , , , , 
"US-IB2", "88244", "GRP_HEIGHTC", , "1.83", "Mean", "3", "average crown height", "20120711", , , , , , 
"US-IB2", "88245", "GRP_HEIGHTC", , "1.68", "Mean", "3", "average crown height", "20160927", , , , , , 
"US-IB2", "88246", "GRP_HEIGHTC", , "1.34", "Mean", "3", "average crown height", "20131025", , , , , , 
"US-IB2", "88247", "GRP_HEIGHTC", , "1.05", "Mean", "3", "average crown height", "20150717", , , , , , 
"US-IB2", "88248", "GRP_HEIGHTC", , "1.2", "Mean", "3", "average crown height", "20170808", , , , , , 
"US-IB2", "88249", "GRP_HEIGHTC", , "1.53", "Mean", "3", "average crown height", "20110819", , , , , , 
"US-IB2", "88250", "GRP_HEIGHTC", , "1.32", "Mean", "3", "average crown height", "20110804", , , , , , 
"US-IB2", "88251", "GRP_HEIGHTC", , "1.6", "Mean", "3", "average crown height", "20161014", , , , , , 
"US-IB2", "88252", "GRP_HEIGHTC", , "1.2", "Mean", "3", "average crown height", "20140703", , , , , , 
"US-IB2", "88253", "GRP_HEIGHTC", , "0.6", "Mean", "3", "average crown height", "20090605", , , , , , 
"US-IB2", "88254", "GRP_HEIGHTC", , "1.2", "Mean", "3", "average crown height", "20130801", , , , , , 
"US-IB2", "88255", "GRP_HEIGHTC", , "0.54", "Mean", "3", "average crown height", "20080522", , , , , , 
"US-IB2", "88256", "GRP_HEIGHTC", , "1.02", "Mean", "3", "average crown height", "20130717", , , , , , 
"US-IB2", "88257", "GRP_HEIGHTC", , "1.61", "Mean", "3", "average crown height", "20130913", , , , , , 
"US-IB2", "88258", "GRP_HEIGHTC", , "1.25", "Mean", "3", "average crown height", "20120817", , , , , , 
"US-IB2", "88259", "GRP_HEIGHTC", , "0.87", "Mean", "3", "average crown height", "20060523", , , , , , 
"US-IB2", "88260", "GRP_HEIGHTC", , "1.02", "Mean", "3", "average crown height", "20150819", , , , , , 
"US-IB2", "88261", "GRP_HEIGHTC", , "1.52", "Mean", "3", "average crown height", "20110901", , , , , , 
"US-IB2", "88262", "GRP_HEIGHTC", , "2.12", "Mean", "3", "average crown height", "20060815", , , , , , 
"US-IB2", "88263", "GRP_HEIGHTC", , "1.09", "Mean", "3", "average crown height", "20050809", , , , , , 
"US-IB2", "88264", "GRP_HEIGHTC", , "1.22", "Mean", "3", "average crown height", "20111024", , , , , , 
"US-IB2", "88265", "GRP_HEIGHTC", , "1.7", "Mean", "3", "average crown height", "20090902", , , , , , 
"US-IB2", "88266", "GRP_HEIGHTC", , "1.38", "Mean", "3", "average crown height", "20080715", , , , , , 
"US-IB2", "88267", "GRP_HEIGHTC", , "0.68", "Mean", "3", "average crown height", "20140530", , , , , , 
"US-IB2", "88268", "GRP_HEIGHTC", , "1.36", "Mean", "3", "average crown height", "20060925", , , , , , 
"US-IB2", "88269", "GRP_HEIGHTC", , "1.47", "Mean", "3", "average crown height", "20120928", , , , , , 
"US-IB2", "88270", "GRP_HEIGHTC", , "1.54", "Mean", "3", "average crown height", "20090916", , , , , , 
"US-IB2", "88271", "GRP_HEIGHTC", , "1.47", "Mean", "3", "average crown height", "20160901", , , , , , 
"US-IB2", "88272", "GRP_HEIGHTC", , "1.15", "Mean", "3", "average crown height", "20150914", , , , , , 
"US-IB2", "88273", "GRP_HEIGHTC", , "1.22", "Mean", "3", "average crown height", "20080623", , , , , , 
"US-IB2", "88274", "GRP_HEIGHTC", , "0.94", "Mean", "3", "average crown height", "20150702", , , , , , 
"US-IB2", "88275", "GRP_HEIGHTC", , "0.33", "Mean", "3", "average crown height", "20070522", , , , , , 
"US-IB2", "88276", "GRP_HEIGHTC", , "1.41", "Mean", "3", "average crown height", "20080723", , , , , , 
"US-IB2", "88277", "GRP_HEIGHTC", , "1.25", "Mean", "3", "average crown height", "20070703", , , , , , 
"US-IB2", "88278", "GRP_HEIGHTC", , "1.25", "Mean", "3", "average crown height", "20160722", , , , , , 
"US-IB2", "88279", "GRP_HEIGHTC", , "1.1", "Mean", "3", "average crown height", "20140903", , , , , , 
"US-IB2", "88280", "GRP_HEIGHTC", , "1.22", "Mean", "3", "average crown height", "20100806", , , , , , 
"US-IB2", "88281", "GRP_HEIGHTC", , "0.57", "Mean", "3", "average crown height", "20130607", , , , , , 
"US-IB2", "88282", "GRP_HEIGHTC", , "0.77", "Mean", "3", "average crown height", "20070614", , , , , , 
"US-IB2", "88283", "GRP_HEIGHTC", , "1.2", "Mean", "3", "average crown height", "20160708", , , , , , 
"US-IB2", "88284", "GRP_HEIGHTC", , "1.36", "Mean", "3", "average crown height", "20050921", , , , , , 
"US-IB2", "88285", "GRP_HEIGHTC", , "0.77", "Mean", "3", "average crown height", "20150602", , , , , , 
"US-IB2", "88286", "GRP_HEIGHTC", , "0.67", "Mean", "3", "average crown height", "20070606", , , , , , 
"US-IB2", "88287", "GRP_HEIGHTC", , "0.64", "Mean", "3", "average crown height", "20050606", , , , , , 
"US-IB2", "88288", "GRP_HEIGHTC", , "1.5", "Mean", "3", "average crown height", "20080807", , , , , , 
"US-IB2", "88289", "GRP_HEIGHTC", , "1.07", "Mean", "3", "average crown height", "20051014", , , , , , 
"US-IB2", "88290", "GRP_HEIGHTC", , "1.4", "Mean", "3", "average crown height", "20141008", , , , , , 
"US-IB2", "88291", "GRP_HEIGHTC", , "0.84", "Mean", "3", "average crown height", "20100928", , , , , , 
"US-IB2", "88292", "GRP_HEIGHTC", , "1.27", "Mean", "3", "average crown height", "20171018", , , , , , 
"US-IB2", "88293", "GRP_HEIGHTC", , "1.19", "Mean", "3", "average crown height", "20111009", , , , , , 
"US-IB2", "88294", "GRP_HEIGHTC", , "1.62", "Mean", "3", "average crown height", "20090813", , , , , , 
"US-IB2", "88295", "GRP_HEIGHTC", , "1.44", "Mean", "3", "average crown height", "20050824", , , , , , 
"US-IB2", "88296", "GRP_HEIGHTC", , "1.5", "Mean", "3", "average crown height", "20130814", , , , , , 
"US-IB2", "88297", "GRP_HEIGHTC", , "1.23", "Mean", "3", "average crown height", "20060605", , , , , , 
"US-IB2", "88298", "GRP_HEIGHTC", , "1.13", "Mean", "3", "average crown height", "20170725", , , , , , 
"US-IB2", "88299", "GRP_HEIGHTC", , "1.6", "Mean", "3", "average crown height", "20071109", , , , , , 
"US-IB2", "88300", "GRP_HEIGHTC", , "0.93", "Mean", "3", "average crown height", "20130620", , , , , , 
"US-IB2", "88301", "GRP_HEIGHTC", , "2.15", "Mean", "3", "average crown height", "20060629", , , , , , 
"US-IB2", "88302", "GRP_HEIGHTC", , "1.3", "Mean", "3", "average crown height", "20151002", , , , , , 
"US-IB2", "88303", "GRP_HEIGHTC", , "1.49", "Mean", "3", "average crown height", "20070720", , , , , , 
"US-IB2", "88304", "GRP_HEIGHTC", , "0.95", "Mean", "3", "average crown height", "20101015", , , , , , 
"US-IB2", "88305", "GRP_HEIGHTC", , "1.1", "Mean", "3", "average crown height", "20100716", , , , , , 
"US-IB2", "88306", "GRP_HEIGHTC", , "1.27", "Mean", "3", "average crown height", "20170824", , , , , , 
"US-IB2", "88307", "GRP_HEIGHTC", , "1.39", "Mean", "3", "average crown height", "20050909", , , , , , 
"US-IB2", "88308", "GRP_HEIGHTC", , "1.72", "Mean", "3", "average crown height", "20070905", , , , , , 
"US-IB2", "88309", "GRP_HEIGHTC", , "1.02", "Mean", "3", "average crown height", "20050729", , , , , , 
"US-IB2", "88310", "GRP_HEIGHTC", , "1.08", "Mean", "3", "average crown height", "20150730", , , , , , 
"US-IB2", "88311", "GRP_HEIGHTC", , "0.74", "Mean", "3", "average crown height", "20090623", , , , , , 
"US-IB2", "88312", "GRP_HEIGHTC", , "0.95", "Mean", "3", "average crown height", "20120605", , , , , , 
"US-IB2", "88313", "GRP_HEIGHTC", , "0.35", "Mean", "3", "average crown height", "20130524", , , , , , 
"US-IB2", "88314", "GRP_HEIGHTC", , "0.4", "Mean", "3", "average crown height", "20150518", , , , , , 
"US-IB2", "88315", "GRP_HEIGHTC", , "0.6", "Mean", "3", "average crown height", "20170602", , , , , , 
"US-IB2", "88316", "GRP_HEIGHTC", , "1.54", "Mean", "3", "average crown height", "20160915", , , , , , 
"US-IB2", "88317", "GRP_HEIGHTC", , "1.4", "Mean", "3", "average crown height", "20141022", , , , , , 
"US-IB2", "88318", "GRP_HEIGHTC", , "1.34", "Mean", "3", "average crown height", "20131009", , , , , , 
"US-IB2", "88319", "GRP_HEIGHTC", , "1.07", "Mean", "3", "average crown height", "20090713", , , , , , 
"US-IB2", "88320", "GRP_HEIGHTC", , "1.19", "Mean", "3", "average crown height", "20110920", , , , , , 
"US-IB2", "88321", "GRP_HEIGHTC", , "1.05", "Mean", "3", "average crown height", "20110628", , , , , , 
"US-IB2", "88322", "GRP_HEIGHTC", , "0.88", "Mean", "3", "average crown height", "20160621", , , , , , 
"US-IB2", "88323", "GRP_HEIGHTC", , "1.27", "Mean", "3", "average crown height", "20170922", , , , , , 
"US-IB2", "88324", "GRP_HEIGHTC", , "1.07", "Mean", "3", "average crown height", "20151014", , , , , , 
"US-IB2", "88325", "GRP_HEIGHTC", , "0.5", "Mean", "3", "average crown height", "20120517", , , , , , 
"US-IB2", "88326", "GRP_HEIGHTC", , "1.2", "Mean", "3", "average crown height", "20100831", , , , , , 
"US-IB2", "88327", "GRP_HEIGHTC", , "1", "Mean", "3", "average crown height", "20100607", , , , , , 
"US-IB2", "88328", "GRP_HEIGHTC", , "1.76", "Mean", "3", "average crown height", "20071004", , , , , , 
"US-IB2", "88329", "GRP_HEIGHTC", , "1.12", "Mean", "3", "average crown height", "20100625", , , , , , 
"US-IB2", "88330", "GRP_HEIGHTC", , "0.37", "Mean", "3", "average crown height", "20110524", , , , , , 
"US-IB2", "88331", "GRP_HEIGHTC", , "1.42", "Mean", "3", "average crown height", "20120801", , , , , , 
"US-IB2", "88332", "GRP_HEIGHTC", , "1.75", "Mean", "3", "average crown height", "20120625", , , , , , 
"US-IB2", "88333", "GRP_HEIGHTC", , "1.71", "Mean", "3", "average crown height", "20130926", , , , , , 
"US-IB2", "88334", "GRP_HEIGHTC", , "2.68", "Mean", "3", "average crown height", "20060717", , , , , , 
"US-IB2", "88335", "GRP_HEIGHTC", , "1.28", "Mean", "3", "average crown height", "20130705", , , , , , 
"US-IB2", "88336", "GRP_HEIGHTC", , "1.25", "Mean", "3", "average crown height", "20140919", , , , , , 
"US-IB2", "88337", "GRP_HEIGHTC", , "1.06", "Mean", "3", "average crown height", "20170623", , , , , , 
"US-IB2", "88338", "GRP_HEIGHTC", , "1.22", "Mean", "3", "average crown height", "20160809", , , , , , 
"US-IB2", "88339", "GRP_HEIGHTC", , "1.35", "Mean", "3", "average crown height", "20120906", , , , , , 
"US-IB2", "88340", "GRP_HEIGHTC", , "0.92", "Mean", "3", "average crown height", "20150616", , , , , , 
"US-IB2", "88341", "GRP_HEIGHTC", , "1.02", "Mean", "3", "average crown height", "20080611", , , , , , 
"US-IB2", "88342", "GRP_HEIGHTC", , "1.35", "Mean", "3", "average crown height", "20140728", , , , , , 
"US-IB2", "88343", "GRP_HEIGHTC", , "1.22", "Mean", "3", "average crown height", "20110714", , , , , , 
"US-IB2", "88344", "GRP_HEIGHTC", , "0.44", "Mean", "3", "average crown height", "20100519", , , , , , 
"US-Ivo", "89480", "GRP_HEIGHTC", , "0.3", "Mean", , , "20050101", , , , , , 
"US-KS1", "88348", "GRP_HEIGHTC", "Stem density in February of 2003 was 18 +/- 8 stems per ha.  The dense understory was 2 m in mean height sampled from 20 2.16-m2 inventory plots.", "13", "Mean", , "point-centered quarter along two transects", "20030215", "10", , , , , 
"US-KS2", "88576", "GRP_HEIGHTC", , "1.5", "Mean", "12", "estimated from 12 2.16m2 inventory plots", "20030128", "2", , , , , 
"US-Lin", "88367", "GRP_HEIGHTC", "the single observation is representative of the canopy height at the site since the citrus trees were all pruned at the same height to facilitate harvesting operations", "3.7", "Single observation", , , "200910010000", , , , , , 
"US-Los", "88194", "GRP_HEIGHTC", "From Ameriflux Site Info Page", "2", "Mean", , , "20050404", , , , , , 
"US-LPH", "24915", "GRP_HEIGHTC", , "16.5", , , , , , , , , , 
"US-LWW", "89113", "GRP_HEIGHTC", , "0.4", "Mean", , , "19960420", , , , , , 
"US-Me1", "88577", "GRP_HEIGHTC", "Mean estimated from median assuming normal distribution", "7.2", "Mean", , , "2004", , , , , , 
"US-Me2", "89132", "GRP_HEIGHTC", , "0.7", "Standard Deviation", , "laser rangefinder", "2011", , , , , , 
"US-Me2", "89133", "GRP_HEIGHTC", , "1.52", "Standard Deviation", , "laser rangefinder", "20140429", , , , , , 
"US-Me2", "89134", "GRP_HEIGHTC", , "14", "Mean", , "laser rangefinder", "2001", , , , , , 
"US-Me2", "89135", "GRP_HEIGHTC", , "16.49", "Mean", , "laser rangefinder", "20140429", , , , , , 
"US-Me2", "89136", "GRP_HEIGHTC", , "16.5", "Mean", , "laser rangefinder", "2011", , , , , , 
"US-Me3", "88649", "GRP_HEIGHTC", , "3.11", "Mean", , , "20030630", , , , , , 
"US-Me4", "89144", "GRP_HEIGHTC", "Law, B.E., S. Van Tuyl, A. Cescatti, D.D. Baldocchi. 2001. Estimation of leaf area index in open-canopy ponderosa pine forests at different successional stages and management regimes in Oregon. Agricultural and Forest Meteorology 108:1-14.", "16.5", "Mean", , "weighted-mean of 3 1-ha plots (young, mixed, old stands) with weights based on relative spatial area of plot type in the old-growth forest", "1999", , , , , , 
"US-Me5", "88346", "GRP_HEIGHTC", , "4.3", "Mean", , , "2001", , , , , , 
"US-Me6", "89137", "GRP_HEIGHTC", , "6.51", "Mean", , "laser rangefinder", "20140430", , , , , , 
"US-Me6", "89138", "GRP_HEIGHTC", , "0.35", "Standard Deviation", , "laser rangefinder", "20140430", , , , , , 
"US-Me6", "89139", "GRP_HEIGHTC", , "5.2", "Mean", , , "20100609", , , , , , 
"US-MMS", "88578", "GRP_HEIGHTC", "number of points refers to the number of LIDAR returns used to estimated the statistic. Each pixel is 100 m^2; the total area used in calculating the statistic is 37400 m^2.", "36.3", "Maximum", "374", "airborne lidar", "201808091200", "0", , , , , 
"US-MMS", "88579", "GRP_HEIGHTC", "number of points refers to the number of LIDAR returns used to estimated the statistic. Each pixel is 100 m^2; the total area used in calculating the statistic is 37400 m^2.", "25", "Mean", "374", "airborne lidar", "201808091200", "0", , , , , 
"US-MMS", "88580", "GRP_HEIGHTC", "number of points refers to the number of LIDAR returns used to estimated the statistic. Each pixel is 100 m^2; the total area used in calculating the statistic is 37400 m^2.", "5", "Standard Deviation", "374", "airborne lidar", "201808091200", "0", , , , , 
"US-MMS", "88581", "GRP_HEIGHTC", "number of points refers to the number of LIDAR returns used to estimated the statistic. Each pixel is 100 m^2; the total area used in calculating the statistic is 37400 m^2.", "4", "Minimum", "374", "airborne lidar", "201808091200", "0", , , , , 
"US-MMS", "88582", "GRP_HEIGHTC", "this is the original mean canopy height reported in the earliest pubs from Morgan-Mornoe", "27", "Mean", "1", "measured from tower", "199901010000", "200", , , , , 
"US-MOz", "24325", "GRP_HEIGHTC", , "24.2", , , , "20070407", , , , , , 
"US-Myb", "88370", "GRP_HEIGHTC", "Green plants from 30cm x 30cm plots 7m to 10m apart along a transect upwind from the tower. From Sophie", "2.237", "Mean", "35", "Tape measure from ground to top of plant", "20160802", , "Spatial", "Aerenchymatous Plants", , , 
"US-Myb", "88371", "GRP_HEIGHTC", "Average: Green plants from 30cm x 30cm plots 7m to 10m apart along a transect upwind from the tower. From Sophie", "48", "Standard Deviation", "53", "Tape measure from ground to top of plant", "20140801", , "Spatial", "Aerenchymatous Plants", , , 
"US-Myb", "88372", "GRP_HEIGHTC", "Green plants from 30cm x 30cm plots 7m to 10m apart along a transect upwind from the tower. From Sophie", "0.587", "Standard Deviation", "23", "Tape measure from ground to top of plant", "20170727", , "Spatial", "Aerenchymatous Plants", , , 
"US-Myb", "88373", "GRP_HEIGHTC", "Green plants from 30cm x 30cm plots 7m to 10m apart along a transect upwind from the tower. From Sophie", "0.384", "Standard Deviation", "22", "Tape measure from ground to top of plant", "20150811", , "Spatial", "Aerenchymatous Plants", , , 
"US-Myb", "88374", "GRP_HEIGHTC", "Green plants from 30cm x 30cm plots 7m to 10m apart along a transect upwind from the tower. From Sophie", "2.664", "Mean", "22", "Tape measure from ground to top of plant", "20150811", , "Spatial", "Aerenchymatous Plants", , , 
"US-Myb", "88375", "GRP_HEIGHTC", "Green plants from 30cm x 30cm plots 7m to 10m apart along a transect upwind from the tower. From Sophie", "2.285", "Mean", "23", "Tape measure from ground to top of plant", "20170727", , "Spatial", "Aerenchymatous Plants", , , 
"US-Myb", "88376", "GRP_HEIGHTC", "Green plants from 30cm x 30cm plots 7m to 10m apart along a transect upwind from the tower. From Sophie", "0.276", "Standard Deviation", "35", "Tape measure from ground to top of plant", "20160802", , "Spatial", "Aerenchymatous Plants", , , 
"US-NC1", "24400", "GRP_HEIGHTC", , "0.35", , , , , , , , , , 
"US-NC2", "24785", "GRP_HEIGHTC", , "14", , , , , , , , , , 
"US-Ne1", "88653", "GRP_HEIGHTC", , "0.000", "Mean", , , "20010516", , , , , , 
"US-Ne1", "88654", "GRP_HEIGHTC", , "0.168", "Mean", , , "20010529", , , , , , 
"US-Ne1", "88655", "GRP_HEIGHTC", , "0.520", "Mean", , , "20010613", , , , , , 
"US-Ne1", "88656", "GRP_HEIGHTC", , "0.882", "Mean", , , "20010621", , , , , , 
"US-Ne1", "88657", "GRP_HEIGHTC", , "1.208", "Mean", , , "20010629", , , , , , 
"US-Ne1", "88658", "GRP_HEIGHTC", , "1.870", "Mean", , , "20010705", , , , , , 
"US-Ne1", "88659", "GRP_HEIGHTC", , "2.548", "Mean", , , "20010713", , , , , , 
"US-Ne1", "88660", "GRP_HEIGHTC", , "2.914", "Mean", , , "20010719", , , , , , 
"US-Ne1", "88661", "GRP_HEIGHTC", , "3.315", "Mean", , , "20010809", , , , , , 
"US-Ne1", "88662", "GRP_HEIGHTC", , "3.506", "Mean", , , "20010815", , , , , , 
"US-Ne1", "88663", "GRP_HEIGHTC", , "0.000", "Mean", , , "20020518", , , , , , 
"US-Ne1", "88664", "GRP_HEIGHTC", , "0.115", "Mean", , , "20020529", , , , , , 
"US-Ne1", "88665", "GRP_HEIGHTC", , "0.255", "Mean", , , "20020603", , , , , , 
"US-Ne1", "88666", "GRP_HEIGHTC", , "0.587", "Mean", , , "20020618", , , , , , 
"US-Ne1", "88667", "GRP_HEIGHTC", , "1.373", "Mean", , , "20020701", , , , , , 
"US-Ne1", "88668", "GRP_HEIGHTC", , "1.959", "Mean", , , "20020708", , , , , , 
"US-Ne1", "88669", "GRP_HEIGHTC", , "2.288", "Mean", , , "20020715", , , , , , 
"US-Ne1", "88670", "GRP_HEIGHTC", , "2.923", "Mean", , , "20020729", , , , , , 
"US-Ne1", "88671", "GRP_HEIGHTC", , "3.278", "Mean", , , "20020812", , , , , , 
"US-Ne1", "88672", "GRP_HEIGHTC", , "3.120", "Mean", , , "20020912", , , , , , 
"US-Ne1", "88673", "GRP_HEIGHTC", , "0.000", "Mean", , , "20030527", , , , , , 
"US-Ne1", "88674", "GRP_HEIGHTC", , "0.237", "Mean", , , "20030606", , , , , , 
"US-Ne1", "88675", "GRP_HEIGHTC", , "0.888", "Mean", , , "20030625", , , , , , 
"US-Ne1", "88676", "GRP_HEIGHTC", , "1.656", "Mean", , , "20030708", , , , , , 
"US-Ne1", "88677", "GRP_HEIGHTC", , "2.331", "Mean", , , "20030718", , , , , , 
"US-Ne1", "88678", "GRP_HEIGHTC", , "2.743", "Mean", , , "20030728", , , , , , 
"US-Ne1", "88679", "GRP_HEIGHTC", , "2.814", "Mean", , , "20030808", , , , , , 
"US-Ne1", "88680", "GRP_HEIGHTC", , "2.763", "Mean", , , "20030826", , , , , , 
"US-Ne1", "88681", "GRP_HEIGHTC", , "2.799", "Mean", , , "20030926", , , , , , 
"US-Ne1", "88682", "GRP_HEIGHTC", , "0.000", "Mean", , , "20040513", , , , , , 
"US-Ne1", "88683", "GRP_HEIGHTC", , "0.292", "Mean", , , "20040603", , , , , , 
"US-Ne1", "88684", "GRP_HEIGHTC", , "0.707", "Mean", , , "20040615", , , , , , 
"US-Ne1", "88685", "GRP_HEIGHTC", , "1.539", "Mean", , , "20040701", , , , , , 
"US-Ne1", "88686", "GRP_HEIGHTC", , "2.281", "Mean", , , "20040713", , , , , , 
"US-Ne1", "88687", "GRP_HEIGHTC", , "2.967", "Mean", , , "20040726", , , , , , 
"US-Ne1", "88688", "GRP_HEIGHTC", , "2.950", "Mean", , , "20040805", , , , , , 
"US-Ne1", "88689", "GRP_HEIGHTC", , "2.929", "Mean", , , "20040817", , , , , , 
"US-Ne1", "88690", "GRP_HEIGHTC", , "0.000", "Mean", , , "20050517", , , , , , 
"US-Ne1", "88691", "GRP_HEIGHTC", , "0.208", "Mean", , , "20050531", , , , , , 
