"SITE_ID", "GROUP_ID", "VARIABLE_GROUP", "DOI_ORGANIZATION", "DOI_ORGANIZATION_ROLE", 
"US-ICs", "32289", "GRP_DOI_ORGANIZATION", "NSF", "Sponsor", 
"US-ICs", "32290", "GRP_DOI_ORGANIZATION", "Marine Biological Laboratory", "Originator", 
"US-ICs", "32291", "GRP_DOI_ORGANIZATION", "University of Alaska Fairbanks", "Originator", 
"US-ICt", "32295", "GRP_DOI_ORGANIZATION", "NSF", "Sponsor", 
"US-ICt", "32296", "GRP_DOI_ORGANIZATION", "University of Alaska Fairbanks", "Originator", 
"US-ICt", "32297", "GRP_DOI_ORGANIZATION", "Marine Biological Laboratory", "Originator", 
"US-Ivo", "32087", "GRP_DOI_ORGANIZATION", "NSF/OPP; NASA-JPL/CARVE; DOE", "Sponsor", 
"US-Ivo", "32088", "GRP_DOI_ORGANIZATION", "San Diego State University", "Originator", 
"US-KFS", "32299", "GRP_DOI_ORGANIZATION", "NSF", "Sponsor", 
"US-KFS", "32300", "GRP_DOI_ORGANIZATION", "Kansas University", "Originator", 
"US-KLS", "85658", "GRP_DOI_ORGANIZATION", "NSF", "Sponsor", 
"US-KLS", "85659", "GRP_DOI_ORGANIZATION", "Kansas University", "Originator", 
"US-Kon", "32090", "GRP_DOI_ORGANIZATION", "NSF", "Sponsor", 
"US-Kon", "32091", "GRP_DOI_ORGANIZATION", "Kansas University", "Originator", 
"US-KS1", "32094", "GRP_DOI_ORGANIZATION", "NASA", "Sponsor", 
"US-KS1", "32095", "GRP_DOI_ORGANIZATION", "University of Central Florida", "Originator", 
"US-KS1", "32096", "GRP_DOI_ORGANIZATION", "Smithsonian Environmental Research Center", "Originator", 
"US-KS2", "32099", "GRP_DOI_ORGANIZATION", "NASA", "Sponsor", 
"US-KS2", "32100", "GRP_DOI_ORGANIZATION", "University of Central Florida", "Originator", 
"US-KS2", "32101", "GRP_DOI_ORGANIZATION", "Smithsonian Environmental Research Center", "Originator", 
"US-KS3", "87968", "GRP_DOI_ORGANIZATION", "DOE Ameriflux", "Sponsor", 
"US-KS3", "87977", "GRP_DOI_ORGANIZATION", "University of Central Florida", "Originator", 
"US-KUT", "32362", "GRP_DOI_ORGANIZATION", "NASA", "Sponsor", 
"US-KUT", "32363", "GRP_DOI_ORGANIZATION", "University of California, Santa Barbara", "Originator", 
"US-LA1", "86912", "GRP_DOI_ORGANIZATION", "LA Coastal Protection & Restoration Authority, US Geological Survey", "Sponsor", 
"US-LA1", "86913", "GRP_DOI_ORGANIZATION", "USGS-Wetland and Aquatic Research Center", "Originator", 
"US-LA2", "86914", "GRP_DOI_ORGANIZATION", "LA Coastal Protection & Restoration Authority, US Geological Survey", "Sponsor", 
"US-LA2", "86915", "GRP_DOI_ORGANIZATION", "USGS-Wetland and Aquatic Research Center", "Originator", 
"US-Lin", "32368", "GRP_DOI_ORGANIZATION", "California Air Resources Board and Citrus Research Board", "Sponsor", 
"US-Lin", "32369", "GRP_DOI_ORGANIZATION", "Entecra", "Originator", 
"US-Los", "32103", "GRP_DOI_ORGANIZATION", "DOE Ameriflux Network Management Project", "Sponsor", 
"US-Los", "32104", "GRP_DOI_ORGANIZATION", "University of Wisconsin", "Originator", 
"US-LPH", "32106", "GRP_DOI_ORGANIZATION", "DOE/NIGEC partly", "Sponsor", 
"US-LPH", "32107", "GRP_DOI_ORGANIZATION", "Ecovative Design, LLC", "Originator", 
"US-LWW", "32109", "GRP_DOI_ORGANIZATION", "NOAA/GEWEX", "Sponsor", 
"US-LWW", "32110", "GRP_DOI_ORGANIZATION", "NOAA/ARL", "Originator", 
"US-Me1", "32112", "GRP_DOI_ORGANIZATION", "DOE/TCP", "Sponsor", 
"US-Me1", "32113", "GRP_DOI_ORGANIZATION", "Oregon State University", "Originator", 
"US-Me2", "32115", "GRP_DOI_ORGANIZATION", "DOE/TCP", "Sponsor", 
"US-Me2", "32116", "GRP_DOI_ORGANIZATION", "Oregon State University", "Originator", 
"US-Me3", "32118", "GRP_DOI_ORGANIZATION", "DOE/TCP", "Sponsor", 
"US-Me3", "32119", "GRP_DOI_ORGANIZATION", "Oregon State University", "Originator", 
"US-Me4", "32121", "GRP_DOI_ORGANIZATION", "DOE/TCP, NASA Carbon Cycle Science", "Sponsor", 
"US-Me4", "32122", "GRP_DOI_ORGANIZATION", "Oregon State University", "Originator", 
"US-Me5", "32124", "GRP_DOI_ORGANIZATION", "DOE/TCP, NASA Carbon Cycle Science", "Sponsor", 
"US-Me5", "32125", "GRP_DOI_ORGANIZATION", "Oregon State University", "Originator", 
"US-Me6", "32281", "GRP_DOI_ORGANIZATION", "DOE LBL", "Sponsor", 
"US-Me6", "32282", "GRP_DOI_ORGANIZATION", "Oregon State University", "Originator", 
"US-Men", "81326", "GRP_DOI_ORGANIZATION", "University of Wisconsin Madison", "Originator", 
"US-MMS", "32128", "GRP_DOI_ORGANIZATION", "DOE/NIGEC", "Sponsor", 
"US-MMS", "32129", "GRP_DOI_ORGANIZATION", "Indiana University", "Originator", 
"US-MOz", "32132", "GRP_DOI_ORGANIZATION", "DOE/TCP", "Sponsor", 
"US-MOz", "32133", "GRP_DOI_ORGANIZATION", "Oak Ridge National Laboratory", "Originator", 
"US-MOz", "32134", "GRP_DOI_ORGANIZATION", "University of Missouri", "Originator", 
"US-Mpj", "32266", "GRP_DOI_ORGANIZATION", "DOE-BER, USFS, DOE EPSCoR", "Sponsor", 
"US-Mpj", "32267", "GRP_DOI_ORGANIZATION", "University of New Mexico", "Originator", 
"US-MRf", "32032", "GRP_DOI_ORGANIZATION", "DOE/TCP", "Sponsor", 
"US-MRf", "32033", "GRP_DOI_ORGANIZATION", "Oregon State University", "Originator", 
"US-Myb", "32335", "GRP_DOI_ORGANIZATION", "California Department of Water Resources", "Sponsor", 
"US-Myb", "32336", "GRP_DOI_ORGANIZATION", "University of California, Berkeley", "Originator", 
"US-NC1", "32136", "GRP_DOI_ORGANIZATION", "USDA FS,  DOE", "Sponsor", 
"US-NC1", "32137", "GRP_DOI_ORGANIZATION", "Texas A&M University", "Originator", 
"US-NC2", "32139", "GRP_DOI_ORGANIZATION", "USDA Forest Service, DOE-BER-TES-AMP", "Sponsor", 
"US-NC2", "32140", "GRP_DOI_ORGANIZATION", "Texas A&M University", "Originator", 
"US-NC3", "79439", "GRP_DOI_ORGANIZATION", "USDA FS,  DOE-TES-AMP", "Sponsor", 
"US-NC3", "79440", "GRP_DOI_ORGANIZATION", "Texas A&M University", "Originator", 
"US-NC4", "84789", "GRP_DOI_ORGANIZATION", "USDA FS,  DOE-TES, DOE-TES-AMP", "Sponsor", 
"US-NC4", "84790", "GRP_DOI_ORGANIZATION", "Texas A&M University", "Originator", 
"US-Ne1", "32142", "GRP_DOI_ORGANIZATION", "DOE (OBER & EPSCoR)", "Sponsor", 
"US-Ne1", "32143", "GRP_DOI_ORGANIZATION", "University of Nebraska - Lincoln", "Originator", 
"US-Ne2", "32145", "GRP_DOI_ORGANIZATION", "DOE (OBER & EPSCoR)", "Sponsor", 
"US-Ne2", "32146", "GRP_DOI_ORGANIZATION", "University of Nebraska - Lincoln", "Originator", 
"US-Ne3", "32148", "GRP_DOI_ORGANIZATION", "DOE (OBER & EPSCoR)", "Sponsor", 
"US-Ne3", "32149", "GRP_DOI_ORGANIZATION", "University of Nebraska - Lincoln", "Originator", 
"US-NGB", "81540", "GRP_DOI_ORGANIZATION", "DOE_BER", "Sponsor", 
"US-NGB", "81541", "GRP_DOI_ORGANIZATION", "Lawrence Berkeley National Laboratory", "Originator", 
"US-NMj", "32151", "GRP_DOI_ORGANIZATION", "NSF", "Sponsor", 
"US-NMj", "32152", "GRP_DOI_ORGANIZATION", "Michigan State University", "Originator", 
"US-NR1", "32154", "GRP_DOI_ORGANIZATION", "NSF", "Sponsor", 
"US-NR1", "32155", "GRP_DOI_ORGANIZATION", "University of Colorado", "Originator", 
"US-Oho", "32157", "GRP_DOI_ORGANIZATION", "USDA", "Sponsor", 
"US-Oho", "32158", "GRP_DOI_ORGANIZATION", "University of Toledo / Michigan State University", "Originator", 
"US-ORv", "32314", "GRP_DOI_ORGANIZATION", "NSF, The Ohio State University, USGS, Ohio Water Development Authority", "Sponsor", 
"US-ORv", "32315", "GRP_DOI_ORGANIZATION", "The Ohio State University", "Originator", 
"US-OWC", "33728", "GRP_DOI_ORGANIZATION", "The Ohio State University", "Originator", 
"US-PFa", "32160", "GRP_DOI_ORGANIZATION", "DOE Ameriflux Network Management Project, NOAA ESRL", "Sponsor", 
"US-PFa", "32161", "GRP_DOI_ORGANIZATION", "University of Wisconsin", "Originator", 
"US-PHM", "86903", "GRP_DOI_ORGANIZATION", "NSF-OCE", "Sponsor", 
"US-PHM", "86904", "GRP_DOI_ORGANIZATION", "Marine Biological Laboratory", "Originator", 
"US-Pnp", "81327", "GRP_DOI_ORGANIZATION", "University of Wisconsin Madison", "Originator", 
"US-Pon", "32163", "GRP_DOI_ORGANIZATION", "NIGEC", "Sponsor", 
"US-Pon", "32164", "GRP_DOI_ORGANIZATION", "University of Nebraska - Lincoln", "Originator", 
"US-Prr", "32391", "GRP_DOI_ORGANIZATION", "JAMSTEC", "Sponsor", 
"US-Prr", "32392", "GRP_DOI_ORGANIZATION", "Japan Agency for Marine-Earth Science and Technology", "Originator", 
"US-RC1", "85664", "GRP_DOI_ORGANIZATION", "USDA NIFA", "Sponsor", 
"US-RC1", "85665", "GRP_DOI_ORGANIZATION", "Washington State University", "Originator", 
"US-RC2", "85662", "GRP_DOI_ORGANIZATION", "USDA", "Sponsor", 
"US-RC2", "85663", "GRP_DOI_ORGANIZATION", "Washington State University", "Originator", 
"US-RC3", "85666", "GRP_DOI_ORGANIZATION", "USDA NIFA", "Sponsor", 
"US-RC3", "85667", "GRP_DOI_ORGANIZATION", "Washington State University", "Originator", 
"US-RC4", "85668", "GRP_DOI_ORGANIZATION", "USDA NIFA", "Sponsor", 
"US-RC4", "85669", "GRP_DOI_ORGANIZATION", "Washington State University", "Originator", 
"US-RC5", "85670", "GRP_DOI_ORGANIZATION", "USDA NIFA", "Sponsor", 
"US-RC5", "85671", "GRP_DOI_ORGANIZATION", "Washington State University", "Originator", 
"US-Rls", "33701", "GRP_DOI_ORGANIZATION", "USDA -ARS; NSF Critical Zone Observatory Network", "Sponsor", 
"US-Rls", "33702", "GRP_DOI_ORGANIZATION", "USDA Agricultural Research Service", "Originator", 
"US-Rms", "32432", "GRP_DOI_ORGANIZATION", "USDA -ARS; NSF Critical Zone Observatory Network", "Sponsor", 
"US-Rms", "32433", "GRP_DOI_ORGANIZATION", "USDA Agricultural Research Service", "Originator", 
"US-Ro1", "32168", "GRP_DOI_ORGANIZATION", "DOE/TCP", "Sponsor", 
"US-Ro1", "32169", "GRP_DOI_ORGANIZATION", "University of Minnesota", "Originator", 
"US-Ro1", "32170", "GRP_DOI_ORGANIZATION", "USDA-ARS", "Originator", 
"US-Ro2", "33693", "GRP_DOI_ORGANIZATION", "DOE/TCP", "Sponsor", 
"US-Ro2", "33694", "GRP_DOI_ORGANIZATION", "University of Minnesota", "Originator", 
"US-Ro2", "33695", "GRP_DOI_ORGANIZATION", "USDA-ARS", "Originator", 
"US-Ro3", "32173", "GRP_DOI_ORGANIZATION", "DOE/TCP", "Sponsor", 
"US-Ro3", "32174", "GRP_DOI_ORGANIZATION", "USDA-ARS", "Originator", 
"US-Ro3", "32175", "GRP_DOI_ORGANIZATION", "University of Minnesota", "Originator", 
"US-Ro4", "79443", "GRP_DOI_ORGANIZATION", "DOE/TCP", "Sponsor", 
"US-Ro4", "79444", "GRP_DOI_ORGANIZATION", "University of Minnesota", "Originator", 
"US-Ro4", "79445", "GRP_DOI_ORGANIZATION", "USDA-ARS", "Originator", 
"US-Ro5", "79448", "GRP_DOI_ORGANIZATION", "DOE/TCP", "Sponsor", 
"US-Ro5", "79449", "GRP_DOI_ORGANIZATION", "USDA-ARS", "Originator", 
"US-Ro5", "79450", "GRP_DOI_ORGANIZATION", "University of Minnesota", "Originator", 
"US-Ro6", "79453", "GRP_DOI_ORGANIZATION", "DOE/TCP", "Sponsor", 
"US-Ro6", "79454", "GRP_DOI_ORGANIZATION", "University of Minnesota", "Originator", 
"US-Ro6", "79455", "GRP_DOI_ORGANIZATION", "USDA-ARS", "Originator", 
"US-Rpf", "88063", "GRP_DOI_ORGANIZATION", "Shinshu University", "Originator", 
"US-Rpf", "88065", "GRP_DOI_ORGANIZATION", "ArCS, KAKENHI", "Sponsor", 
"US-Rpf", "88066", "GRP_DOI_ORGANIZATION", "Osaka Prefecture University", "Originator", 
"US-Rws", "32429", "GRP_DOI_ORGANIZATION", "USDA -ARS; NSF Critical Zone Observatory Network", "Sponsor", 
"US-Rws", "32430", "GRP_DOI_ORGANIZATION", "USDA Agricultural Research Service", "Originator", 
"US-SCd", "79436", "GRP_DOI_ORGANIZATION", "DOE/PER", "Sponsor", 
"US-SCd", "79437", "GRP_DOI_ORGANIZATION", "University of California - Irvine", "Originator", 
"US-SCf", "79430", "GRP_DOI_ORGANIZATION", "DOE/PER", "Sponsor", 
"US-SCf", "79431", "GRP_DOI_ORGANIZATION", "University of California - Irvine", "Originator", 
"US-SCg", "79427", "GRP_DOI_ORGANIZATION", "DOE/PER", "Sponsor", 
"US-SCg", "79428", "GRP_DOI_ORGANIZATION", "University of California - Irvine", "Originator", 
"US-SCs", "79424", "GRP_DOI_ORGANIZATION", "DOE/PER", "Sponsor", 
"US-SCs", "79425", "GRP_DOI_ORGANIZATION", "University of California - Irvine", "Originator", 
"US-SCw", "79433", "GRP_DOI_ORGANIZATION", "DOE/PER", "Sponsor", 
"US-SCw", "79434", "GRP_DOI_ORGANIZATION", "University of California - Irvine", "Originator", 
"US-SdH", "32318", "GRP_DOI_ORGANIZATION", "Not funded", "Sponsor", 
"US-SdH", "32319", "GRP_DOI_ORGANIZATION", "University of Nebraska", "Originator", 
"US-Seg", "32269", "GRP_DOI_ORGANIZATION", "NSF, DOE-EPSCoR", "Sponsor", 
"US-Seg", "32270", "GRP_DOI_ORGANIZATION", "University of New Mexico", "Originator", 
"US-Ses", "32272", "GRP_DOI_ORGANIZATION", "NSF EPSCoR", "Sponsor", 
"US-Ses", "32273", "GRP_DOI_ORGANIZATION", "University of New Mexico", "Originator", 
"US-SFP", "32275", "GRP_DOI_ORGANIZATION", "NOAA/GEWEX", "Sponsor", 
"US-SFP", "32276", "GRP_DOI_ORGANIZATION", "NOAA/ARL", "Originator", 
"US-Shd", "32180", "GRP_DOI_ORGANIZATION", "DOE/NIGEC", "Sponsor", 
"US-Shd", "32181", "GRP_DOI_ORGANIZATION", "University of Nebraska - Lincoln", "Originator", 
"US-Skr", "32210", "GRP_DOI_ORGANIZATION", "NSF, National Park Service, NASA", "Sponsor", 
"US-Skr", "32211", "GRP_DOI_ORGANIZATION", "Pennsylvania State University", "Originator", 
"US-Slt", "32183", "GRP_DOI_ORGANIZATION", "USDA/Forest Service", "Sponsor", 
"US-Slt", "32184", "GRP_DOI_ORGANIZATION", "USDA Forest Service", "Originator", 
"US-Snd", "32177", "GRP_DOI_ORGANIZATION", "NSF/California Department of Water Resources", "Sponsor", 
"US-Snd", "32178", "GRP_DOI_ORGANIZATION", "University of California, Berkeley", "Originator", 
"US-Sne", "33698", "GRP_DOI_ORGANIZATION", "Department of Water Resources", "Sponsor", 
"US-Sne", "33699", "GRP_DOI_ORGANIZATION", "University of California, Berkeley", "Originator", 
"US-SO2", "32186", "GRP_DOI_ORGANIZATION", "SDSU", "Sponsor", 
"US-SO2", "32187", "GRP_DOI_ORGANIZATION", "San Diego State University", "Originator", 
"US-SO3", "32189", "GRP_DOI_ORGANIZATION", "SDSU", "Sponsor", 
"US-SO3", "32190", "GRP_DOI_ORGANIZATION", "San Diego State University", "Originator", 
"US-SO4", "32192", "GRP_DOI_ORGANIZATION", "SDSU", "Sponsor", 
"US-SO4", "32193", "GRP_DOI_ORGANIZATION", "San Diego State University", "Originator", 
"US-SP1", "32195", "GRP_DOI_ORGANIZATION", "DOE/NIGEC, NASA, UF", "Sponsor", 
"US-SP1", "32196", "GRP_DOI_ORGANIZATION", "University of Florida", "Originator", 
"US-SP2", "32198", "GRP_DOI_ORGANIZATION", "DOE/NIGEC", "Sponsor", 
"US-SP2", "32199", "GRP_DOI_ORGANIZATION", "University of Florida", "Originator", 
"US-SP3", "32201", "GRP_DOI_ORGANIZATION", "DOE/NIGEC", "Sponsor", 
"US-SP3", "32202", "GRP_DOI_ORGANIZATION", "University of Florida", "Originator", 
"US-SP4", "32204", "GRP_DOI_ORGANIZATION", "DOE/TCP", "Sponsor", 
"US-SP4", "32205", "GRP_DOI_ORGANIZATION", "University of Florida", "Originator", 
"US-SRC", "32278", "GRP_DOI_ORGANIZATION", "USDA CSREES", "Sponsor", 
"US-SRC", "32279", "GRP_DOI_ORGANIZATION", "University of Arizona", "Originator", 
"US-SRG", "32394", "GRP_DOI_ORGANIZATION", "USDA-ARS, DOE, University of Arizona", "Sponsor", 
"US-SRG", "32395", "GRP_DOI_ORGANIZATION", "United States Department of Agriculture", "Originator", 
"US-SRM", "32207", "GRP_DOI_ORGANIZATION", "USDA-ARS, DOE, University of Arizona", "Sponsor", 
"US-SRM", "32208", "GRP_DOI_ORGANIZATION", "United States Department of Agriculture", "Originator", 
"US-Srr", "79219", "GRP_DOI_ORGANIZATION", "USGS", "Sponsor", 
"US-Srr", "79220", "GRP_DOI_ORGANIZATION", "USGS", "Originator", 
"US-Sta", "32398", "GRP_DOI_ORGANIZATION", "National Research Initiative of the USDA Cooperative StateResearch, Education and Extension Service Grant 2003-35101-13652, University of Wyoming Agricultural Experiment Station and Wyoming Space Grant Consortium", "Sponsor", 
"US-Sta", "32399", "GRP_DOI_ORGANIZATION", "University of Wyoming", "Originator", 
"US-StJ", "84791", "GRP_DOI_ORGANIZATION", "University of Delaware", "Sponsor", 
"US-StJ", "84792", "GRP_DOI_ORGANIZATION", "University of Delaware", "Originator", 
"US-SuM", "32417", "GRP_DOI_ORGANIZATION", "US Navy - Office of Naval Research", "Sponsor", 
"US-SuM", "32418", "GRP_DOI_ORGANIZATION", "USDA - Agricultural Research Service, San Joaquin Valley Agricultural Sciences Center, Water Management Research Unit", "Originator", 
"US-SuM", "32419", "GRP_DOI_ORGANIZATION", "USDA-Agricultural Research Service, United States Salinity Laboratory, Contaminant Fate and Transport Unit", "Originator", 
"US-SuS", "32422", "GRP_DOI_ORGANIZATION", "US Navy - Office of Naval Research", "Sponsor", 
"US-SuS", "32423", "GRP_DOI_ORGANIZATION", "USDA-Agricultural Research Service, United States Salinity Laboratory, Contaminant Fate and Transport Unit", "Originator", 
"US-SuS", "32424", "GRP_DOI_ORGANIZATION", "USDA - Agricultural Research Service, San Joaquin Valley Agricultural Sciences Center, Water Management Research Unit", "Originator", 
"US-SuW", "32412", "GRP_DOI_ORGANIZATION", "US Navy - Office of Naval Research", "Sponsor", 
"US-SuW", "32413", "GRP_DOI_ORGANIZATION", "USDA - Agricultural Research Service, San Joaquin Valley Agricultural Sciences Center, Water Management Research Unit", "Originator", 
"US-SuW", "32414", "GRP_DOI_ORGANIZATION", "USDA-Agricultural Research Service, United States Salinity Laboratory, Contaminant Fate and Transport Unit", "Originator", 
"US-Syv", "32213", "GRP_DOI_ORGANIZATION", "DOE Ameriflux Network Management Project", "Sponsor", 
"US-Syv", "32214", "GRP_DOI_ORGANIZATION", "University of Wisconsin", "Originator", 
"US-Ton", "31828", "GRP_DOI_ORGANIZATION", "DOE/TCP", "Sponsor", 
"US-Ton", "31829", "GRP_DOI_ORGANIZATION", "University of California, Berkeley", "Originator", 
"US-Tw1", "32371", "GRP_DOI_ORGANIZATION", "California Department of Water Resources", "Sponsor", 
"US-Tw1", "32372", "GRP_DOI_ORGANIZATION", "University of California, Berkeley", "Originator", 
"US-Tw2", "32374", "GRP_DOI_ORGANIZATION", "California Department of Water Resources", "Sponsor", 
"US-Tw2", "32375", "GRP_DOI_ORGANIZATION", "University of California, Berkeley", "Originator", 
"US-Tw3", "32377", "GRP_DOI_ORGANIZATION", "California Department of Water Resources", "Sponsor", 
"US-Tw3", "32378", "GRP_DOI_ORGANIZATION", "University of California, Berkeley", "Originator", 
"US-Tw4", "32384", "GRP_DOI_ORGANIZATION", "California Department of Water Resources", "Sponsor", 
"US-Tw4", "32385", "GRP_DOI_ORGANIZATION", "University of California, Berkeley", "Originator", 
"US-Tw5", "86624", "GRP_DOI_ORGANIZATION", "California Department of Water Resources", "Sponsor", 
"US-Tw5", "86625", "GRP_DOI_ORGANIZATION", "University of California, Berkeley", "Originator", 
"US-Twt", "32338", "GRP_DOI_ORGANIZATION", "NSF/California Department of Water Resources", "Sponsor", 
"US-Twt", "32339", "GRP_DOI_ORGANIZATION", "University of California, Berkeley", "Originator", 
"US-Uaf", "84795", "GRP_DOI_ORGANIZATION", "ArCS, KAKENHI", "Sponsor", 
"US-Uaf", "84796", "GRP_DOI_ORGANIZATION", "Osaka Prefecture University", "Originator", 
"US-Uaf", "84797", "GRP_DOI_ORGANIZATION", "Shinshu University", "Originator", 
"US-UM3", "83453", "GRP_DOI_ORGANIZATION", "The Ohio State University", "Originator", 
"US-UMB", "32218", "GRP_DOI_ORGANIZATION", "DOE/NICCR/NOAA/NSF/Ameriflux", "Sponsor", 
"US-UMB", "32219", "GRP_DOI_ORGANIZATION", "Ohio State University", "Originator", 
"US-UMB", "32220", "GRP_DOI_ORGANIZATION", "Virginia Commonwealth University", "Originator", 
"US-UMd", "32310", "GRP_DOI_ORGANIZATION", "DOE/NSF", "Sponsor", 
"US-UMd", "32311", "GRP_DOI_ORGANIZATION", "Virginia Commonwealth University", "Originator", 
"US-UMd", "32312", "GRP_DOI_ORGANIZATION", "Ohio State University", "Originator", 
"US-Upa", "32222", "GRP_DOI_ORGANIZATION", "NSF", "Sponsor", 
"US-Upa", "32223", "GRP_DOI_ORGANIZATION", "San Diego State University", "Originator", 
"US-Var", "31831", "GRP_DOI_ORGANIZATION", "DOE/TCP", "Sponsor", 
"US-Var", "31832", "GRP_DOI_ORGANIZATION", "University of California, Berkeley", "Originator", 
"US-Vcm", "32260", "GRP_DOI_ORGANIZATION", "NSF", "Sponsor", 
"US-Vcm", "32261", "GRP_DOI_ORGANIZATION", "University of New Mexico", "Originator", 
"US-Vcp", "32263", "GRP_DOI_ORGANIZATION", "AmeriFlux Core Site", "Sponsor", 
"US-Vcp", "32264", "GRP_DOI_ORGANIZATION", "University of New Mexico", "Originator", 
"US-Vcs", "33700", "GRP_DOI_ORGANIZATION", "University of New Mexico", "Originator", 
"US-WBW", "32225", "GRP_DOI_ORGANIZATION", "DOE TCP", "Sponsor", 
"US-WBW", "32226", "GRP_DOI_ORGANIZATION", "NOAA/ARL", "Originator", 
"US-WCr", "32228", "GRP_DOI_ORGANIZATION", "DOE Ameriflux Network Management Project", "Sponsor", 
"US-WCr", "32229", "GRP_DOI_ORGANIZATION", "University of Wisconsin", "Originator", 
"US-Wdn", "32402", "GRP_DOI_ORGANIZATION", "National Research Initiative of the USDA Cooperative StateResearch, Education and Extension Service Grant 2003-35101-13652, University of Wyoming Agricultural Experiment Station and Wyoming Space Grant Consortium", "Sponsor", 
"US-Wdn", "32403", "GRP_DOI_ORGANIZATION", "University of Wyoming", "Originator", 
"US-Wgr", "85660", "GRP_DOI_ORGANIZATION", "DOE USDA", "Sponsor", 
"US-Wgr", "85661", "GRP_DOI_ORGANIZATION", "Oregon State University", "Originator", 
"US-Whs", "32234", "GRP_DOI_ORGANIZATION", "USDA, DOE-Ameriflux", "Sponsor", 
"US-Whs", "32235", "GRP_DOI_ORGANIZATION", "United States Department of Agriculture", "Originator", 
"US-Wi0", "31915", "GRP_DOI_ORGANIZATION", "NSF", "Sponsor", 
"US-Wi0", "31916", "GRP_DOI_ORGANIZATION", "Michigan State University", "Originator", 
"US-Wi1", "31912", "GRP_DOI_ORGANIZATION", "NSF", "Sponsor", 
"US-Wi1", "31913", "GRP_DOI_ORGANIZATION", "Michigan State University", "Originator", 
"US-Wi2", "31918", "GRP_DOI_ORGANIZATION", "NSF", "Sponsor", 
"US-Wi2", "31919", "GRP_DOI_ORGANIZATION", "Michigan State University", "Originator", 
"US-Wi3", "31921", "GRP_DOI_ORGANIZATION", "NSF", "Sponsor", 
"US-Wi3", "31922", "GRP_DOI_ORGANIZATION", "Michigan State University", "Originator", 
"US-Wi4", "31924", "GRP_DOI_ORGANIZATION", "NSF", "Sponsor", 
"US-Wi4", "31925", "GRP_DOI_ORGANIZATION", "Michigan State University", "Originator", 
"US-Wi5", "31927", "GRP_DOI_ORGANIZATION", "NSF", "Sponsor", 
"US-Wi5", "31928", "GRP_DOI_ORGANIZATION", "Michigan State University", "Originator", 
"US-Wi6", "31930", "GRP_DOI_ORGANIZATION", "NSF", "Sponsor", 
"US-Wi6", "31931", "GRP_DOI_ORGANIZATION", "Michigan State University", "Originator", 
"US-Wi7", "31933", "GRP_DOI_ORGANIZATION", "NSF", "Sponsor", 
"US-Wi7", "31934", "GRP_DOI_ORGANIZATION", "Michigan State University", "Originator", 
"US-Wi8", "31936", "GRP_DOI_ORGANIZATION", "NSF", "Sponsor", 
"US-Wi8", "31937", "GRP_DOI_ORGANIZATION", "Michigan State University", "Originator", 
"US-Wi9", "31939", "GRP_DOI_ORGANIZATION", "NSF", "Sponsor", 
"US-Wi9", "31940", "GRP_DOI_ORGANIZATION", "Michigan State University", "Originator", 
"US-Wjs", "32257", "GRP_DOI_ORGANIZATION", "NSF", "Sponsor", 
"US-Wjs", "32258", "GRP_DOI_ORGANIZATION", "University of New Mexico", "Originator", 
"US-Wkg", "32231", "GRP_DOI_ORGANIZATION", "USDA-ARS, DOE", "Sponsor", 
"US-Wkg", "32232", "GRP_DOI_ORGANIZATION", "United States Department of Agriculture", "Originator", 
"US-Wlr", "32241", "GRP_DOI_ORGANIZATION", "DOE/TCP", "Sponsor", 
"US-Wlr", "32242", "GRP_DOI_ORGANIZATION", "Argonne National Laboratory", "Originator", 
"US-WPT", "32405", "GRP_DOI_ORGANIZATION", "NOAA & NSF", "Sponsor", 
"US-WPT", "32406", "GRP_DOI_ORGANIZATION", "University of Toledo / Michigan State University", "Originator", 
"US-Wrc", "32237", "GRP_DOI_ORGANIZATION", "USFS, Univ. of Washington", "Sponsor", 
"US-Wrc", "32238", "GRP_DOI_ORGANIZATION", "Lawrence Livermore National Laboratory", "Originator", 
"US-xBR", "88184", "GRP_DOI_ORGANIZATION", "National Science Foundation (NSF)", "Sponsor", 
"US-xBR", "88185", "GRP_DOI_ORGANIZATION", "NEON", "Originator", 
"US-xHA", "87967", "GRP_DOI_ORGANIZATION", "National Science Foundation (NSF)", "Sponsor", 
"US-xHA", "87974", "GRP_DOI_ORGANIZATION", "NEON", "Originator", 
"US-xKZ", "87972", "GRP_DOI_ORGANIZATION", "National Science Foundation (NSF)", "Sponsor", 
"US-xKZ", "87975", "GRP_DOI_ORGANIZATION", "NEON", "Originator", 
"US-xSR", "88183", "GRP_DOI_ORGANIZATION", "National Science Foundation (NSF)", "Sponsor", 
"US-xSR", "88186", "GRP_DOI_ORGANIZATION", "NEON", "Originator", 
