"SITE_ID", "GROUP_ID", "VARIABLE_GROUP", "DOI_ORGANIZATION", "DOI_ORGANIZATION_ROLE", 
"CA-SCC", "81659", "GRP_DOI_ORGANIZATION", "Natural Sciences and Engineering Reseaerch Council of Canada (NSERC)
Canada Research Chairs Program (CRC)
Canada Foundation for Innovation", "Sponsor", 
"CA-SCC", "81660", "GRP_DOI_ORGANIZATION", "Université de Montréal", "Originator", 
"CA-SCC", "81661", "GRP_DOI_ORGANIZATION", "Wilfrid Laurier University", "Originator", 
"CA-SF1", "31885", "GRP_DOI_ORGANIZATION", "Canadian Forest Service, NSERC, BIOCAP Canada, Canadian Foundation for Climate and Atmospheric Science, Parks Canada", "Sponsor", 
"CA-SF1", "31886", "GRP_DOI_ORGANIZATION", "University of Manitoba", "Originator", 
"CA-SF2", "31888", "GRP_DOI_ORGANIZATION", "Canadian Forest Service, Canadian Foundation for Climate and Atmospheric Science, NSERC, Parks Canada, BIOCAP Canada", "Sponsor", 
"CA-SF2", "31889", "GRP_DOI_ORGANIZATION", "University of Manitoba", "Originator", 
"CA-SF3", "31891", "GRP_DOI_ORGANIZATION", "Canadian Forest Service, NSERC, Canadian Foundation for Climate and Atmospheric Science, BIOCAP Canada, Parks Canada", "Sponsor", 
"CA-SF3", "31892", "GRP_DOI_ORGANIZATION", "University of Manitoba; Canadian Forest Service", "Originator", 
"CA-SJ2", "81534", "GRP_DOI_ORGANIZATION", "Environment and Climate Change Canada", "Originator", 
"CA-TP1", "31894", "GRP_DOI_ORGANIZATION", "Natural Sciences and Engineering Research Council (NSREC) of Canada, Ministry of Environment (MOE), Canadian Foundation for Climate and Atmospheric Sciences (CFCAS), Canadian Foundation of Innovation (CFI), Ontario Innovation Trust (OIT)", "Sponsor", 
"CA-TP1", "31895", "GRP_DOI_ORGANIZATION", "McMaster University", "Originator", 
"CA-TP2", "31897", "GRP_DOI_ORGANIZATION", "Natural Sciences and Engineering Research Council (NSREC) of Canada, Ministry of Environment (MOE), Canadian Foundation for Climate and Atmospheric Sciences (CFCAS), Canadian Foundation of Innovation (CFI), Ontario Innovation Trust (OIT)", "Sponsor", 
"CA-TP2", "31898", "GRP_DOI_ORGANIZATION", "McMaster University", "Originator", 
"CA-TP3", "31900", "GRP_DOI_ORGANIZATION", "Ontario Innovation Trust (OIT), Natural Sciences and Engineering Research Council (NSREC) of Canada, Ministry of Environment (MOE), Canadian Foundation for Climate and Atmospheric Sciences (CFCAS), Canadian Foundation of Innovation (CFI)", "Sponsor", 
"CA-TP3", "31901", "GRP_DOI_ORGANIZATION", "McMaster University", "Originator", 
"CA-TP4", "31903", "GRP_DOI_ORGANIZATION", "Natural Sciences and Engineering Research Council (NSREC) of Canada, Ministry of Environment (MOE), Canadian Foundation for Climate and Atmospheric Sciences (CFCAS), Canadian Foundation of Innovation (CFI), Ontario Innovation Trust (OIT)", "Sponsor", 
"CA-TP4", "31904", "GRP_DOI_ORGANIZATION", "McMaster University", "Originator", 
"CA-TPD", "32387", "GRP_DOI_ORGANIZATION", "Natural Sciences and Engineering Research Council (NSREC) of Canada, Ministry of Environment (MOE), Canadian Foundation for Climate and Atmospheric Sciences (CFCAS), Canadian Foundation of Innovation (CFI), Ontario Innovation Trust (OIT)", "Sponsor", 
"CA-TPD", "32388", "GRP_DOI_ORGANIZATION", "McMaster University", "Originator", 
"CR-Lse", "31906", "GRP_DOI_ORGANIZATION", "DOE/NIGEC", "Sponsor", 
"CR-Lse", "31907", "GRP_DOI_ORGANIZATION", "National Ecological Observatory Network", "Originator", 
"MX-Lpa", "31909", "GRP_DOI_ORGANIZATION", "NSF", "Sponsor", 
"MX-Lpa", "31910", "GRP_DOI_ORGANIZATION", "San Diego State University", "Originator", 
"US-A03", "85928", "GRP_DOI_ORGANIZATION", "U.S. DOE ARM program", "Sponsor", 
"US-A03", "85929", "GRP_DOI_ORGANIZATION", "Argonne National Laboratory", "Originator", 
"US-A10", "85930", "GRP_DOI_ORGANIZATION", "U.S. DOE ARM program", "Sponsor", 
"US-A10", "85931", "GRP_DOI_ORGANIZATION", "Argonne National Laboratory", "Originator", 
"US-A32", "81545", "GRP_DOI_ORGANIZATION", "U.S. DOE ARM program", "Sponsor", 
"US-A32", "81546", "GRP_DOI_ORGANIZATION", "Lawrence Berkeley National Laboratory", "Originator", 
"US-A74", "81550", "GRP_DOI_ORGANIZATION", "U.S. DOE ARM program", "Sponsor", 
"US-A74", "81551", "GRP_DOI_ORGANIZATION", "Lawrence Berkeley National Laboratory", "Originator", 
"US-ADR", "79222", "GRP_DOI_ORGANIZATION", "USGS", "Sponsor", 
"US-ADR", "79223", "GRP_DOI_ORGANIZATION", "U.S. Geological Survey", "Originator", 
"US-Akn", "32341", "GRP_DOI_ORGANIZATION", "DOE", "Sponsor", 
"US-Akn", "32342", "GRP_DOI_ORGANIZATION", "University of Georgia, Deptartment of Crop and Soil Science, Lab for Biogeosciences", "Originator", 
"US-ALQ", "84798", "GRP_DOI_ORGANIZATION", "USGS", "Sponsor", 
"US-ALQ", "84799", "GRP_DOI_ORGANIZATION", "USGS", "Originator", 
"US-An1", "32346", "GRP_DOI_ORGANIZATION", "NSF/NEON", "Sponsor", 
"US-An1", "32347", "GRP_DOI_ORGANIZATION", "Marine Biological Laboratory", "Originator", 
"US-An1", "32348", "GRP_DOI_ORGANIZATION", "University of Notre Dame", "Originator", 
"US-An2", "32352", "GRP_DOI_ORGANIZATION", "NSF/NEON", "Sponsor", 
"US-An2", "32353", "GRP_DOI_ORGANIZATION", "Marine Biological Laboratory", "Originator", 
"US-An2", "32354", "GRP_DOI_ORGANIZATION", "University of Notre Dame", "Originator", 
"US-An3", "32358", "GRP_DOI_ORGANIZATION", "NSF/NEON", "Sponsor", 
"US-An3", "32359", "GRP_DOI_ORGANIZATION", "Marine Biological Laboratory", "Originator", 
"US-An3", "32360", "GRP_DOI_ORGANIZATION", "University of Notre Dame", "Originator", 
"US-AR1", "32323", "GRP_DOI_ORGANIZATION", "DOE/ASR", "Sponsor", 
"US-AR1", "32324", "GRP_DOI_ORGANIZATION", "University of Nebraska", "Originator", 
"US-AR1", "32325", "GRP_DOI_ORGANIZATION", "Lawerence Berkeley National Lab", "Originator", 
"US-AR1", "32326", "GRP_DOI_ORGANIZATION", "U.S. Department of Agriculture", "Originator", 
"US-AR2", "32330", "GRP_DOI_ORGANIZATION", "DOE/ASR", "Sponsor", 
"US-AR2", "32331", "GRP_DOI_ORGANIZATION", "University of Nebraska", "Originator", 
