"SITE_ID", "GROUP_ID", "VARIABLE_GROUP", "SITE_FUNDING", 
"CA-SCB", "85761", "GRP_SITE_FUNDING", "Natural Sciences and Engineering Reseaerch Council of Canada (NSERC) Canada Research Chairs Program (CRC) Canada Foundation for Innovation", 
"CA-SCC", "30599", "GRP_SITE_FUNDING", "Natural Sciences and Engineering Reseaerch Council of Canada (NSERC)
Canada Research Chairs Program (CRC)
Canada Foundation for Innovation", 
"CA-SF1", "10184", "GRP_SITE_FUNDING", "Canadian Forest Service, NSERC, BIOCAP Canada, Canadian Foundation for Climate and Atmospheric Science, Parks Canada", 
"CA-SF2", "9347", "GRP_SITE_FUNDING", "Canadian Forest Service, Canadian Foundation for Climate and Atmospheric Science, NSERC, Parks Canada, BIOCAP Canada", 
"CA-SF3", "8451", "GRP_SITE_FUNDING", "Canadian Forest Service, NSERC, Canadian Foundation for Climate and Atmospheric Science, BIOCAP Canada, Parks Canada", 
"CA-SMC", "81480", "GRP_SITE_FUNDING", "Natural Sciences and Engineering Reseaerch Council of Canada (NSERC) Canada Research Chairs Program (CRC) Canada Foundation for Innovation", 
"CA-TP1", "12135", "GRP_SITE_FUNDING", "Natural Sciences and Engineering Research Council (NSREC) of Canada, Ministry of Environment (MOE), Canadian Foundation for Climate and Atmospheric Sciences (CFCAS), Canadian Foundation of Innovation (CFI), Ontario Innovation Trust (OIT)", 
"CA-TP2", "12167", "GRP_SITE_FUNDING", "Natural Sciences and Engineering Research Council (NSREC) of Canada, Ministry of Environment (MOE), Canadian Foundation for Climate and Atmospheric Sciences (CFCAS), Canadian Foundation of Innovation (CFI), Ontario Innovation Trust (OIT)", 
"CA-TP3", "12195", "GRP_SITE_FUNDING", "Ontario Innovation Trust (OIT), Natural Sciences and Engineering Research Council (NSREC) of Canada, Ministry of Environment (MOE), Canadian Foundation for Climate and Atmospheric Sciences (CFCAS), Canadian Foundation of Innovation (CFI)", 
"CA-TP4", "12227", "GRP_SITE_FUNDING", "Natural Sciences and Engineering Research Council (NSREC) of Canada, Ministry of Environment (MOE), Canadian Foundation for Climate and Atmospheric Sciences (CFCAS), Canadian Foundation of Innovation (CFI), Ontario Innovation Trust (OIT)", 
"CA-TPD", "12262", "GRP_SITE_FUNDING", "Natural Sciences and Engineering Research Council (NSREC) of Canada, Ministry of Environment (MOE), Canadian Foundation for Climate and Atmospheric Sciences (CFCAS), Canadian Foundation of Innovation (CFI), Ontario Innovation Trust (OIT)", 
"CA-TVC", "81511", "GRP_SITE_FUNDING", "Natural Sciences and Engineering Reseaerch Council of Canada (NSERC) Canada Research Chairs Program (CRC) Canada Foundation for Innovation", 
"CL-SDF", "88080", "GRP_SITE_FUNDING", "National Commission for Scientific & Technological Research of Chile (grants FONDEQUIP AIC-37, FONDECYT 1130935 FONDECYT 1171239)", 
"CL-SDP", "88083", "GRP_SITE_FUNDING", "National Commission for Scientific & Technological Research of Chile (grants FONDEQUIP AIC-37, FONDECYT 1130935, FONDECYT 1171239)", 
"CR-Fsc", "31103", "GRP_SITE_FUNDING", "NSERC (through international research calls as Belmont Forum and JPI Water Works initiative)", 
"CR-Lse", "2456", "GRP_SITE_FUNDING", "DOE/NIGEC", 
"CR-Nmr", "31080", "GRP_SITE_FUNDING", "NSERC (through international research calls as Belmont Forum and JPI Water Works initiative)", 
"CR-SoC", "12537", "GRP_SITE_FUNDING", "Department of Energy, Earth Systems Modeling Program; National Science Foundation, Research Experience for Undergraduates", 
"MX-EMg", "85715", "GRP_SITE_FUNDING", "CICESE, CONACYT", 
"MX-Lpa", "7601", "GRP_SITE_FUNDING", "NSF", 
"MX-PMm", "83422", "GRP_SITE_FUNDING", "CONACyT, El Colegio de la Frontera Sur", 
"PA-Bar", "771", "GRP_SITE_FUNDING", "SI-GEO", 
"PE-TNR", "85907", "GRP_SITE_FUNDING", "SAGES (UK), UE-GEOCARBON, NSF-NOAA(US), FONDECYT/CONCYTEC (Peru), PUCP", 
"PR-xGU", "85621", "GRP_SITE_FUNDING", "National Science Foundation (NSF)", 
"PR-xLA", "85598", "GRP_SITE_FUNDING", "National Science Foundation (NSF)", 
"US-A03", "85032", "GRP_SITE_FUNDING", "U.S. DOE ARM program", 
