"SITE_ID", "GROUP_ID", "VARIABLE_GROUP", "SITE_FUNDING", 
"US-PFp", "87736", "GRP_SITE_FUNDING", "National Science Foundation (NSF)", 
"US-PFq", "87787", "GRP_SITE_FUNDING", "National Science Foundation (NSF)", 
"US-PFr", "87764", "GRP_SITE_FUNDING", "National Science Foundation (NSF)", 
"US-PFs", "87805", "GRP_SITE_FUNDING", "National Science Foundation (NSF)", 
"US-PFt", "87828", "GRP_SITE_FUNDING", "National Science Foundation (NSF)", 
"US-PHM", "30038", "GRP_SITE_FUNDING", "NSF-OCE", 
"US-PLM", "79859", "GRP_SITE_FUNDING", "NSF-OCE", 
"US-Pon", "7561", "GRP_SITE_FUNDING", "NIGEC", 
"US-Prr", "11893", "GRP_SITE_FUNDING", "JAMSTEC", 
"US-PSH", "86810", "GRP_SITE_FUNDING", "USDA ARS Office of National Programs (NP 211)", 
"US-PSL", "86783", "GRP_SITE_FUNDING", "USDA ARS Office of National Programs (NP 211)", 
"US-RC1", "84889", "GRP_SITE_FUNDING", "USDA NIFA", 
"US-RC2", "84925", "GRP_SITE_FUNDING", "USDA", 
"US-RC3", "84907", "GRP_SITE_FUNDING", "USDA NIFA", 
"US-RC4", "84942", "GRP_SITE_FUNDING", "USDA NIFA", 
"US-RC5", "84959", "GRP_SITE_FUNDING", "USDA NIFA", 
"US-RFE", "29957", "GRP_SITE_FUNDING", "USGS core research funding", 
"US-RFW", "29974", "GRP_SITE_FUNDING", "USGS core research funding", 
"US-Rls", "33705", "GRP_SITE_FUNDING", "USDA -ARS; NSF Critical Zone Observatory Network, NSF Grant #EAR 1331872", 
"US-Rms", "33708", "GRP_SITE_FUNDING", "USDA -ARS; NSF Critical Zone Observatory Network, NSF Grant #EAR 1331872", 
"US-Ro1", "14521", "GRP_SITE_FUNDING", "DOE/TCP", 
"US-Ro2", "14547", "GRP_SITE_FUNDING", "DOE/TCP", 
"US-Ro3", "14573", "GRP_SITE_FUNDING", "DOE/TCP", 
"US-Ro4", "14495", "GRP_SITE_FUNDING", "DOE/TCP", 
"US-Ro5", "30141", "GRP_SITE_FUNDING", "DOE/TCP", 
"US-Ro6", "30167", "GRP_SITE_FUNDING", "DOE/TCP", 
"US-Rpf", "85289", "GRP_SITE_FUNDING", "ArCS, KAKENHI", 
"US-Rwe", "88144", "GRP_SITE_FUNDING", "USDA -ARS", 
"US-Rwf", "88113", "GRP_SITE_FUNDING", "USDA -ARS; NSF Critical Zone Observatory Network", 
"US-Rws", "33710", "GRP_SITE_FUNDING", "USDA -ARS; NSF Critical Zone Observatory Network, NSF Grant #EAR 1331872", 
"US-SB2", "81417", "GRP_SITE_FUNDING", "USDA NIFA; Virginia Tech Global Change Center", 
"US-SB3", "84634", "GRP_SITE_FUNDING", "Virginia Tech Global Change Center", 
"US-SCc", "10148", "GRP_SITE_FUNDING", "DOE/PER", 
"US-SCd", "1615", "GRP_SITE_FUNDING", "DOE/PER", 
"US-SCf", "5030", "GRP_SITE_FUNDING", "DOE/PER", 
"US-SCg", "3310", "GRP_SITE_FUNDING", "DOE/PER", 
"US-SCs", "3311", "GRP_SITE_FUNDING", "DOE/PER", 
"US-SCw", "4119", "GRP_SITE_FUNDING", "DOE/PER", 
"US-SdH", "12281", "GRP_SITE_FUNDING", "Not funded", 
"US-SDU", "13157", "GRP_SITE_FUNDING", "USGS", 
"US-Seg", "30416", "GRP_SITE_FUNDING", "NSF, DOE-EPSCoR", 
"US-Ses", "30440", "GRP_SITE_FUNDING", "NSF EPSCoR", 
"US-SFP", "1616", "GRP_SITE_FUNDING", "NOAA/GEWEX", 
"US-SHC", "33684", "GRP_SITE_FUNDING", "ETH Zurich", 
"US-Shd", "8420", "GRP_SITE_FUNDING", "DOE/NIGEC", 
"US-SHS", "30514", "GRP_SITE_FUNDING", "none", 
"US-SJ1", "10150", "GRP_SITE_FUNDING", "DOE/TCP", 
"US-SJ2", "4120", "GRP_SITE_FUNDING", "DOE/TCP", 
"US-Skr", "11913", "GRP_SITE_FUNDING", "NSF, National Park Service, NASA", 
"US-Slt", "13042", "GRP_SITE_FUNDING", "USDA/Forest Service", 
"US-Snd", "11244", "GRP_SITE_FUNDING", "NSF/California Department of Water Resources", 
"US-Sne", "30014", "GRP_SITE_FUNDING", "Department of Water Resources", 
"US-Snf", "84778", "GRP_SITE_FUNDING", "California Department of Water Resources", 
"US-SO2", "15928", "GRP_SITE_FUNDING", "SDSU", 
"US-SO3", "15946", "GRP_SITE_FUNDING", "SDSU", 
"US-SO4", "15912", "GRP_SITE_FUNDING", "SDSU", 
"US-SP1", "8421", "GRP_SITE_FUNDING", "DOE/NIGEC, NASA, UF", 
"US-SP2", "2470", "GRP_SITE_FUNDING", "DOE/NIGEC", 
"US-SP3", "3313", "GRP_SITE_FUNDING", "DOE/NIGEC", 
"US-SP4", "5877", "GRP_SITE_FUNDING", "DOE/TCP", 
"US-SRC", "2471", "GRP_SITE_FUNDING", "USDA CSREES", 
"US-SRG", "11854", "GRP_SITE_FUNDING", "USDA-ARS, DOE, University of Arizona", 
"US-SRM", "11185", "GRP_SITE_FUNDING", "USDA-ARS, DOE, University of Arizona", 
"US-Srr", "30961", "GRP_SITE_FUNDING", "USGS", 
"US-SSH", "30694", "GRP_SITE_FUNDING", "NSF", 
"US-Sta", "15772", "GRP_SITE_FUNDING", "National Research Initiative of the USDA Cooperative StateResearch, Education and Extension Service Grant 2003-35101-13652, University of Wyoming Agricultural Experiment Station and Wyoming Space Grant Consortium", 
"US-StJ", "13296", "GRP_SITE_FUNDING", "University of Delaware", 
"US-StS", "30114", "GRP_SITE_FUNDING", "Consortium of Universities for the Advancement of Hydrologic Sciences, Inc (CUAHSI).", 
"US-SuM", "13070", "GRP_SITE_FUNDING", "US Navy - Office of Naval Research", 
"US-SuS", "13089", "GRP_SITE_FUNDING", "US Navy - Office of Naval Research", 
"US-SuW", "13110", "GRP_SITE_FUNDING", "US Navy - Office of Naval Research", 
"US-Syv", "15323", "GRP_SITE_FUNDING", "DOE Ameriflux Network Management Project", 
"US-SZ1", "85793", "GRP_SITE_FUNDING", "USDA NIFA", 
"US-SZ2", "85841", "GRP_SITE_FUNDING", "USDA NIFA", 
"US-SZ3", "85870", "GRP_SITE_FUNDING", "USDA NIFA", 
"US-Ton", "5066", "GRP_SITE_FUNDING", "DOE/TCP", 
"US-Tur", "85302", "GRP_SITE_FUNDING", "NSF, USDA", 
"US-Tw1", "12571", "GRP_SITE_FUNDING", "California Department of Water Resources", 
"US-Tw2", "11274", "GRP_SITE_FUNDING", "California Department of Water Resources", 
"US-Tw3", "11293", "GRP_SITE_FUNDING", "California Department of Water Resources", 
"US-Tw4", "11313", "GRP_SITE_FUNDING", "California Department of Water Resources", 
"US-Tw5", "84621", "GRP_SITE_FUNDING", "California Department of Water Resources", 
"US-Twt", "11943", "GRP_SITE_FUNDING", "NSF/California Department of Water Resources", 
"US-Tx2", "79570", "GRP_SITE_FUNDING", "USDA", 
"US-Tx3", "86581", "GRP_SITE_FUNDING", "Texas A&M University, USDA-ARS", 
"US-Tx4", "86584", "GRP_SITE_FUNDING", "USDA, Texas A&M University", 
"US-Tx7", "79708", "GRP_SITE_FUNDING", "DOE BER", 
"US-Tx8", "86695", "GRP_SITE_FUNDING", "Supported by Texas A&M University", 
"US-Uaf", "81350", "GRP_SITE_FUNDING", "ArCS, KAKENHI", 
"US-UiA", "87898", "GRP_SITE_FUNDING", "Energy Biosciences Institute", 
"US-UiB", "87920", "GRP_SITE_FUNDING", "Energy Biosciences Institute & Center for Advanced Bioenergy & Bioproducts Innovation", 
"US-UiC", "87945", "GRP_SITE_FUNDING", "Energy Biosciences Institute", 
"US-ULM", "783", "GRP_SITE_FUNDING", "LA Regents", 
"US-UMB", "12339", "GRP_SITE_FUNDING", "DOE/NICCR/NOAA/NSF/Ameriflux", 
"US-UMd", "12372", "GRP_SITE_FUNDING", "DOE/NSF", 
"US-Upa", "3314", "GRP_SITE_FUNDING", "NSF", 
"US-Var", "11333", "GRP_SITE_FUNDING", "DOE/TCP", 
"US-Vcm", "11686", "GRP_SITE_FUNDING", "NSF", 
"US-Vcp", "12411", "GRP_SITE_FUNDING", "AmeriFlux Core Site", 
"US-VFP", "84981", "GRP_SITE_FUNDING", "NSF", 
"US-WBW", "8422", "GRP_SITE_FUNDING", "DOE TCP", 
"US-WCr", "14458", "GRP_SITE_FUNDING", "DOE Ameriflux Network Management Project", 
"US-Wdn", "15773", "GRP_SITE_FUNDING", "National Research Initiative of the USDA Cooperative StateResearch, Education and Extension Service Grant 2003-35101-13652, University of Wyoming Agricultural Experiment Station and Wyoming Space Grant Consortium", 
"US-Wgr", "16069", "GRP_SITE_FUNDING", "DOE USDA", 
"US-Whs", "11869", "GRP_SITE_FUNDING", "USDA, DOE-Ameriflux", 
"US-Wi0", "764", "GRP_SITE_FUNDING", "NSF", 
"US-Wi1", "10153", "GRP_SITE_FUNDING", "NSF", 
"US-Wi2", "9309", "GRP_SITE_FUNDING", "NSF", 
"US-Wi3", "8423", "GRP_SITE_FUNDING", "NSF", 
"US-Wi4", "5033", "GRP_SITE_FUNDING", "NSF", 
"US-Wi5", "7563", "GRP_SITE_FUNDING", "NSF", 
"US-Wi6", "765", "GRP_SITE_FUNDING", "NSF", 
"US-Wi7", "10154", "GRP_SITE_FUNDING", "NSF", 
"US-Wi8", "10155", "GRP_SITE_FUNDING", "NSF", 
"US-Wi9", "7564", "GRP_SITE_FUNDING", "NSF", 
"US-Wjs", "12431", "GRP_SITE_FUNDING", "NSF", 
"US-Wkg", "11806", "GRP_SITE_FUNDING", "USDA-ARS, DOE", 
"US-Wlr", "12471", "GRP_SITE_FUNDING", "DOE/TCP", 
"US-Wpp", "16113", "GRP_SITE_FUNDING", "DOE USDA", 
"US-WPT", "12749", "GRP_SITE_FUNDING", "NOAA & NSF", 
"US-Wrc", "12453", "GRP_SITE_FUNDING", "USFS, Univ. of Washington", 
"US-Wwt", "16047", "GRP_SITE_FUNDING", "DOE USDA", 
"US-xAB", "85343", "GRP_SITE_FUNDING", "National Science Foundation (NSF)", 
"US-xAE", "86243", "GRP_SITE_FUNDING", "National Science Foundation (NSF)", 
"US-xBA", "85227", "GRP_SITE_FUNDING", "National Science Foundation (NSF)", 
"US-xBL", "85325", "GRP_SITE_FUNDING", "National Science Foundation (NSF)", 
"US-xBN", "85539", "GRP_SITE_FUNDING", "National Science Foundation (NSF)", 
"US-xBR", "79812", "GRP_SITE_FUNDING", "National Science Foundation (NSF)", 
"US-xCP", "30470", "GRP_SITE_FUNDING", "National Science Foundation (NSF)", 
"US-xDC", "85577", "GRP_SITE_FUNDING", "National Science Foundation (NSF)", 
"US-xDJ", "85567", "GRP_SITE_FUNDING", "National Science Foundation (NSF)", 
"US-xDL", "85522", "GRP_SITE_FUNDING", "National Science Foundation (NSF)", 
"US-xDS", "85493", "GRP_SITE_FUNDING", "National Science Foundation (NSF)", 
"US-xGR", "85475", "GRP_SITE_FUNDING", "National Science Foundation (NSF)", 
"US-xHA", "79792", "GRP_SITE_FUNDING", "National Science Foundation (NSF)", 
"US-xHE", "85459", "GRP_SITE_FUNDING", "National Science Foundation", 
"US-xJE", "81957", "GRP_SITE_FUNDING", "National Science Foundation (NSF)", 
"US-xJR", "85425", "GRP_SITE_FUNDING", "National Science Foundation (NSF)", 
"US-xKA", "85409", "GRP_SITE_FUNDING", "National Science Foundation (NSF)", 
"US-xKZ", "79324", "GRP_SITE_FUNDING", "National Science Foundation (NSF)", 
"US-xLE", "85395", "GRP_SITE_FUNDING", "National Science Foundation (NSF)", 
"US-xMB", "86050", "GRP_SITE_FUNDING", "National Science Foundation (NSF)", 
"US-xML", "85374", "GRP_SITE_FUNDING", "National Science Foundation (NSF)", 
"US-xNG", "81933", "GRP_SITE_FUNDING", "National Science Foundation (NSF)", 
"US-xNW", "83377", "GRP_SITE_FUNDING", "National Science Foundation (NSF)", 
"US-xPU", "86074", "GRP_SITE_FUNDING", "National Science Foundation (NSF)", 
"US-xRM", "86164", "GRP_SITE_FUNDING", "National Science Foundation (NSF)", 
"US-xRN", "86182", "GRP_SITE_FUNDING", "National Science Foundation (NSF)", 
"US-xSB", "79718", "GRP_SITE_FUNDING", "National Science Foundation (NSF)", 
"US-xSC", "86203", "GRP_SITE_FUNDING", "National Science Foundation (NSF)", 
"US-xSE", "81889", "GRP_SITE_FUNDING", "National Science Foundation (NSF)", 
"US-xSJ", "86317", "GRP_SITE_FUNDING", "National Science Foundation (NSF)", 
"US-xSL", "87099", "GRP_SITE_FUNDING", "National Science Foundation (NSF)", 
"US-xSP", "86382", "GRP_SITE_FUNDING", "National Science Foundation (NSF)", 
"US-xSR", "79768", "GRP_SITE_FUNDING", "National Science Foundation (NSF)", 
"US-xST", "86337", "GRP_SITE_FUNDING", "National Science Foundation (NSF)", 
"US-xTA", "86366", "GRP_SITE_FUNDING", "National Science Foundation (NSF)", 
"US-xTE", "86299", "GRP_SITE_FUNDING", "National Science Foundation (NSF)", 
"US-xTL", "86224", "GRP_SITE_FUNDING", "National Science Foundation (NSF)", 
"US-xTR", "86435", "GRP_SITE_FUNDING", "National Science Foundation (NSF)", 
"US-xUK", "86131", "GRP_SITE_FUNDING", "National Science Foundation (NSF)", 
"US-xUN", "79740", "GRP_SITE_FUNDING", "National Science Foundation (NSF)", 
"US-xWD", "79301", "GRP_SITE_FUNDING", "National Science Foundation (NSF)", 
"US-xWR", "86099", "GRP_SITE_FUNDING", "National Science Foundation (NSF)", 
"US-xYE", "86115", "GRP_SITE_FUNDING", "National Science Foundation (NSF)", 
"US-Ylw", "770", "GRP_SITE_FUNDING", "TARC, NOAA-GCC, EPA", 
