"SITE_ID", "GROUP_ID", "VARIABLE_GROUP", "ROOT_PROD_CRS", "ROOT_PROD_FINE", "ROOT_PROD_TOT", "ROOT_PROD_UNIT", "ROOT_PROD_COMMENT", "ROOT_PROD_FINE_SPATIAL_VARIABILITY", "ROOT_PROD_PROFILE_MIN", "ROOT_PROD_PROFILE_MAX", "ROOT_PROD_DATE_START", "ROOT_PROD_APPROACH", "ROOT_PROD_DATE_END", 
"US-Fuf", "27989", "GRP_ROOT_PROD", , "138", , "gC m-2", , , "0", "30", "2007", "using the minirhizotron technique. Three acrylic minirhizotron tubes (15 total per site), with and internal diameter of 63.5 mm and wall thickness of 3 mm, were inserted in June 2005, digging a trench at an angle of approximately 45 degrees to a depth of 30cm", , 
"US-Fuf", "29211", "GRP_ROOT_PROD", "9", , , "gC m-2", , , , , "2006", "allometry applied to diameter measured in 2007 and  for previous years subtracting the diameter growth measured at the site  on  5, 25 m radious circular plots.  equations in Kaye, J. P., Hart, S. C., Fule, P. Z., Covington, W. W., Moore, M. M., Kaye, M. W. 2005. Initial carbon, nitrogen, and phosphorus fluxes following ponderosa pine restoration treatments. Ecological Applications, 15(5) 1581-1593.", , 
"US-Fwf", "26787", "GRP_ROOT_PROD", , "227", , "gC m-2", , , "0", "30", "2006", "using the minirhizotron technique. Three acrylic minirhizotron tubes (15 total per site), with and internal diameter of 63.5 mm and wall thickness of 3 mm, were inserted in June 2005, digging a trench at an angle of approximately 45 degrees to a depth of 30cm", , 
"US-Fwf", "27080", "GRP_ROOT_PROD", , "131", , "gC m-2", , , "0", "30", "2007", "using the minirhizotron technique. Three acrylic minirhizotron tubes (15 total per site), with and internal diameter of 63.5 mm and wall thickness of 3 mm, were inserted in June 2005, digging a trench at an angle of approximately 45 degrees to a depth of 30cm", , 
"US-IB2", "23866", "GRP_ROOT_PROD", , , "22", "gC m-2", "This is calcualted using an BNPP equation", , "0", "15", "2004", "Total root production uses an equation from the Fermilab chronosequence of BNPP = 0.67 (1 – e[ 0.0470 Age])", , 
"US-IB2", "24111", "GRP_ROOT_PROD", , , "22", "gC m-2", "This is calcualted using an BNPP equation", , "0", "15", "2005", "Total root production uses an equation from the Fermilab chronosequence of BNPP = 0.67 (1 – e[ 0.0470 Age])", , 
"US-IB2", "24512", "GRP_ROOT_PROD", , , "21", "gC m-2", "This is calcualted using an BNPP equation", , "0", "15", "2006", "Total root production uses an equation from the Fermilab chronosequence of BNPP = 0.67 (1 – e[ 0.0470 Age])", , 
"US-IB2", "24900", "GRP_ROOT_PROD", , , "21", "gC m-2", "This is calcualted using an BNPP equation", , "0", "15", "2007", "Total root production uses an equation from the Fermilab chronosequence of BNPP = 0.67 (1 – e[ 0.0470 Age])", , 
"US-Me1", "23667", "GRP_ROOT_PROD", "0", , , "gC m-2", , , , , "2004", , , 
"US-Me1", "23805", "GRP_ROOT_PROD", , "29.7", , "gC m-2", , , "0", "100", "2004", , , 
