"SITE_ID", "GROUP_ID", "VARIABLE_GROUP", "REFERENCE_PAPER", "REFERENCE_DOI", "REFERENCE_USAGE", 
"BR-Ma2", "1700004992", "GRP_REFERENCE_PAPER", "Keller, M., Alencar, A., Asner, G. P., Braswell, B., Bustamante, M., Davidson, E., Feldpausch, T., Fernandes, E., Goulden, M., Kabat, P., Kruijt, B., Luizão, F., Miller, S., Markewitz, D., Nobre, A. D., Nobre, C. A., Priante Filho, N., da Rocha, H., Silva Dias, P., von Randow, C., Vourlitis, G. L. (2004) Ecological Research In The Large-Scale Biosphere– Atmosphere Experiment In Amazonia: Early Results, Ecological Applications, 14(sp4), 3-16", "10.1890/03-6003", "Reference", 
"BR-Ma2", "1700005163", "GRP_REFERENCE_PAPER", "Kruijt, B., Elbers, J. A., von Randow, C., Araújo, A. C., Oliveira, P. J., Culf, A., Manzi, A. O., Nobre, A. D., Kabat, P., Moors, E. J. (2004) The Robustness Of Eddy Correlation Fluxes For Amazon Rain Forest Conditions, Ecological Applications, 14(sp4), 101-113", "10.1890/02-6004", "Reference", 
"BR-Ma2", "1700005247", "GRP_REFERENCE_PAPER", "Lasslop, G., Reichstein, M., Papale, D., Richardson, A. D., Arneth, A., Barr, A., Stoy, P., Wohlfahrt, G. (2010) Separation Of Net Ecosystem Exchange Into Assimilation And Respiration Using A Light Response Curve Approach: Critical Issues And Global Evaluation, Global Change Biology, 16(1), 187-208", "10.1111/j.1365-2486.2009.02041.x", "Reference", 
"BR-Ma2", "1700005469", "GRP_REFERENCE_PAPER", "Luyssaert, S., Inglima, I., Jung, M., Richardson, A. D., Reichstein, M., Papale, D., Piao, S. L., Schulze, E., Wingate, L., Matteucci, G., Aragao, L., Aubinet, M., Beer, C., Bernhofer, C., Black, K. G., Bonal, D., Bonnefond, J., Chambers, J., Ciais, P., Cook, B., Davis, K. J., Dolman, A. J., Gielen, B., Goulden, M., Grace, J., Granier, A., Grelle, A., Griffis, T., Grxfcnwald, T., Guidolotti, G., Hanson, P. J., Harding, R., Hollinger, D. Y., Hutyra, L. R., Kolari, P., Kruijt, B., Kutsch, W., Lagergren, F., Laurila, T., Law, B. E., Le Maire, G., Lindroth, A., Loustau, D., Malhi, Y., Mateus, J., Migliavacca, M., Misson, L., Montagnani, L., Moncrieff, J., Moors, E., Munger, J. W., Nikinmaa, E., Ollinger, S. V., Pita, G., Rebmann, C., Roupsard, O., Saigusa, N., Sanz, M. J., Seufert, G., Sierra, C., Smith, M., Tang, J., Valentini, R., Vesala, T., Janssens, I. A. (2007) CO2 Balance Of Boreal, Temperate, And Tropical Forests Derived From A Global Database, Global Change Biology, 13(12), 2509-2537", "10.1111/j.1365-2486.2007.01439.x", "Reference", 
"BR-Ma2", "1700005508", "GRP_REFERENCE_PAPER", "Mahecha, M. D., Reichstein, M., Carvalhais, N., Lasslop, G., Lange, H., Seneviratne, S. I., Vargas, R., Ammann, C., Arain, M. A., Cescatti, A., Janssens, I. A., Migliavacca, M., Montagnani, L., Richardson, A. D. (2010) Global Convergence In The Temperature Sensitivity Of Respiration At Ecosystem Level, Science, 329(5993), 838-840", "10.1126/science.1189587", "Reference", 
"BR-Ma2", "1700006903", "GRP_REFERENCE_PAPER", "Schwalm, C. R., Williams, C. A., Schaefer, K., Arneth, A., Bonal, D., Buchmann, N., Chen, J., Law, B. E., Lindroth, A., Luyssaert, S., Reichstein, M., Richardson, A. D. (2010) Assimilation Exceeds Respiration Sensitivity To Drought: A FLUXNET Synthesis, Global Change Biology, 16(2), 657-670", "10.1111/j.1365-2486.2009.01991.x", "Reference", 
"BR-Ma2", "1700007089", "GRP_REFERENCE_PAPER", "Smith, P., Lanigan, G., Kutsch, W. L., Buchmann, N., Eugster, W., Aubinet, M., Ceschia, E., Béziat, P., Yeluripati, J. B., Osborne, B., Moors, E. J., Brut, A., Wattenbach, M., Saunders, M., Jones, M. (2010) Measurements Necessary For Assessing The Net Ecosystem Carbon Budget Of Croplands, Agriculture, Ecosystems &amp; Environment, 139(3), 302-315", "10.1016/j.agee.2010.04.004", "Reference", 
"BR-Ma2", "1700007176", "GRP_REFERENCE_PAPER", "Stoy, P. C., Mauder, M., Foken, T., Marcolla, B., Boegh, E., Ibrom, A., Arain, M. A., Arneth, A., Aurela, M., Bernhofer, C., Cescatti, A., Dellwik, E., Duce, P., Gianelle, D., van Gorsel, E., Kiely, G., Knohl, A., Margolis, H., McCaughey, H., Merbold, L., Montagnani, L., Papale, D., Reichstein, M., Saunders, M., Serrano-Ortiz, P., Sottocornola, M., Spano, D., Vaccari, F., Varlagin, A. (2013) A Data-Driven Analysis Of Energy Balance Closure Across FLUXNET Research Sites: The Role Of Landscape Scale Heterogeneity, Agricultural And Forest Meteorology, 171-172(2), 137-152", "10.1016/j.agrformet.2012.11.004", "Reference", 
"BR-Ma2", "1700007938", "GRP_REFERENCE_PAPER", "Wei, S., Yi, C., Hendrey, G., Eaton, T., Rustic, G., Wang, S., Liu, H., Krakauer, N. Y., Wang, W., Desai, A. R., Montagnani, L., Tha Paw U, K., Falk, M., Black, A., Bernhofer, C., Grünwald, T., Laurila, T., Cescatti, A., Moors, E., Bracho, R., Valentini, R. (2014) Data-Based Perfect-Deficit Approach To Understanding Climate Extremes And Forest Carbon Assimilation Capacity, Environmental Research Letters, 9(6), 065002-n/a", "10.1088/1748-9326/9/6/065002", "Reference", 
"BR-Sa1", "1700000285", "GRP_REFERENCE_PAPER", "Baker, T. R., Phillips, O. L., Malhi, Y., Almeida, S., Arroyo, L., Di Fiore, A., Erwin, T., Killeen, T. J., Laurance, S. G., Laurance, W. F., Lewis, S. L., Lloyd, J., Monteagudo, A., Neill, D. A., Patino, S., Pitman, N. C., M. Silva, J. N., Vasquez Martinez, R. (2004) Variation In Wood Density Determines Spatial Patterns Inamazonian Forest Biomass, Global Change Biology, 10(5), 545-562", "10.1111/j.1365-2486.2004.00751.x", "Reference", 
"BR-Sa1", "1700001176", "GRP_REFERENCE_PAPER", "Chambers, J. Q., Tribuzy, E. S., Toledo, L. C., Crispim, B. F., Higuchi, N., Santos, J. d., Araújo, A. C., Kruijt, B., Nobre, A. D., Trumbore, S. E. (2004) Respiration From A Tropical Forest Ecosystem: Partitioning Of Sources And Low Carbon Use Efficiency, Ecological Applications, 14(sp4), 72-88", "10.1890/01-6012", "Reference", 
"BR-Sa1", "1700001422", "GRP_REFERENCE_PAPER", "Chu, H., Baldocchi, D. D., Poindexter, C., Abraha, M., Desai, A. R., Bohrer, G., Arain, M. A., Griffis, T., Blanken, P. D., O'Halloran, T. L., Thomas, R. Q., Zhang, Q., Burns, S. P., Frank, J. M., Christian, D., Brown, S., Black, T. A., Gough, C. M., Law, B. E., Lee, X., Chen, J., Reed, D. E., Massman, W. J., Clark, K., Hatfield, J., Prueger, J., Bracho, R., Baker, J. M., Martin, T. A. (2018) Temporal Dynamics Of Aerodynamic Canopy Height Derived From Eddy Covariance Momentum Flux Data Across North American Flux Networks, Geophysical Research Letters, 45(2), 9275–9287", "10.1029/2018GL079306", "Reference", 
"BR-Sa1", "1700001557", "GRP_REFERENCE_PAPER", "Chu, H., Baldocchi, D. D., Poindexter, C., Abraha, M., Desai, A. R., Bohrer, G., Arain, M. A., Griffis, T., Blanken, P. D., O'Halloran, T. L., Thomas, R. Q., Zhang, Q., Burns, S. P., Frank, J. M., Christian, D., Brown, S., Black, T. A., Gough, C. M., Law, B. E., Lee, X., Chen, J., Reed, D. E., Massman, W. J., Clark, K., Hatfield, J., Prueger, J., Bracho, R., Baker, J. M., Martin, T. A. (2018) Temporal Dynamics Of Aerodynamic Canopy Height Derived From Eddy Covariance Momentum Flux Data Across North American Flux Networks, Geophysical Research Letters, 45(5), 9275–9287", "10.1029/2018GL079306", "Reference", 
"BR-Sa1", "1700002526", "GRP_REFERENCE_PAPER", "Euskirchen, E. S., Bret-Harte, M. S., Shaver, G. R., Edgar, C. W., Romanovsky, V. E. (2017) Long-Term Release Of Carbon Dioxide From Arctic Tundra Ecosystems In Alaska, Ecosystems, 20(5), 960-974", "10.1007/s10021-016-0085-9", "Reference", 
"BR-Sa1", "1700004269", "GRP_REFERENCE_PAPER", "Gu, L., Falge, E. M., Boden, T., Baldocchi, D. D., Black, T., Saleska, S. R., Suni, T., Verma, S. B., Vesala, T., Wofsy, S. C., Xu, L. (2005) Objective Threshold Determination For Nighttime Eddy Flux Filtering, Agricultural And Forest Meteorology, 128(3-4), 179-197", "10.1016/j.agrformet.2004.11.006", "Reference", 
"BR-Sa1", "1700004470", "GRP_REFERENCE_PAPER", "Hayek, M. N., Wehr, R., Longo, M., Hutyra, L. R., Wiedemann, K., Munger, J. W., Bonal, D., Saleska, S. R., Fitzjarrald, D. R., Wofsy, S. C. (2018) A Novel Correction For Biases In Forest Eddy Covariance Carbon Balance, Agricultural And Forest Meteorology, 250-251(2), 90-101", "10.1016/j.agrformet.2017.12.186", "Reference", 
"BR-Sa1", "1700004476", "GRP_REFERENCE_PAPER", "Hayek, M. N., Wehr, R., Longo, M., Hutyra, L. R., Wiedemann, K., Munger, J. W., Bonal, D., Saleska, S. R., Fitzjarrald, D. R., Wofsy, S. C. (2018) A Novel Correction For Biases In Forest Eddy Covariance Carbon Balance, Agricultural And Forest Meteorology, 250-251(5), 90-101", "10.1016/j.agrformet.2017.12.186", "Reference", 
