"SITE_ID", "GROUP_ID", "VARIABLE_GROUP", "SOIL_CHEM_PH_H2O", "SOIL_CHEM_PROFILE_MIN", "SOIL_CHEM_PROFILE_MAX", "SOIL_CHEM_HORIZON", "SOIL_CHEM_COMMENT", "SOIL_CHEM_C_ORG", "SOIL_CHEM_DATE", "SOIL_CHEM_PH_SALT", "SOIL_CHEM_N_TOT", "SOIL_CHEM_BD", "SOIL_CHEM_C_ORG_SPATIAL_VARIABILITY", "SOIL_CHEM_N_TOT_SPATIAL_VARIABILITY", "SOIL_CHEM_PH_SALT_SPATIAL_VARIABILITY", "SOIL_CHEM_BD_SPATIAL_VARIABILITY", "SOIL_CHEM_PROFILE_ZERO_REF", "SOIL_CHEM_BD_SPATIAL_REP_NUMBER", "SOIL_CHEM_DATE_UNC", 
"CA-Gro", "25241", "GRP_SOIL_CHEM", , , , "O", "(1.151 gN/100g); soil thickness 0.07cm; measured followed Fluxnet-Canada protocol", , "2003", , "1.151", , , , , , , , , 
"CA-Gro", "25242", "GRP_SOIL_CHEM", , , , "C", "soil thickness 0.4cm; measured followed Fluxnet-Canada protocol", , "20020814", "6.88", , , , , , , , , , 
"CA-Gro", "25379", "GRP_SOIL_CHEM", , , , "C", "(0.065 gN/100g); soil thickness 0.42cm; measured followed Fluxnet-Canada protocol", , "2003", , "0.065", , , , , , , , , 
"CA-Gro", "25498", "GRP_SOIL_CHEM", , , , "A", "(3.59 gC/100g); soil thickness 0.05cm; measured followed Fluxnet-Canada protocol", "27.8405", "20040921", , , , , , , , , , , 
"CA-Gro", "25501", "GRP_SOIL_CHEM", , , , "B", "(0.093 gN/100g); soil thickness 0.28cm; measured followed Fluxnet-Canada protocol", , "20020814", , "3.20552", , , , , , , , , 
"CA-Gro", "25645", "GRP_SOIL_CHEM", , , , "A", "soil thickness 0.05cm; measured followed Fluxnet-Canada protocol", , "20030713", "5.76", , "1.7", , , , , , , , 
"CA-Gro", "25761", "GRP_SOIL_CHEM", , , , "O", "(38.73 gC/100g); soil thickness 0.07cm; measured followed Fluxnet-Canada protocol", "38.73", "2003", , , , , , , , , , , 
"CA-Gro", "25763", "GRP_SOIL_CHEM", , , , "O", "(1.864 gN/100g); soil thickness 0.12cm; measured followed Fluxnet-Canada protocol", , "20020814", , "1.864", , , , , , , , , 
"CA-Gro", "25875", "GRP_SOIL_CHEM", , , , "B", "(0.35 gC/100g); soil thickness 0.19cm; measured followed Fluxnet-Canada protocol", "10.527", "20040921", , , , , , , , , , , 
"CA-Gro", "25986", "GRP_SOIL_CHEM", , , , "A", "soil thickness 0.06cm; measured followed Fluxnet-Canada protocol", , "20020814", "3.54", , "1.307", , , , , , , , 
"CA-Gro", "25989", "GRP_SOIL_CHEM", , , , "A", "soil thickness 0.05cm; measured followed Fluxnet-Canada protocol", , "20040921", "4.21", , "1.551", , , , , , , , 
"CA-Gro", "25990", "GRP_SOIL_CHEM", , , , "LFH", "(37.14 gC/100g); soil thickness 0.07cm; measured followed Fluxnet-Canada protocol", "37.14", "20040921", , , , , , , , , , , 
"CA-Gro", "25993", "GRP_SOIL_CHEM", , , , "LFH", "(1.789 gN/100g); soil thickness 0.13cm; measured followed Fluxnet-Canada protocol", , "20030713", , "1.789", , , , , , , , , 
"CA-Gro", "25994", "GRP_SOIL_CHEM", , , , "LFH", "(2.106 gN/100g); soil thickness 0.07cm; measured followed Fluxnet-Canada protocol", , "20040921", , "2.106", , , , , , , , , 
"CA-Gro", "25995", "GRP_SOIL_CHEM", , , , "B", "(0.087 gN/100g); soil thickness 0.19cm; measured followed Fluxnet-Canada protocol", , "20040921", , "2.6167", , , , , , , , , 
"CA-Gro", "26154", "GRP_SOIL_CHEM", , , , "B", "(1.27 gC/100g); soil thickness 0.28cm; measured followed Fluxnet-Canada protocol", "43.7744", "20020814", , , , , , , , , , , 
"CA-Gro", "26155", "GRP_SOIL_CHEM", , , , "C", "(1.01 gC/100g); soil thickness 0.4cm; measured followed Fluxnet-Canada protocol", "1.01", "20020814", , , , , , , , , , , 
"CA-Gro", "26156", "GRP_SOIL_CHEM", , , , "O", "(44.165 gC/100g); soil thickness 0.12cm; measured followed Fluxnet-Canada protocol", "44.165", "20020814", , , , , , , , , , , 
"CA-Gro", "26257", "GRP_SOIL_CHEM", , , , "B", "soil thickness 0.28cm; measured followed Fluxnet-Canada protocol", , "20020814", "5.74", , "1.231", , , , , , , , 
"CA-Gro", "26258", "GRP_SOIL_CHEM", , , , "B", "soil thickness 0.19cm; measured followed Fluxnet-Canada protocol", , "20040921", "4.89", , "1.583", , , , , , , , 
"CA-Gro", "26262", "GRP_SOIL_CHEM", , , , "C", "(0.062 gN/100g); soil thickness 0.5cm; measured followed Fluxnet-Canada protocol", , "20040921", , "0.062", , , , , , , , , 
"CA-Gro", "26264", "GRP_SOIL_CHEM", , , , "C", "soil thickness 0.42cm; measured followed Fluxnet-Canada protocol", , "2003", "7.39", , , , , , , , , , 
"CA-Gro", "26390", "GRP_SOIL_CHEM", , , , "C", "(0.93 gC/100g); soil thickness 0.42cm; measured followed Fluxnet-Canada protocol", "0.93", "2003", , , , , , , , , , , 
"CA-Gro", "26391", "GRP_SOIL_CHEM", , , , "A", "(0.079 gN/100g); soil thickness 0.05cm; measured followed Fluxnet-Canada protocol", , "20030713", , "0.6715", , , , , , , , , 
"CA-Gro", "26507", "GRP_SOIL_CHEM", , , , "LFH", "(40.83 gC/100g); soil thickness 0.09cm; measured followed Fluxnet-Canada protocol", "40.83", "20020814", , , , , , , , , , , 
"CA-Gro", "26508", "GRP_SOIL_CHEM", , , , "A", "(1.12 gC/100g); soil thickness 0.06cm; measured followed Fluxnet-Canada protocol", "8.78304", "20020814", , , , , , , , , , , 
"CA-Gro", "26509", "GRP_SOIL_CHEM", , , , "C", "(1.04 gC/100g); soil thickness 0.5cm; measured followed Fluxnet-Canada protocol", "1.04", "20040921", , , , , , , , , , , 
"CA-Gro", "26510", "GRP_SOIL_CHEM", , , , "LFH", "(2.131 gN/100g); soil thickness 0.09cm; measured followed Fluxnet-Canada protocol", , "20020814", , "2.131", , , , , , , , , 
"CA-Gro", "26516", "GRP_SOIL_CHEM", , , , "C", "soil thickness 0.5cm; measured followed Fluxnet-Canada protocol", , "20040921", "7.43", , , , , , , , , , 
"CA-Gro", "26648", "GRP_SOIL_CHEM", , , , "C", "(0.046 gN/100g); soil thickness 0.4cm; measured followed Fluxnet-Canada protocol", , "20020814", , "0.046", , , , , , , , , 
"CA-Let", "25939", "GRP_SOIL_CHEM", , "0", "1000", , "soil thickness .01 m; Data from Flanagan et al. (2002,Global Change Biology 8, 599-615)", , , , , "1.24", , , , , , , , 
"CA-Man", "25238", "GRP_SOIL_CHEM", , "-4.5", "0", "H", "(39.8 gC/100g); soil thickness 0.05m; measured by BOREAS", "11.94", "1994", , , , , , , , , , , 
"CA-Man", "25239", "GRP_SOIL_CHEM", , "0", "11", "A", "(3.3825 gC/100g); soil thickness 0.11m; measured by BOREAS", "32.2217", "1994", , , , , , , , , , , 
"CA-Man", "25499", "GRP_SOIL_CHEM", , "37.73", "74.43", "C", "soil thickness 0.364286m; measured by BOREAS", , "1994", "7.985714286", , "1.235", , , , , , , , 
"CA-Man", "25500", "GRP_SOIL_CHEM", , "37.73", "74.43", "C", "(18.38285714 gC/100g); soil thickness 0.267273m; measured by BOREAS", "827.032", "1994", , , , , , , , , , , 
"CA-Man", "25647", "GRP_SOIL_CHEM", , "-12.5", "-4.5", "F", "soil thickness 0.08m; measured by BOREAS", , "1994", "2.175", , "0.04", , , , , , , , 
"CA-Man", "25648", "GRP_SOIL_CHEM", , "11", "37.73", "B", "soil thickness 0.267273m; measured by BOREAS", , "1994", "6.909090909", , "1.113333333", , , , , , , , 
"CA-Man", "25991", "GRP_SOIL_CHEM", , "-22.25", "-12.5", "L", "(46.2625 gC/100g); soil thickness 0.0975m; measured by BOREAS", "9.02119", "1994", , , , , , , , , , , 
"CA-Man", "25992", "GRP_SOIL_CHEM", , "11", "37.73", "B", "(2.605455 gC/100g); soil thickness 0.267273m; measured by BOREAS", "77.5289", "1994", , , , , , , , , , , 
"CA-Man", "26159", "GRP_SOIL_CHEM", , "-4.5", "0", "H", "soil thickness 0.05m; measured by BOREAS", , "1994", "1.466666667", , "0.06", , , , , , , , 
"CA-Man", "26160", "GRP_SOIL_CHEM", , "0", "11", "A", "soil thickness 0.11m; measured by BOREAS", , "1994", "6.075", , "0.866", , , , , , , , 
"CA-Man", "26161", "GRP_SOIL_CHEM", , "-4.5", "0", "H", "(0.818666667 gN/100g); soil thickness 0.05m; measured by BOREAS", , "1994", , "0.2456", , , , , , , , , 
"CA-Man", "26162", "GRP_SOIL_CHEM", , "0", "11", "A", "(0.178 gN/100g); ; soil thickness 0.11m; measured by BOREAS", , "1994", , "1.69563", , , , , , , , , 
"CA-Man", "26260", "GRP_SOIL_CHEM", , "-12.5", "-4.5", "F", "(46.8725 gC/100g); soil thickness 0.08m; measured by BOREAS", "14.9992", "1994", , , , , , , , , , , 
"CA-Man", "26261", "GRP_SOIL_CHEM", , "-12.5", "-4.5", "F", "(0.7095 gN/100g);  soil thickness 0.08m; measured by BOREAS", , "1994", , "0.22704", , , , , , , , , 
"CA-Man", "26512", "GRP_SOIL_CHEM", , "-22.25", "-12.5", "L", "soil thickness 0.0975m; measured by BOREAS", , "1994", "2.475", , "0.02", , , , , , , , 
"CA-Man", "26513", "GRP_SOIL_CHEM", , "11", "37.73", "B", "0.070909091 gN/100g);  soil thickness 0.267273m; measured by BOREAS", , "1994", , "2.11", , , , , , , , , 
"CA-Man", "26514", "GRP_SOIL_CHEM", , "37.73", "74.43", "C", "(0.043285714 gN/100g); soil thickness 0.364286m; measured by BOREAS", , "1994", , "1.94739", , , , , , , , , 
"CA-Man", "26647", "GRP_SOIL_CHEM", , "-22.25", "-12.5", "L", "(0.74825 gN/100g);  soil thickness 0.0975m; measured by BOREAS", , "1994", , "0.145909", , , , , , , , , 
