"SITE_ID", "GROUP_ID", "VARIABLE_GROUP", "URL", 
"US-Bsg", "16095", "GRP_URL", "http://terraweb.forestry.oregonstate.edu/burns.htm", 
"US-CaV", "3318", "GRP_URL", "http://www.atdd.noaa.gov/?q=node/21", 
"US-Ced", "12673", "GRP_URL", "http://www.fs.fed.us/ne/global", 
"US-CF1", "84818", "GRP_URL", "http://www.cafltar.org/", 
"US-CF2", "84838", "GRP_URL", "http://www.cafltar.org/", 
"US-CF3", "84858", "GRP_URL", "http://www.cafltar.org/", 
"US-CF4", "84878", "GRP_URL", "http://www.cafltar.org/", 
"US-Cop", "7570", "GRP_URL", "http://esp.cr.usgs.gov/info/sw/clim-met/corral.html", 
"US-CRT", "12779", "GRP_URL", "http://lees.geo.msu.edu/index.html", 
"US-CS1", "83398", "GRP_URL", "http://flux.aos.wisc.edu/twiki/bin/view/Main/ChEASData", 
"US-CS2", "87355", "GRP_URL", "https://flux.aos.wisc.edu/fluxdata", 
"US-CS3", "87383", "GRP_URL", "https://flux.aos.wisc.edu/fluxdata", 
"US-CZ1", "30818", "GRP_URL", "https://www.ess.uci.edu/~california/", 
"US-CZ2", "30834", "GRP_URL", "https://www.ess.uci.edu/~california/", 
"US-CZ3", "30863", "GRP_URL", "https://www.ess.uci.edu/~california/", 
"US-CZ4", "30848", "GRP_URL", "https://www.ess.uci.edu/~california/", 
"US-Dix", "136", "GRP_URL", "http://www.fs.fed.us/ne/global/", 
"US-Dk1", "5883", "GRP_URL", "http://www.nicholas.duke.edu/other/AMERIFLUX/amerflux.html", 
"US-Dk2", "6719", "GRP_URL", "http://www.nicholas.duke.edu/other/AMERIFLUX/amerflux.html", 
"US-Dk3", "5884", "GRP_URL", "http://www.nicholas.duke.edu/other/AMERIFLUX/amerflux.html", 
"US-EDN", "84710", "GRP_URL", "https://www.wildlife.ca.gov", 
"US-Elm", "5885", "GRP_URL", "http://fcelter.fiu.edu/research/projects/sites.htm?site=SRS2&display=description&keywords=&authors=", 
"US-EML", "11160", "GRP_URL", "http://www.biology.ufl.edu/ecosystemdynamics/research.html", 
"US-Esm", "2475", "GRP_URL", "http://fcelter.fiu.edu/research/projects/sites.htm?site=TS/Ph1b&display=description&keywords=&authors=", 
"US-Fmf", "12010", "GRP_URL", "http://nau.edu/CEFNS/Forestry/Research/Carbon-Flux/Sites/", 
"US-FR2", "1618", "GRP_URL", "http://biology.unm.edu/litvak/res_freeman.html", 
"US-Fuf", "12030", "GRP_URL", "http://nau.edu/CEFNS/Forestry/Research/Carbon-Flux/Sites/", 
"US-Fwf", "12055", "GRP_URL", "http://nau.edu/CEFNS/Forestry/Research/Carbon-Flux/Sites/", 
"US-GBT", "16031", "GRP_URL", "http://www.fs.fed.us/rmrs/experimental-forests-and-ranges/glees-glacier-lakes-ecosystem-experiments-site", 
"US-GCE", "86869", "GRP_URL", "http://gce-lter.marsci.uga.edu/portal/flux_tower.htm", 
"US-GLE", "16010", "GRP_URL", "http://www.fs.fed.us/rmrs/experimental-forests-and-ranges/glees-glacier-lakes-ecosystem-experiments-site", 
"US-GMF", "5238", "GRP_URL", "http://pantheon.yale.edu/~xhlee/yibs_news.pdf", 
"US-GZ1", "85766", "GRP_URL", "http://micromet.paccar.wsu.edu/fluxlit/", 
"US-GZ2", "85806", "GRP_URL", "http://micromet.paccar.wsu.edu/fluxlit/", 
"US-GZ3", "85892", "GRP_URL", "http://micromet.paccar.wsu.edu/fluxlit/", 
"US-Ha1", "11972", "GRP_URL", "http://atmos.seas.harvard.edu/lab/hf/index.html", 
"US-Ha2", "12598", "GRP_URL", "http://harvardforest.fas.harvard.edu/research-facilities-and-resources", 
"US-HB3", "86464", "GRP_URL", "https://sites.google.com/g.clemson.edu/ohalloran/tower-sites", 
"US-Hn1", "83539", "GRP_URL", "http://micromet.paccar.wsu.edu/land/", 
"US-Hn2", "83501", "GRP_URL", "http://micromet.paccar.wsu.edu/land/", 
"US-Hn3", "83520", "GRP_URL", "http://micromet.paccar.wsu.edu/land/", 
"US-Ho1", "11462", "GRP_URL", "http://howlandforest.org/site_files/site.html", 
"US-Ho2", "11496", "GRP_URL", "http://howlandforest.org/site_files/site.html", 
"US-Ho3", "11792", "GRP_URL", "http://howlandforest.org/site_files/site.html", 
"US-HVa", "15788", "GRP_URL", "http://gcrg.sdsu.edu", 
"US-IB1", "5239", "GRP_URL", "http://www.atmos.anl.gov/FERMI/index.html", 
"US-IB2", "1814", "GRP_URL", "http://www.atmos.anl.gov/FERMI/index.html", 
"US-ICh", "12080", "GRP_URL", "http://aon.iab.uaf.edu/imnavait", 
"US-ICs", "12100", "GRP_URL", "http://aon.iab.uaf.edu/imnavait", 
"US-ICt", "12120", "GRP_URL", "http://aon.iab.uaf.edu/imnavait", 
"US-Ivo", "14916", "GRP_URL", "http://gcrg.sdsu.edu", 
"US-JRn", "87867", "GRP_URL", "http://flux.org.ohio-state.edu/", 
"US-KCM", "33565", "GRP_URL", "http://www.biometeorology.umn.edu/", 
"US-KFB", "13180", "GRP_URL", "http://www.konza.ksu.edu", 
"US-KL1", "14604", "GRP_URL", "http://lees.geo.msu.edu/index.html", 
"US-KL2", "14629", "GRP_URL", "http://lees.geo.msu.edu/index.html", 
"US-KL3", "14655", "GRP_URL", "http://lees.geo.msu.edu/index.html", 
"US-KM1", "14681", "GRP_URL", "http://lees.geo.msu.edu/index.html", 
"US-KM2", "14707", "GRP_URL", "http://lees.geo.msu.edu/index.html", 
"US-KM3", "14734", "GRP_URL", "http://lees.geo.msu.edu/index.html", 
"US-KM4", "14762", "GRP_URL", "http://lees.geo.msu.edu/index.html", 
"US-Kon", "11542", "GRP_URL", "http://www.konza.ksu.edu", 
"US-KS1", "15553", "GRP_URL", "http://www.serc.si.edu/labs/co2/florida.aspx", 
"US-KS2", "15578", "GRP_URL", "http://www.serc.si.edu/labs/co2/florida.aspx", 
"US-KUO", "7766", "GRP_URL", "http://mcfaddenlab.umn.edu/research/landuse/", 
"US-LGr", "13020", "GRP_URL", "http://people.tamu.edu/~nrajan/LockneyGrassland.html", 
"US-LL1", "83569", "GRP_URL", "http://starrlab.ua.edu", 
"US-LL2", "83593", "GRP_URL", "http://starrlab.ua.edu", 
"US-LL3", "83596", "GRP_URL", "http://starrlab.ua.edu", 
"US-Los", "15292", "GRP_URL", "http://flux.aos.wisc.edu/twiki/bin/view/Main/ChEASData", 
"US-LPH", "6694", "GRP_URL", "http://harvardforest.fas.harvard.edu/research-facilities-and-resources", 
"US-LWW", "6897", "GRP_URL", "http://ecpc.ucsd.edu/gcip/data/obs/meyers/readme.htm", 
"US-Me1", "8608", "GRP_URL", "http://wwwdata.forestry.oregonstate.edu/terra/flux.htm", 
"US-Me2", "79383", "GRP_URL", "http://terraweb.forestry.oregonstate.edu/metolius-mature-pine-ameriflux-site-us-me2", 
"US-Me3", "17296", "GRP_URL", "http://wwwdata.forestry.oregonstate.edu/terra/flux.htm", 
"US-Me4", "960", "GRP_URL", "http://wwwdata.forestry.oregonstate.edu/terra/flux.htm", 
"US-Me5", "3524", "GRP_URL", "http://wwwdata.forestry.oregonstate.edu/terra/flux.htm", 
"US-Me6", "79384", "GRP_URL", "http://terraweb.forestry.oregonstate.edu/metolius-young-pine-burn-ameriflux-site-us-me6", 
"US-Men", "33597", "GRP_URL", "http://flux.aos.wisc.edu/data/", 
"US-Mj1", "29765", "GRP_URL", "sites.google.com/site/stoylab/home", 
"US-Mj2", "29745", "GRP_URL", "sites.google.com/site/stoylab/home", 
"US-MMS", "11730", "GRP_URL", "http://www.indiana.edu/~co2/", 
"US-Mpj", "81405", "GRP_URL", "http://www.litvaklab.org/pinon-juniper-woodland.html", 
"US-MRf", "10129", "GRP_URL", "http://terraweb.forestry.oregonstate.edu/mrf.htm", 
"US-MtB", "8609", "GRP_URL", "http://www.sahra.arizona.edu/research/TA1/towers/tower_30mEC.html", 
"US-Myb", "11208", "GRP_URL", "http://nature.berkeley.edu/biometlab/sites.php?tab=US-Myb", 
"US-NC1", "84734", "GRP_URL", "https://sites.google.com/site/ncfluxcoresites/", 
"US-NC2", "84741", "GRP_URL", "https://sites.google.com/site/ncfluxcoresites/", 
"US-NC4", "84747", "GRP_URL", "https://sites.google.com/site/ncfluxcoresites/", 
"US-Ne1", "5241", "GRP_URL", "http://csp.unl.edu/public/", 
"US-Ne2", "961", "GRP_URL", "http://csp.unl.edu/public/", 
"US-Ne3", "3525", "GRP_URL", "http://csp.unl.edu/public/", 
"US-NGB", "13267", "GRP_URL", "http://ngee-arctic.ornl.gov/", 
"US-NR1", "11589", "GRP_URL", "http://urquell.colorado.edu/data_ameriflux", 
"US-NR2", "5242", "GRP_URL", "http://www.mmm.ucar.edu/science/abl/forest/", 
"US-Nrf", "30925", "GRP_URL", "https://www.werc.usgs.gov/ProjectSubWebPage.aspx?SubWebPageID=10&ProjectID=279", 
"US-Nrs", "30883", "GRP_URL", "https://www.werc.usgs.gov/ProjectSubWebPage.aspx?SubWebPageID=10&ProjectID=279", 
"US-Oho", "12803", "GRP_URL", "http://lees.geo.msu.edu/index.html", 
"US-ORv", "83624", "GRP_URL", "http://flux.org.ohio-state.edu/", 
"US-OWC", "85895", "GRP_URL", "http://coastal.ohiodnr.gov/oldwomancreek", 
"US-PFa", "15246", "GRP_URL", "http://flux.aos.wisc.edu/twiki/bin/view/Main/ChEASData", 
"US-PFb", "87418", "GRP_URL", "https://www.eol.ucar.edu/field_projects/cheesehead", 
"US-PFc", "87441", "GRP_URL", "https://www.eol.ucar.edu/field_projects/cheesehead", 
"US-PFd", "87464", "GRP_URL", "https://www.eol.ucar.edu/field_projects/cheesehead", 
"US-PFe", "87487", "GRP_URL", "https://www.eol.ucar.edu/field_projects/cheesehead", 
"US-PFf", "87510", "GRP_URL", "https://www.eol.ucar.edu/field_projects/cheesehead", 
"US-PFg", "87520", "GRP_URL", "https://www.eol.ucar.edu/field_projects/cheesehead", 
"US-PFh", "87560", "GRP_URL", "https://www.eol.ucar.edu/field_projects/cheesehead", 
"US-PFi", "87532", "GRP_URL", "https://www.eol.ucar.edu/field_projects/cheesehead", 
"US-PFj", "87606", "GRP_URL", "https://www.eol.ucar.edu/field_projects/cheesehead", 
"US-PFk", "87625", "GRP_URL", "https://www.eol.ucar.edu/field_projects/cheesehead", 
"US-PFL", "87640", "GRP_URL", "https://www.eol.ucar.edu/field_projects/cheesehead", 
"US-PFm", "87671", "GRP_URL", "https://www.eol.ucar.edu/field_projects/cheesehead", 
"US-PFn", "87694", "GRP_URL", "https://www.eol.ucar.edu/field_projects/cheesehead", 
"US-PFo", "87717", "GRP_URL", "https://www.eol.ucar.edu/field_projects/cheesehead", 
"US-PFp", "87740", "GRP_URL", "https://www.eol.ucar.edu/field_projects/cheesehead", 
"US-PFq", "87791", "GRP_URL", "https://www.eol.ucar.edu/field_projects/cheesehead", 
"US-PFr", "87768", "GRP_URL", "https://www.eol.ucar.edu/field_projects/cheesehead", 
"US-PFs", "87809", "GRP_URL", "https://www.eol.ucar.edu/field_projects/cheesehead", 
"US-PFt", "87832", "GRP_URL", "https://www.eol.ucar.edu/field_projects/cheesehead", 
"US-Pnp", "79422", "GRP_URL", "http://flux.aos.wisc.edu/data/", 
"US-Pon", "2446", "GRP_URL", "http://www.nrel.colostate.edu/projects/okflux/", 
"US-Prr", "79387", "GRP_URL", "http://monitors.iarc.uaf.edu/poker-flat-research-range/data.php", 
"US-RC1", "86426", "GRP_URL", "https://www.reacchpna.org/", 
"US-Ro1", "12301", "GRP_URL", "http://www.biometeorology.umn.edu/", 
"US-Ro2", "14551", "GRP_URL", "http://www.biometeorology.umn.edu/", 
"US-Ro3", "14577", "GRP_URL", "http://www.biometeorology.umn.edu/", 
"US-Ro4", "14499", "GRP_URL", "http://www.biometeorology.umn.edu/", 
"US-Ro5", "30148", "GRP_URL", "http://www.biometeorology.umn.edu/", 
"US-Ro6", "30174", "GRP_URL", "http://www.biometeorology.umn.edu/", 
"US-RRC", "79840", "GRP_URL", "http://www.people.vcu.edu/~cmgough/", 
"US-SB1", "13250", "GRP_URL", "http://sbc-lars.blog.sbc.edu/", 
"US-SB2", "23565", "GRP_URL", "http://sbc-lars.blog.sbc.edu/", 
"US-SB3", "84641", "GRP_URL", "http://sbc-lars.blog.sbc.edu/", 
"US-SCc", "9286", "GRP_URL", "http://www.ess.uci.edu", 
"US-SCf", "9287", "GRP_URL", "http://www.ess.uci.edu", 
"US-SCg", "739", "GRP_URL", "http://www.ess.uci.edu", 
"US-SCs", "7541", "GRP_URL", "http://www.ess.uci.edu", 
"US-SCw", "6695", "GRP_URL", "http://www.ess.uci.edu", 
"US-Seg", "81420", "GRP_URL", "http://www.litvaklab.org/grassland.html", 
"US-Ses", "81423", "GRP_URL", "http://www.litvaklab.org/shrubland.html", 
"US-Shd", "1593", "GRP_URL", "http://www.nrel.colostate.edu/projects/okflux/", 
"US-SJ1", "9288", "GRP_URL", "http://www.ess.uci.edu/~marsh/", 
"US-SJ2", "5006", "GRP_URL", "http://www.ess.uci.edu/~marsh/", 
"US-Skr", "11917", "GRP_URL", "http://www.micromet.psu.edu/Everglades.html", 
"US-Slt", "13046", "GRP_URL", "http://www.nrs.fs.fed.us/ef/locations/nj/silas-little/", 
"US-Snd", "11247", "GRP_URL", "http://nature.berkeley.edu/biometlab/sites.php?tab=US-Snd", 
"US-Snf", "84774", "GRP_URL", "https://nature.berkeley.edu/biometlab/sites.php?tab=US-Tw5", 
"US-SO2", "15931", "GRP_URL", "http://gcrg.sdsu.edu", 
"US-SO3", "15949", "GRP_URL", "http://gcrg.sdsu.edu", 
"US-SO4", "15915", "GRP_URL", "http://gcrg.sdsu.edu", 
"US-SP1", "741", "GRP_URL", "http://carboncenter.ifas.ufl.edu/ameriflux.shtml", 
"US-SP2", "10131", "GRP_URL", "http://carboncenter.ifas.ufl.edu/ameriflux.shtml", 
"US-SP3", "5849", "GRP_URL", "http://carboncenter.ifas.ufl.edu/ameriflux.shtml", 
"US-SP4", "742", "GRP_URL", "http://carboncenter.ifas.ufl.edu/ameriflux.shtml", 
"US-SRC", "3299", "GRP_URL", "http://www.cals.arizona.edu/research/papuga/index.html", 
"US-SRM", "138", "GRP_URL", "http://ag.arizona.edu/SRER/", 
"US-SSH", "30699", "GRP_URL", "http://criticalzone.org/shale-hills/data/dataset/2558/", 
"US-Syv", "15327", "GRP_URL", "http://flux.aos.wisc.edu/twiki/bin/view/Main/ChEASData", 
"US-SZ1", "85794", "GRP_URL", "http://micromet.paccar.wsu.edu/fluxlit/", 
"US-SZ2", "85836", "GRP_URL", "http://micromet.paccar.wsu.edu/fluxlit/", 
"US-SZ3", "85853", "GRP_URL", "http://micromet.paccar.wsu.edu/fluxlit/", 
"US-Ton", "6737", "GRP_URL", "http://nature.berkeley.edu/biometlab/sites.php?tab=US-Ton", 
"US-Tw1", "12574", "GRP_URL", "http://nature.berkeley.edu/biometlab/sites.php?tab=US-Tw1", 
"US-Tw2", "11277", "GRP_URL", "http://nature.berkeley.edu/biometlab/sites.php?tab=US-Tw2", 
"US-Tw3", "11296", "GRP_URL", "http://nature.berkeley.edu/biometlab/sites.php?tab=US-Tw3", 
"US-Tw5", "84614", "GRP_URL", "http://nature.berkeley.edu/biometlab/sites.php?tab=US-Tw5", 
"US-Twt", "11946", "GRP_URL", "http://nature.berkeley.edu/biometlab/fielddescription.html", 
"US-Tx1", "86547", "GRP_URL", "http://two.tamu.edu/sites/primary/sfpr.aspx", 
"US-Tx2", "81571", "GRP_URL", "http://two.tamu.edu/sites/primary/rfpr.aspx", 
"US-Tx3", "79548", "GRP_URL", "http://two.tamu.edu/sites/primary/rfaa.aspx", 
"US-Tx4", "79613", "GRP_URL", "http://two.tamu.edu/sites/primary/rfta.aspx", 
"US-Tx5", "79639", "GRP_URL", "http://two.tamu.edu/sites/primary/tfpa.aspx", 
"US-Tx6", "79641", "GRP_URL", "http://two.tamu.edu/sites/primary/lcgr.aspx", 
"US-Tx7", "79691", "GRP_URL", "http://two.tamu.edu/sites/primary/lcsh.aspx", 
"US-Tx8", "86684", "GRP_URL", "http://two.tamu.edu/sites/primary/dafo.aspx", 
"US-Tx9", "79686", "GRP_URL", "http://two.tamu.edu/sites/primary/susm.aspx", 
"US-Uaf", "81367", "GRP_URL", "http://atmenv.envi.osakafu-u.ac.jp/data/uaf_data/", 
"US-UiA", "87901", "GRP_URL", "http://www.life.illinois.edu/bernacchi/", 
"US-UiB", "87929", "GRP_URL", "http://www.life.illinois.edu/bernacchi/", 
"US-UiC", "87940", "GRP_URL", "http://www.life.illinois.edu/bernacchi/", 
"US-UMB", "12343", "GRP_URL", "http://flux.org.ohio-state.edu/", 
"US-UMd", "12376", "GRP_URL", "http://flux.org.ohio-state.edu/", 
"US-Upa", "4102", "GRP_URL", "http://gcrg.sdsu.edu", 
"US-Var", "11336", "GRP_URL", "http://nature.berkeley.edu/biometlab/sites.php?tab=US-Var", 
"US-Vcm", "81432", "GRP_URL", "http://www.litvaklab.org/subalpine-mixed-conifer.html", 
"US-Vcp", "81437", "GRP_URL", "http://www.litvaklab.org/ponderosa-pine.html", 
"US-Vcs", "81438", "GRP_URL", "http://www.litvaklab.org/new-subalpine-mixed-conifer.html", 
"US-VFP", "84987", "GRP_URL", "https://www.abcrc.virginia.edu/siteman2/", 
"US-WBW", "4329", "GRP_URL", "http://www.arl.noaa.gov/research/programs/ase.html", 
"US-WCr", "14462", "GRP_URL", "http://flux.aos.wisc.edu/twiki/bin/view/Main/ChEASData", 
"US-Wgr", "16073", "GRP_URL", "http://terraweb.forestry.oregonstate.edu/wheat.htm", 
"US-Whs", "29706", "GRP_URL", "https://www.ars.usda.gov/pacific-west-area/tucson-az/southwest-watershed-research", 
"US-Wi0", "9294", "GRP_URL", "http://research.eeescience.utoledo.edu/lees/research/carbon/", 
"US-Wi1", "10134", "GRP_URL", "http://research.eeescience.utoledo.edu/lees/research/carbon/", 
"US-Wi2", "7550", "GRP_URL", "http://research.eeescience.utoledo.edu/lees/research/carbon/", 
"US-Wi3", "5013", "GRP_URL", "http://research.eeescience.utoledo.edu/lees/research/carbon/", 
"US-Wi4", "744", "GRP_URL", "http://research.eeescience.utoledo.edu/lees/research/carbon/", 
"US-Wi5", "1599", "GRP_URL", "http://research.eeescience.utoledo.edu/lees/research/carbon/", 
"US-Wi6", "8416", "GRP_URL", "http://research.eeescience.utoledo.edu/lees/research/carbon/", 
"US-Wi7", "5857", "GRP_URL", "http://research.eeescience.utoledo.edu/lees/research/carbon/", 
"US-Wi8", "2451", "GRP_URL", "http://research.eeescience.utoledo.edu/lees/research/carbon/", 
"US-Wi9", "1600", "GRP_URL", "http://research.eeescience.utoledo.edu/lees/research/carbon/", 
"US-Wjs", "81440", "GRP_URL", "http://www.litvaklab.org/juniper-savanna.html", 
"US-Wkg", "11809", "GRP_URL", "http://ars.usda.gov/PandP/docs.htm?docid=10978&page=1", 
"US-Wlr", "12474", "GRP_URL", "http://gonzalo.er.anl.gov/ABLE/index.html", 
"US-Wpp", "16117", "GRP_URL", "http://terraweb.forestry.oregonstate.edu/poplar.htm", 
"US-WPT", "12753", "GRP_URL", "http://lees.geo.msu.edu/index.html", 
"US-Wrc", "12456", "GRP_URL", "http://depts.washington.edu/wrccrf/", 
"US-Wwt", "16051", "GRP_URL", "http://terraweb.forestry.oregonstate.edu/wheat.htm", 
"US-xAB", "85346", "GRP_URL", "http://www.neonscience.org/field-sites/field-sites-map/ABBY", 
"US-xAE", "86234", "GRP_URL", "https://www.neonscience.org/field-sites/field-sites-map/OAES", 
"US-xBA", "85236", "GRP_URL", "https://www.neonscience.org/field-sites/field-sites-map/BARR", 
"US-xBL", "86542", "GRP_URL", "https://www.neonscience.org/field-sites/field-sites-map/BLAN", 
"US-xBN", "85540", "GRP_URL", "https://www.neonscience.org/field-sites/field-sites-map/BONA", 
"US-xBR", "79810", "GRP_URL", "http://www.neonscience.org/field-sites/field-sites-map/BART", 
"US-xCL", "79505", "GRP_URL", "http://www.neonscience.org/field-sites/field-sites-map/CLBJ", 
"US-xCP", "30475", "GRP_URL", "http://www.neonscience.org/science-design/field-sites/central-plains-experimental-range", 
"US-xDC", "85589", "GRP_URL", "https://www.neonscience.org/field-sites/field-sites-map/dcfs", 
"US-xDJ", "85565", "GRP_URL", "https://www.neonscience.org/field-sites/field-sites-map/deju", 
"US-xDL", "85530", "GRP_URL", "https://www.neonscience.org/field-sites/field-sites-map/dela", 
"US-xDS", "85494", "GRP_URL", "https://www.neonscience.org/field-sites/field-sites-map/DSNY", 
"US-xGR", "85478", "GRP_URL", "https://www.neonscience.org/field-sites/field-sites-map/grsm", 
"US-xHA", "79800", "GRP_URL", "http://www.neonscience.org/field-sites/field-sites-map/HARV", 
"US-xHE", "85456", "GRP_URL", "https://www.neonscience.org/field-sites/field-sites-map/HEAL", 
"US-xJE", "81967", "GRP_URL", "http://www.neonscience.org/field-sites/field-sites-map/JERC", 
"US-xJR", "85426", "GRP_URL", "https://www.neonscience.org/field-sites/field-sites-map/JORN", 
"US-xKA", "85416", "GRP_URL", "https://www.neonscience.org/field-sites/field-sites-map/kona", 
"US-xKZ", "79331", "GRP_URL", "http://www.neonscience.org/field-sites/field-sites-map/KONZ", 
"US-xLE", "85398", "GRP_URL", "https://www.neonscience.org/field-sites/field-sites-map/leno", 
"US-xMB", "86056", "GRP_URL", "https://www.neonscience.org/field-sites/field-sites-map/MOAB", 
