"SITE_ID", "GROUP_ID", "VARIABLE_GROUP", "URL", 
"US-xML", "85367", "GRP_URL", "https://www.neonscience.org/field-sites/field-sites-map/MLBS", 
"US-xNG", "81934", "GRP_URL", "https://www.neonscience.org/field-sites/field-sites-map/NOGP", 
"US-xNQ", "81921", "GRP_URL", "http://www.neonscience.org/field-sites/field-sites-map/ONAQ", 
"US-xPU", "86075", "GRP_URL", "https://www.neonscience.org/field-sites/field-sites-map/PUUM", 
"US-xRM", "86162", "GRP_URL", "https://www.neonscience.org/field-sites/field-sites-map/RMNP", 
"US-xRN", "86178", "GRP_URL", "http://www.neonscience.org/field-sites/field-sites-map/ORNL", 
"US-xSB", "79734", "GRP_URL", "http://www.neonscience.org/field-sites/field-sites-map/OSBS", 
"US-xSC", "86196", "GRP_URL", "http://www.neonscience.org/field-sites/field-sites-map/SCBI", 
"US-xSE", "81896", "GRP_URL", "https://www.neonscience.org/field-sites/field-sites-map/SERC", 
"US-xSJ", "86332", "GRP_URL", "https://www.neonscience.org/field-sites/field-sites-map/SJER", 
"US-xSL", "87103", "GRP_URL", "https://www.neonscience.org/field-sites/field-sites-map/STER", 
"US-xSP", "86398", "GRP_URL", "https://www.neonscience.org/field-sites/field-sites-map/SOAP", 
"US-xSR", "86475", "GRP_URL", "http://www.neonscience.org/field-sites/field-sites-map/SRER", 
"US-xST", "86334", "GRP_URL", "https://www.neonscience.org/field-sites/field-sites-map/STEI", 
"US-xTA", "86364", "GRP_URL", "https://www.neonscience.org/field-sites/field-sites-map/TALL", 
"US-xTE", "86305", "GRP_URL", "https://www.neonscience.org/field-sites/field-sites-map/TEAK", 
"US-xTL", "86211", "GRP_URL", "https://www.neonscience.org/field-sites/field-sites-map/TOOL", 
"US-xTR", "86431", "GRP_URL", "https://www.neonscience.org/field-sites/field-sites-map/TREE", 
"US-xUK", "86128", "GRP_URL", "https://www.neonscience.org/field-sites/field-sites-map/UKFS", 
"US-xUN", "79758", "GRP_URL", "http://www.neonscience.org/field-sites/field-sites-map/UNDE", 
"US-xWD", "79308", "GRP_URL", "http://www.neonscience.org/field-sites/field-sites-map/WOOD", 
"US-xWR", "86085", "GRP_URL", "https://www.neonscience.org/field-sites/field-sites-map/WREF", 
"US-xYE", "86120", "GRP_URL", "https://www.neonscience.org/field-sites/field-sites-map/YELL", 
"US-Ylw", "5049", "GRP_URL", "http://atmo.tamu.edu/yellowcabtower/", 
