"SITE_ID", "GROUP_ID", "VARIABLE_GROUP", "STATE", 
"US-Deu", "11438", "GRP_STATE", "CA", 
"US-DFK", "87339", "GRP_STATE", "WI", 
"US-Dia", "11510", "GRP_STATE", "CA", 
"US-Dix", "1490", "GRP_STATE", "NJ", 
"US-Dk1", "5754", "GRP_STATE", "NC", 
"US-Dk2", "1491", "GRP_STATE", "NC", 
"US-Dk3", "5755", "GRP_STATE", "NC", 
"US-DPP", "86718", "GRP_STATE", "FL", 
"US-DPW", "86887", "GRP_STATE", "FL", 
"US-EDN", "84719", "GRP_STATE", "CA", 
"US-Elm", "651", "GRP_STATE", "FL", 
"US-EML", "11158", "GRP_STATE", "AK", 
"US-Esm", "3196", "GRP_STATE", "FL", 
"US-Fcr", "85270", "GRP_STATE", "AK", 
"US-Fmf", "12007", "GRP_STATE", "AZ", 
"US-FPe", "6609", "GRP_STATE", "MT", 
"US-FR1", "10009", "GRP_STATE", "TX", 
"US-FR2", "6610", "GRP_STATE", "TX", 
"US-FR3", "1492", "GRP_STATE", "TX", 
"US-Fuf", "12027", "GRP_STATE", "AZ", 
"US-Fwf", "12052", "GRP_STATE", "AZ", 
"US-GBT", "16028", "GRP_STATE", "WY", 
"US-GCE", "86865", "GRP_STATE", "GA", 
"US-GLE", "15345", "GRP_STATE", "WY", 
"US-GMF", "7437", "GRP_STATE", "CT", 
"US-Goo", "6611", "GRP_STATE", "MS", 
"US-GZ1", "85764", "GRP_STATE", "WA", 
"US-GZ2", "85807", "GRP_STATE", "WA", 
"US-GZ3", "85876", "GRP_STATE", "WA", 
"US-Ha1", "11970", "GRP_STATE", "MA", 
"US-Ha2", "12595", "GRP_STATE", "MA", 
"US-HB1", "79523", "GRP_STATE", "SC", 
"US-HB2", "79877", "GRP_STATE", "SC", 
"US-HB3", "86455", "GRP_STATE", "SC", 
"US-HBK", "81457", "GRP_STATE", "NH", 
"US-Hn1", "83536", "GRP_STATE", "WA", 
"US-Hn2", "83482", "GRP_STATE", "WA", 
"US-Hn3", "83512", "GRP_STATE", "WA", 
"US-Ho1", "11460", "GRP_STATE", "ME", 
"US-Ho2", "11493", "GRP_STATE", "ME", 
"US-Ho3", "11789", "GRP_STATE", "ME", 
"US-HPY", "30555", "GRP_STATE", "NJ", 
"US-HRA", "12936", "GRP_STATE", "AR", 
"US-HRC", "12954", "GRP_STATE", "AR", 
"US-HRN", "87853", "GRP_STATE", "AR", 
"US-HRP", "31146", "GRP_STATE", "MA", 
