"SITE_ID", "GROUP_ID", "VARIABLE_GROUP", "DOI", "DOI_CITATION", "DOI_DATAPRODUCT", 
"CA-Ojp", "33542", "GRP_DOI", "10.17190/AMF/1375199", "Andrew T. Black (1999-) AmeriFlux CA-Ojp Saskatchewan - Western Boreal, Mature Jack Pine, 10.17190/AMF/1375199", "AmeriFlux", 
"CA-Qc2", "79479", "GRP_DOI", "10.17190/AMF/1419514", "Hank Margolis (2007-) AmeriFlux CA-Qc2 Quebec - 1975 Harvested Black Spruce (HBS75), 10.17190/AMF/1419514", "AmeriFlux", 
"CA-Qcu", "15819", "GRP_DOI", "10.17190/AMF/1246828", "Hank A. Margolis (2001-) AmeriFlux CA-Qcu Quebec - Eastern Boreal, Black Spruce/Jack Pine Cutover, 10.17190/AMF/1246828", "AmeriFlux", 
"CA-Qfo", "15822", "GRP_DOI", "10.17190/AMF/1246829", "Hank A. Margolis (2003-) AmeriFlux CA-Qfo Quebec - Eastern Boreal, Mature Black Spruce, 10.17190/AMF/1246829", "AmeriFlux", 
"CA-SCB", "86009", "GRP_DOI", "10.17190/AMF/1498754", "Oliver Sonnentag, William L Quinton (2014-2017) AmeriFlux CA-SCB Scotty Creek Bog, 10.17190/AMF/1498754", "AmeriFlux", 
"CA-SCC", "85011", "GRP_DOI", "10.17190/AMF/1480303", "Oliver Sonnentag, William L Quinton (2013-2016) AmeriFlux CA-SCC Scotty Creek Landscape, 10.17190/AMF/1480303", "AmeriFlux", 
"CA-SF1", "15622", "GRP_DOI", "10.17190/AMF/1246006", "Brian Amiro (2004-2006) AmeriFlux CA-SF1 Saskatchewan - Western Boreal, forest burned in 1977, 10.17190/AMF/1246006", "AmeriFlux", 
"CA-SF2", "15649", "GRP_DOI", "10.17190/AMF/1246007", "Brian Amiro (2001-2005) AmeriFlux CA-SF2 Saskatchewan - Western Boreal, forest burned in 1989, 10.17190/AMF/1246007", "AmeriFlux", 
"CA-SF3", "15655", "GRP_DOI", "10.17190/AMF/1246008", "Brian Amiro (2001-2006) AmeriFlux CA-SF3 Saskatchewan - Western Boreal, forest burned in 1998, 10.17190/AMF/1246008", "AmeriFlux", 
"CA-SJ1", "81563", "GRP_DOI", "10.17190/AMF/1436320", "Alan Barr (2001-) AmeriFlux CA-SJ1 Saskatchewan - Western Boreal, Jack Pine forest harvested in 1994, 10.17190/AMF/1436320", "AmeriFlux", 
"CA-SJ2", "81559", "GRP_DOI", "10.17190/AMF/1436321", "Alan Barr, Andrew T. Black (2003-) AmeriFlux CA-SJ2 Saskatchewan - Western Boreal, Jack Pine forest harvested in 2002, 10.17190/AMF/1436321", "AmeriFlux", 
"CA-SJ3", "81558", "GRP_DOI", "10.17190/AMF/1436322", "Alan Barr (2004-) AmeriFlux CA-SJ3 Saskatchewan - Western Boreal, Jack Pine forest harvested in 1975 (BOREAS Young Jack Pine), 10.17190/AMF/1436322", "AmeriFlux", 
"CA-TP1", "15648", "GRP_DOI", "10.17190/AMF/1246009", "M. Altaf Arain (2003-) AmeriFlux CA-TP1 Ontario - Turkey Point 2002 Plantation White Pine, 10.17190/AMF/1246009", "AmeriFlux", 
"CA-TP2", "15611", "GRP_DOI", "10.17190/AMF/1246010", "M. Altaf Arain (2003-2008) AmeriFlux CA-TP2 Ontario - Turkey Point 1989 Plantation White Pine, 10.17190/AMF/1246010", "AmeriFlux", 
"CA-TP3", "15707", "GRP_DOI", "10.17190/AMF/1246011", "M. Altaf Arain (2003-) AmeriFlux CA-TP3 Ontario - Turkey Point 1974 Plantation White Pine, 10.17190/AMF/1246011", "AmeriFlux", 
"CA-TP4", "15693", "GRP_DOI", "10.17190/AMF/1246012", "M. Altaf Arain (2003-) AmeriFlux CA-TP4 Ontario - Turkey Point 1939 Plantation White Pine, 10.17190/AMF/1246012", "AmeriFlux", 
"CA-TPD", "15671", "GRP_DOI", "10.17190/AMF/1246152", "M. Altaf Arain (2012-) AmeriFlux CA-TPD Ontario - Turkey Point Mature Deciduous, 10.17190/AMF/1246152", "AmeriFlux", 
"CA-WP1", "81561", "GRP_DOI", "10.17190/AMF/1436323", "Lawrence B. Flanagan (2003-) AmeriFlux CA-WP1 Alberta - Western Peatland - LaBiche River,Black Spruce/Larch Fen, 10.17190/AMF/1436323", "AmeriFlux", 
"CA-WP2", "81560", "GRP_DOI", "10.17190/AMF/1436324", "Lawrence B. Flanagan (2004-2004) AmeriFlux CA-WP2 Alberta - Western Peatland - Poor Fen (Sphagnum moss), 10.17190/AMF/1436324", "AmeriFlux", 
"CA-WP3", "81568", "GRP_DOI", "10.17190/AMF/1436325", "Lawrence B. Flanagan (2004-2004) AmeriFlux CA-WP3 Alberta - Western Peatland - Rich Fen  (Carex), 10.17190/AMF/1436325", "AmeriFlux", 
"CR-Lse", "15695", "GRP_DOI", "10.17190/AMF/1246013", "Hank Loescher (1998-) AmeriFlux CR-Lse La Selva, 10.17190/AMF/1246013", "AmeriFlux", 
"MX-Lpa", "15680", "GRP_DOI", "10.17190/AMF/1246014", "Walter Oechel (2001-) AmeriFlux MX-Lpa La Paz, 10.17190/AMF/1246014", "AmeriFlux", 
"US-A03", "86010", "GRP_DOI", "10.17190/AMF/1498752", "David Cook (2014-) AmeriFlux US-A03 ARM-AMF3-Oliktok, 10.17190/AMF/1498752", "AmeriFlux", 
"US-A10", "86011", "GRP_DOI", "10.17190/AMF/1498753", "David Cook (2012-) AmeriFlux US-A10 ARM-NSA-Barrow, 10.17190/AMF/1498753", "AmeriFlux", 
"US-A32", "81557", "GRP_DOI", "10.17190/AMF/1436327", "Lara Kueppers, Margaret Torn, Sebastien Biraud (2015-) AmeriFlux US-A32 ARM-SGP Medford hay pasture, 10.17190/AMF/1436327", "AmeriFlux", 
"US-A74", "81567", "GRP_DOI", "10.17190/AMF/1436328", "Lara Kueppers, Margaret Torn, Sebastien Biraud (2016-) AmeriFlux US-A74 ARM SGP milo field, 10.17190/AMF/1436328", "AmeriFlux", 
"US-ADR", "79333", "GRP_DOI", "10.17190/AMF/1418680", "Michael Moreo (2011-) AmeriFlux US-ADR Amargosa Desert Research Site (ADRS), 10.17190/AMF/1418680", "AmeriFlux", 
"US-Akn", "15688", "GRP_DOI", "10.17190/AMF/1246141", "Monique Leclerc (2011-2014) AmeriFlux US-Akn Aiken, 10.17190/AMF/1246141", "AmeriFlux", 
"US-ALQ", "85251", "GRP_DOI", "10.17190/AMF/1480323", "Brent Olson (2015-2017) AmeriFlux US-ALQ Allequash Creek Site, 10.17190/AMF/1480323", "AmeriFlux", 
"US-An1", "15712", "GRP_DOI", "10.17190/AMF/1246142", "Adrian Rocha, Gaius Shaver, John Hobbie (2008-) AmeriFlux US-An1 Anaktuvuk River Severe Burn, 10.17190/AMF/1246142", "AmeriFlux", 
"US-An2", "15635", "GRP_DOI", "10.17190/AMF/1246143", "Adrian Rocha, Gaius Shaver, John Hobbie (2008-) AmeriFlux US-An2 Anaktuvuk River Moderate Burn, 10.17190/AMF/1246143", "AmeriFlux", 
"US-An3", "15681", "GRP_DOI", "10.17190/AMF/1246144", "Adrian Rocha, Gaius Shaver, John Hobbie (2008-) AmeriFlux US-An3 Anaktuvuk River Unburned, 10.17190/AMF/1246144", "AmeriFlux", 
"US-AR1", "15705", "GRP_DOI", "10.17190/AMF/1246137", "Dave Billesbach, James Bradford, Margaret Torn (2009-2011) AmeriFlux US-AR1 ARM USDA UNL OSU Woodward Switchgrass 1, 10.17190/AMF/1246137", "AmeriFlux", 
"US-AR2", "15630", "GRP_DOI", "10.17190/AMF/1246138", "Dave Billesbach, James Bradford, Margaret Torn (2009-2012) AmeriFlux US-AR2 ARM USDA UNL OSU Woodward Switchgrass 2, 10.17190/AMF/1246138", "AmeriFlux", 
