"SITE_ID", "GROUP_ID", "VARIABLE_GROUP", "TOWER_POWER", 
"US-CdM", "86834", "GRP_TOWER_POWER", "Solar panels", 
"US-Ced", "29806", "GRP_TOWER_POWER", "Direct power", 
"US-CF1", "84816", "GRP_TOWER_POWER", "Solar panels", 
"US-CF2", "84836", "GRP_TOWER_POWER", "Solar panels", 
"US-CF3", "84856", "GRP_TOWER_POWER", "Solar panels", 
"US-CF4", "84876", "GRP_TOWER_POWER", "Solar panels", 
"US-Cms", "84688", "GRP_TOWER_POWER", "Direct power", 
"US-CRT", "29871", "GRP_TOWER_POWER", "Solar panels", 
"US-CS1", "83393", "GRP_TOWER_POWER", "Solar panels", 
"US-CS2", "87371", "GRP_TOWER_POWER", "Solar panels", 
"US-CS3", "87375", "GRP_TOWER_POWER", "Solar panels", 
"US-Cst", "29883", "GRP_TOWER_POWER", "Direct power", 
"US-Cwt", "84994", "GRP_TOWER_POWER", "Direct power", 
"US-CZ1", "30819", "GRP_TOWER_POWER", "Solar panels", 
"US-CZ2", "30835", "GRP_TOWER_POWER", "Solar panels", 
"US-CZ3", "30864", "GRP_TOWER_POWER", "Solar panels", 
"US-CZ4", "30849", "GRP_TOWER_POWER", "Solar panels", 
"US-DFK", "87352", "GRP_TOWER_POWER", "Solar panels", 
"US-Dia", "29863", "GRP_TOWER_POWER", "solar panels", 
"US-DPP", "86724", "GRP_TOWER_POWER", "Solar panels", 
"US-DPW", "86878", "GRP_TOWER_POWER", "Solar panels", 
"US-EDN", "84711", "GRP_TOWER_POWER", "Solar panels", 
"US-Fcr", "85264", "GRP_TOWER_POWER", "Solar panels", 
"US-Fmf", "29807", "GRP_TOWER_POWER", "solar panels", 
"US-Fuf", "29808", "GRP_TOWER_POWER", "solar panels", 
"US-Fwf", "29809", "GRP_TOWER_POWER", "solar panels", 
"US-GBT", "29917", "GRP_TOWER_POWER", "Direct Power", 
"US-GCE", "86867", "GRP_TOWER_POWER", "Solar panels", 
"US-GLE", "29810", "GRP_TOWER_POWER", "Direct Power", 
"US-GZ1", "85780", "GRP_TOWER_POWER", "Solar panels", 
"US-GZ2", "85808", "GRP_TOWER_POWER", "Solar panels", 
"US-GZ3", "85879", "GRP_TOWER_POWER", "Solar panels", 
"US-Ha1", "29811", "GRP_TOWER_POWER", "Direct power", 
"US-Ha2", "29812", "GRP_TOWER_POWER", "direct power", 
"US-HB1", "79521", "GRP_TOWER_POWER", "Solar panels", 
"US-HB2", "79883", "GRP_TOWER_POWER", "Solar panels", 
"US-HB3", "86462", "GRP_TOWER_POWER", "Solar panels", 
"US-HBK", "81458", "GRP_TOWER_POWER", "Solar panels", 
"US-Hn1", "83537", "GRP_TOWER_POWER", "Solar panels", 
"US-Hn2", "83484", "GRP_TOWER_POWER", "Solar panels", 
"US-Hn3", "83525", "GRP_TOWER_POWER", "Solar panels", 
"US-Ho1", "29813", "GRP_TOWER_POWER", "direct power", 
