"SITE_ID", "GROUP_ID", "VARIABLE_GROUP", "AG_LIT_BIOMASS", "AG_LIT_BIOMASS_UNIT", "AG_LIT_BIOMASS_DATE", "AG_LIT_BIOMASS_COMMENT", "AG_LIT_BIOMASS_SPATIAL_VARIABILITY", "AG_LIT_BIOMASS_SPATIAL_REP_NUMBER", "AG_LIT_BIOMASS_APPROACH", "AG_LIT_BIOMASS_DATE_UNC", 
"CA-Let", "25740", "GRP_AG_LIT_BIOMASS", "99.07352", "gC m-2", "20050725", "mass of dead plant material", , , , , 
"CA-Let", "25741", "GRP_AG_LIT_BIOMASS", "153.34306", "gC m-2", "20050613", "mass of dead plant material", , , , , 
"CA-Let", "25851", "GRP_AG_LIT_BIOMASS", "165.807675", "gC m-2", "20030416", "mass of dead plant material", , , , , 
"CA-Let", "25852", "GRP_AG_LIT_BIOMASS", "131.325199", "gC m-2", "20030730", "mass of dead plant material", , , , , 
"CA-Let", "25967", "GRP_AG_LIT_BIOMASS", "193.092275", "gC m-2", "19990719", "mass of dead plant material", , , , , 
"CA-Let", "25968", "GRP_AG_LIT_BIOMASS", "154.86153", "gC m-2", "19990825", "mass of dead plant material", , , , , 
"CA-Let", "25969", "GRP_AG_LIT_BIOMASS", "135.3206", "gC m-2", "20020731", "mass of dead plant material", , , , , 
"CA-Let", "25970", "GRP_AG_LIT_BIOMASS", "115.29856", "gC m-2", "20020605", "mass of dead plant material", , , , , 
"CA-Let", "25971", "GRP_AG_LIT_BIOMASS", "84.581735", "gC m-2", "20020704", "mass of dead plant material", , , , , 
"CA-Let", "25972", "GRP_AG_LIT_BIOMASS", "166.076798", "gC m-2", "20030514", "mass of dead plant material", , , , , 
"CA-Let", "25973", "GRP_AG_LIT_BIOMASS", "229.927785", "gC m-2", "20040506", "mass of dead plant material", , , , , 
"CA-Let", "25974", "GRP_AG_LIT_BIOMASS", "229.52514", "gC m-2", "20040915", "mass of dead plant material", , , , , 
"CA-Let", "25975", "GRP_AG_LIT_BIOMASS", "207.756", "gC m-2", "20050908", "mass of dead plant material", , , , , 
"CA-Let", "25976", "GRP_AG_LIT_BIOMASS", "208.308201", "gC m-2", "20060501", "mass of dead plant material", , , , , 
"CA-Let", "25977", "GRP_AG_LIT_BIOMASS", "223.446445", "gC m-2", "20060705", "mass of dead plant material", , , , , 
"CA-Let", "26133", "GRP_AG_LIT_BIOMASS", "162.234501", "gC m-2", "19990511", "mass of dead plant material", , , , , 
"CA-Let", "26134", "GRP_AG_LIT_BIOMASS", "154.71187", "gC m-2", "19990525", "mass of dead plant material", , , , , 
"CA-Let", "26135", "GRP_AG_LIT_BIOMASS", "216.919704", "gC m-2", "19990621", "mass of dead plant material", , , , , 
"CA-Let", "26136", "GRP_AG_LIT_BIOMASS", "109.402118", "gC m-2", "20000711", "mass of dead plant material", , , , , 
"CA-Let", "26137", "GRP_AG_LIT_BIOMASS", "116.887625", "gC m-2", "20000808", "mass of dead plant material", , , , , 
"CA-Let", "26138", "GRP_AG_LIT_BIOMASS", "176.28672", "gC m-2", "20040629", "mass of dead plant material", , , , , 
"CA-Let", "26139", "GRP_AG_LIT_BIOMASS", "114.583545", "gC m-2", "20040712", "mass of dead plant material", , , , , 
"CA-Let", "26140", "GRP_AG_LIT_BIOMASS", "156.63069", "gC m-2", "20040805", "mass of dead plant material", , , , , 
"CA-Let", "26141", "GRP_AG_LIT_BIOMASS", "156.798853", "gC m-2", "20050808", "mass of dead plant material", , , , , 
"CA-Let", "26142", "GRP_AG_LIT_BIOMASS", "204.1984", "gC m-2", "20060828", "mass of dead plant material", , , , , 
"CA-Let", "26143", "GRP_AG_LIT_BIOMASS", "212.91283", "gC m-2", "20060911", "mass of dead plant material", , , , , 
"CA-Let", "26233", "GRP_AG_LIT_BIOMASS", "88.61424", "gC m-2", "19990423", "mass of dead plant material", , , , , 
"CA-Let", "26234", "GRP_AG_LIT_BIOMASS", "82.47096", "gC m-2", "20020627", "mass of dead plant material", , , , , 
"CA-Let", "26235", "GRP_AG_LIT_BIOMASS", "91.50408", "gC m-2", "20020923", "mass of dead plant material", , , , , 
"CA-Let", "26236", "GRP_AG_LIT_BIOMASS", "163.67932", "gC m-2", "20010716", "mass of dead plant material", , , , , 
"CA-Let", "26237", "GRP_AG_LIT_BIOMASS", "119.713583", "gC m-2", "20020715", "mass of dead plant material", , , , , 
"CA-Let", "26238", "GRP_AG_LIT_BIOMASS", "255.32116", "gC m-2", "20030501", "mass of dead plant material", , , , , 
"CA-Let", "26239", "GRP_AG_LIT_BIOMASS", "263.448328", "gC m-2", "20030528", "mass of dead plant material", , , , , 
"CA-Let", "26240", "GRP_AG_LIT_BIOMASS", "133.042418", "gC m-2", "20030716", "mass of dead plant material", , , , , 
"CA-Let", "26241", "GRP_AG_LIT_BIOMASS", "272.1735", "gC m-2", "20051012", "mass of dead plant material", , , , , 
"CA-Let", "26242", "GRP_AG_LIT_BIOMASS", "158.75505", "gC m-2", "20050505", "mass of dead plant material", , , , , 
"CA-Let", "26243", "GRP_AG_LIT_BIOMASS", "223.937268", "gC m-2", "20060420", "mass of dead plant material", , , , , 
"CA-Let", "26244", "GRP_AG_LIT_BIOMASS", "199.89728", "gC m-2", "20060518", "mass of dead plant material", , , , , 
"CA-Let", "26245", "GRP_AG_LIT_BIOMASS", "169.937712", "gC m-2", "20060718", "mass of dead plant material", , , , , 
"CA-Let", "26246", "GRP_AG_LIT_BIOMASS", "191.177", "gC m-2", "20060814", "mass of dead plant material", , , , , 
"CA-Let", "26247", "GRP_AG_LIT_BIOMASS", "320.386416", "gC m-2", "20061024", "mass of dead plant material", , , , , 
"CA-Let", "26364", "GRP_AG_LIT_BIOMASS", "130.764632", "gC m-2", "20010801", "mass of dead plant material", , , , , 
"CA-Let", "26365", "GRP_AG_LIT_BIOMASS", "121.024575", "gC m-2", "20010912", "mass of dead plant material", , , , , 
"CA-Let", "26366", "GRP_AG_LIT_BIOMASS", "120.673296", "gC m-2", "20020722", "mass of dead plant material", , , , , 
"CA-Let", "26367", "GRP_AG_LIT_BIOMASS", "127.758413", "gC m-2", "20020904", "mass of dead plant material", , , , , 
"CA-Let", "26368", "GRP_AG_LIT_BIOMASS", "218.521674", "gC m-2", "20031002", "mass of dead plant material", , , , , 
"CA-Let", "26369", "GRP_AG_LIT_BIOMASS", "196.807917", "gC m-2", "20040421", "mass of dead plant material", , , , , 
