"SITE_ID", "GROUP_ID", "VARIABLE_GROUP", "DM_PLANTING", "DM_DATE", "DM_COMMENT", "DM_SURF", "DM_SURF_MEAS_UNC", "DM_DATE_START", "DM_DATE_END", 
"US-Ne1", "8768", "GRP_DM_PLANTING", "Sowing crop seeds", "20050505", "maize DeKalb 63-75 CRW/BT Poncho 250 treated corn 33,337 seeds/ac ( 82,374 pl ha-1 ),   Starter fertilizer 10-34-0 5 gal/ac; 33,337 seeds/ac ( 82,374 pl ha-1 ),  Poncho 250 treated,Starter fertilizer 10-34-0 5 gal/ac", , , , , 
"US-Ne1", "8776", "GRP_DM_PLANTING", "Sowing crop seeds", "20010510", "maize Pioneer 33P67 BT, 33P66 non-BT (refuge), 36,000 seeds/acre ( 82,000 pl ha-1 )", , , , , 
"US-Ne1", "9616", "GRP_DM_PLANTING", "Sowing crop seeds", "20030620", "Maize Pioneer 33B51 BT; 34,000 pl/ac (77,000 pl ha-1 )starter fertilizer and Aztec 2.1G", , , , , 
"US-Ne2", "1112", "GRP_DM_PLANTING", "Sowing crop seeds", "20020520", "soybean Asgrow 2703 Roundup Ready 150,000 seed/ac (370,644 seed ha-1 ),", , , , , 
"US-Ne2", "2802", "GRP_DM_PLANTING", "Sowing crop seeds", "20070502", "31,866 seed/acre Pioneer 31N28 YG Poncho25 treated seed", , , , , 
"US-Ne2", "3654", "GRP_DM_PLANTING", "Sowing crop seeds", "20070521", "31,866 seed/acre Pioneer 31N28 YG Poncho25 treated seed", , , , , 
"US-Ne2", "4481", "GRP_DM_PLANTING", "Sowing crop seeds", "20080514", , , , , , 
"US-Ne2", "7033", "GRP_DM_PLANTING", "Sowing crop seeds", "20040602", "soybean Pioneer  93B09 150,000 seed/ac ( 370,644 seed ha-1).", , , , , 
"US-Ne2", "7911", "GRP_DM_PLANTING", "Sowing crop seeds", "20060512", "Soybean Pioneer 93M11 150,000 seed/ac ( 370,644 seed ha-1).", , , , , 
"US-Ne2", "7914", "GRP_DM_PLANTING", "Sowing crop seeds", "20070501", "31,866 seed/acre Pioneer 31N28 YG Poncho25 treated seed", , , , , 
"US-Ne2", "9619", "GRP_DM_PLANTING", "Sowing crop seeds", "20030514", "Maize Pioneer 33B51 BT Gaucho Treated 1489 seed/lb,  34,128 seeds/ac ( 84,329 seed ha-1)  62.6ac,   JD7210/JD1750  36,020 seeds/ac ( 89,004 seed ha-1)  68.6ac", , , , , 
"US-Ne2", "9621", "GRP_DM_PLANTING", "Sowing crop seeds", "20050502", "Maize Pioneer 33B51 BT Poncho250 treated corn 33,671 seed/ac ( 83,200 seed ha-1)", , , , , 
"US-Ne2", "9634", "GRP_DM_PLANTING", "Sowing crop seeds", "20010511", "Maize Pioneer 33P67, 33P66 non-Bt (refuge),  North  half - 33,221 seed/ac ( 82,087 seed ha-1), south half - 34,214 seed/ac ( 84,541 seed ha-1)", , , , , 
"US-Ne3", "2816", "GRP_DM_PLANTING", "Sowing crop seeds", "20040602", "soybean Pioneer 93B09 150,000 seed/ac (370,644 seed ha-1)", , , , , 
"US-Ne3", "3656", "GRP_DM_PLANTING", "Sowing crop seeds", "20020520", "soybeans Asgrow 2703 Roundup Ready 150,000/acre (370,644 seed ha-1 )", , , , , 
"US-Ne3", "3666", "GRP_DM_PLANTING", "Sowing crop seeds", "20050427", "maize Pioneer 33G68 BT Poncho250 treated corn 24,427 seed/ac ( 60,358 seed ha-1 ) 129.2 ac,", , , , , 
"US-Ne3", "7934", "GRP_DM_PLANTING", "Sowing crop seeds", "20030513", "maize Pioneer 33B51 BT Gaucho  26,019 ( 64,292 seed ha-1 )  73.6 ac IH, maize Pioneer 33B51 BT Gaucho  26,754  ( 66,108 seed ha-1 ) 56.7 ac JD, Pioneer 33B50 Gaucho 26,112  ( 64,521 seed ha-1 ) (refuge)  33.7 ac 1367 seeds/lb, JD7410/JD1750 Refuge and 56.", , , , , 
"US-Ne3", "8780", "GRP_DM_PLANTING", "Sowing crop seeds", "20050426", "maize Pioneer 33G66 BT Poncho250 treated corn 23,952 seed/ac ( 59,184 seed ha-1 ) 33.4 ac", , , , , 
"US-Ne3", "9626", "GRP_DM_PLANTING", "Sowing crop seeds", "20010514", "maize Pioneer 33B51 BT Gaucho  25,187 seed/ac ( 62,236 seed ha-1) 125.8 ac, maize Pioneer 33B50 Gaucho 25,231( 62,344 seed ha-1) (refuge)  35.6 ac", , , , , 
"US-Ne3", "9639", "GRP_DM_PLANTING", "Sowing crop seeds", "20060511", "Soybean Pioneer 93M11 150,000 seed/ac (370,644 seed ha-1 )", , , , , 
"US-ORv", "16131", "GRP_DM_PLANTING", "Planting live grasses", , "Wetland park was created and 2 experimental wetlands flooded. Vegetation in the western experimental wetland was planted with ndigenous species.", "100", "100", "1993", "1994", 
"US-SP2", "9652", "GRP_DM_PLANTING", "Planting live trees", "19981201", "Prior to planting the site was double bedded and herbicided. It was planted at ~ 1800 trees ha-1", , , , , 
"US-SP3", "8793", "GRP_DM_PLANTING", "Planting live trees", "1990", "Planted at 2032 trees/ha", , , , , 
