,names  Year (gC/m2/day),1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
25,US-Wkg,1.67575812,1.705245979,1.532925036,1.312207724,1.426224732,1.462169746,1.654319784,1.473283121,1.005920239,1.456578376,1.352775884,1.439067797,0.714618801,1.624339908,1.04051759,1.229597028,1.576645597,1.788852437,1.543504977,1.75149955,1.186270897,1.720854736,1.563795229,1.304661753,1.427428238,1.470116465,1.668460086,1.482402042,1.015397435,1.462981655,1.364258117,1.44940247,0.718915437,1.639735321,1.051743531,1.244349546,1.583832644,1.800451375,1.578694837,1.748400127,1.198707559,1.738188094,1.57097058,1.318013007,1.434597508,1.481390505,1.676301297,1.498271382,1.021982238,1.470351136,1.552095149,1.37935849,0.699373719,1.65115998,1.063736375,1.24670002,1.587297291,1.804269928,1.594794434,1.747667151,1.210684126,1.746346927,1.581132547,1.328306067,1.444200678,1.492617028,1.690873045,1.525859525,1.028091793,1.481403569,1.575439907,1.261477347,1.4376506,1.121798683,1.11089299,1.273121428,1.198313681,1.681386075,1.091767774,1.527792467,1.723273048,1.677908429,1.541934568,1.865389663,1.173342108,1.541060041,1.204580037,1.627982002,1.327877449,1.530094444,1.542681325,1.796558193,1.351299774,1.227478027,1.144188974,1.084266743,1.365005751,1.160929036,1.112398459,1.358200241,0.929594481,1.032994461,1.130941453,1.100947167,1.141187279,1.412665593,1.003362193,1.079722044,1.330367201,1.18989978,0.973282278,0.709762895,1.417149853,1.110673012,0.941612114,1.316023227,1.377948008,0.866758258,1.617841902,0.81060506,1.394151304,1.069676457,1.368451131,1.393000328,1.081042582,1.499134794,1.371425835,1.131717039,1.631635892,1.396471674,1.066625601,0.916973014,0.824434279,2.000496624,1.973305497,1.960793652,1.923171956,1.746562015,1.640695312,1.157123393,1.23717186,1.707607322,2.128203268,1.392705829,1.469554039,1.916423152,1.135589164,1.042560835,1.666476629,1.200900046,1.071042928,1.870418228,1.136569863,1.056517754,1.577597815,1.632780234,1.126239608,1.606560985,1.414347533,1.170512553,1.60293328,0.969721233,0.904284952,1.032302868,1.452319383
26,US-NC2,3.844259254,3.762449588,3.588798242,3.804396075,3.717821559,3.715943213,3.780755284,3.811574272,3.752307812,3.736987697,3.663565565,3.777594154,3.712673852,3.787280963,3.695876819,3.757042592,3.866350913,3.896043084,3.90648116,3.988345506,3.92763178,3.822472265,3.640450489,3.856512628,3.765508275,3.761661335,3.826735668,3.858008902,3.796773167,3.782208222,3.712251181,3.828413384,3.762530434,3.838074052,3.746127586,3.804094497,3.910734884,3.944474742,3.948747444,4.028056187,3.970100159,3.843807954,3.672918315,3.889860737,3.798752147,3.795987547,3.859377549,3.896500527,3.824423022,3.80966731,3.745150937,3.857635174,3.790953284,3.866905664,3.776378962,3.832470933,3.939975245,3.981438333,3.985347941,4.068693369,4.016564807,3.885098873,3.719445172,3.944618125,3.857960169,3.859012766,3.927142394,3.969795136,3.899423611,3.887598749,3.823470026,3.984437771,3.977783679,3.905993346,3.85479621,3.906156427,3.848937208,3.845704295,3.821299021,3.921766739,3.934752259,3.929683381,3.937258107,3.970376906,4.044932612,4.070660143,3.978716978,4.058370859,4.167494267,4.149863104,3.934119346,3.965613928,3.896502033,3.935562946,3.957277235,4.008612123,4.162642559,4.11569548,4.001725918,4.088632633,4.189613664,4.107127171,3.966961778,4.094782422,3.989922862,4.000208322,4.117429788,4.003947083,3.943825079,4.048919058,4.052238147,4.153976837,4.081396811,4.053304574,4.137309134,4.160758399,4.188038822,4.181814512,4.129178714,4.127233877,4.108577005,4.203640766,4.273276085,4.329776517,4.379351728,4.286650525,4.339711652,4.142031878,4.11476429,4.238809594,4.113532622,4.097512277,4.218155197,4.245384464,4.359564425,4.307439465,4.286706854,4.32256749,4.416607245,4.358890049,4.522240415,4.509000662,4.56147943,4.430037568,4.408509423,4.378509976,4.414468668,4.48029356,4.447269347,4.45679462,4.450445826,4.53908123,4.445024607,4.565634707,4.61630872,4.560624895,4.656335909,4.464847271,4.367495906,4.471988129,4.383552948,4.388667113,4.46835261,4.544783557,4.437797704
27,CA-Ca1,2.348104324,2.305018831,2.371537542,2.406084846,2.458609951,2.454437109,2.39870314,2.323665615,2.24309243,2.246044991,2.324924459,2.374126028,2.35308031,2.348970941,2.354904379,2.475157936,2.443430419,2.356934132,2.421899369,2.358155022,2.381056919,2.322151009,2.39065335,2.42207296,2.47341175,2.471088709,2.417187126,2.344912473,2.264948881,2.265647581,2.348442826,2.400162259,2.382884298,2.380570382,2.388449751,2.512884107,2.483542459,2.396009242,2.462501839,2.400200724,2.421867184,2.364102912,2.432990546,2.464175836,2.51628783,2.514712802,2.455805726,2.345252726,2.284657892,2.292241271,2.381242699,2.436108205,2.421354375,2.419996687,2.438244054,2.558272577,2.527366408,2.439194644,2.50311142,2.441552113,2.465070683,2.404982439,2.47828547,2.511893454,2.567433234,2.567178395,2.508275442,2.432777986,2.354622492,2.354168818,2.436006148,2.531649908,2.290325371,2.476586062,2.3963188,2.458439572,2.584748043,2.402005394,2.509592186,2.453337203,2.433768688,2.460205243,2.396513165,2.47494112,2.605005368,2.542635102,2.687886006,2.633041603,2.530386025,2.517073172,2.573183531,2.69488443,2.625932046,2.684086041,2.506525339,2.522851407,2.580308296,2.659480915,2.641273339,2.65545326,2.602785532,2.496203189,2.61409767,2.653776663,2.6929966,2.647192698,2.605615694,2.68569678,2.625477315,2.745457101,2.696393828,2.571044391,2.800699429,2.863307485,2.879409733,2.734527322,2.765952118,2.675380933,2.758389222,2.756478276,2.848073703,2.715562775,2.616534515,2.79047517,2.809989158,2.716206731,2.941901991,2.893904133,2.89598756,2.898686719,2.968787515,3.07463151,2.907482446,3.105910606,3.089605518,2.83357269,2.955967349,2.905393086,2.976680092,2.969930224,2.940255474,3.050322852,3.04980208,3.146223107,3.130408112,3.090478847,3.095052518,3.200140426,3.191109429,3.212338289,3.263231947,3.338326957,3.284198172,3.245382606,3.241354912,3.332235507,3.20061473,3.196240267,3.162254787,3.120571995,3.216801724,3.239366881,3.274193735,3.327007167,3.24780571
28,CA-Oas,1.217292425,2.161878328,2.736841605,2.621391437,1.861115944,1.871482638,2.543297004,1.311943098,1.766871326,1.845871328,1.523893168,1.923017123,2.447984799,2.378520077,2.726091486,1.715020386,1.838798838,1.856582549,2.307214283,2.256924577,1.177259218,2.207916521,2.816907695,2.647118549,1.89812743,1.903083605,2.559778725,1.340965727,1.781260481,1.868833853,1.55162629,1.952797427,2.488435797,2.41374549,2.765129035,1.753700573,1.873699585,1.894263068,2.349486703,2.310034298,1.228430948,2.259625848,2.87164524,2.697719248,1.937942544,1.946054892,2.601381605,1.381094165,1.858369864,1.909013647,1.596577402,1.591777799,2.346290515,2.477607962,2.848075742,1.824977942,1.877921899,1.541225345,2.029582415,2.313950273,1.35907873,2.525730414,2.997325399,2.757002746,2.007703313,2.053286215,2.680782205,1.524317358,1.933334853,1.909102146,1.747813389,2.006292628,2.177594582,2.337449793,1.525607783,1.897578441,2.050237794,2.21409832,1.780131647,1.520265488,1.728725232,1.382465047,1.811459085,1.773861119,1.779576868,1.785422945,1.328419482,1.608905328,1.446333093,1.759918147,1.802929786,1.624851203,2.563276687,2.124845424,2.029955453,1.798362132,2.045837597,1.442655324,2.228964777,2.775411226,2.721294767,2.230327456,2.514171579,1.862979595,2.56729457,2.367354669,2.141412201,2.216454166,1.846534484,1.918490515,2.44378529,1.324154436,1.909659072,2.646693277,1.695926742,2.647437781,2.464029874,1.699625249,2.25052676,2.010522723,2.064025747,2.252875128,1.425172017,2.672209523,3.133852165,2.845549521,2.257033553,2.573652528,2.596234531,2.404159403,2.609656561,2.178382269,2.572215874,2.464987435,2.655549252,2.44339997,2.695404696,2.879303631,2.271710344,2.264091521,2.465483425,2.553067633,2.096272592,2.64519302,2.841409383,2.414709913,2.892750916,2.533637798,2.631639272,2.941150059,2.831255634,1.864641473,1.767361869,2.125255967,2.749352978,2.509494234,2.785124485,2.875071989,2.694617251,2.715953542,2.993982517,3.004511986,3.168034635,3.093725725,3.023364816
29,CA-Ojp,2.590331792,2.625150354,2.550383938,2.463168047,2.567094866,2.691392295,2.552875158,2.218767755,2.597749296,2.433671673,2.377246777,2.414461318,2.547821233,2.564649217,2.531050542,2.446593414,2.600124345,2.323074729,2.60360628,2.414629461,2.598671656,2.725328567,2.568055189,2.450653153,2.575016969,2.69416145,2.558059545,2.23339632,2.61140623,2.45409864,2.422114964,2.445469262,2.576412848,2.599227019,2.564114544,2.484706651,2.637157104,2.363303762,2.651741479,2.466145191,2.65892301,2.777387485,2.616953679,2.497504529,2.630850371,2.745576291,2.603013121,2.270773627,2.655146443,2.495666294,2.438587094,2.492932829,2.61403789,2.649858595,2.603534898,2.523537416,2.678058883,2.406483262,2.701474003,2.515352657,2.70580742,2.777985632,2.665764773,2.550064231,2.685932969,2.807824981,2.660986462,2.317772544,2.706291315,2.549670823,2.485756701,2.39121071,2.49957649,2.780123625,2.340098628,2.638650021,2.509836426,2.421142419,2.268381025,2.153829648,2.226283708,2.236029939,2.105498844,2.040664033,2.096998109,2.179917038,2.036877713,2.276424781,2.246526364,2.219957366,2.327440702,2.40278931,2.30388923,2.48949595,2.314743127,2.086353755,2.540376504,2.240248062,2.428534828,2.759372742,2.593337003,2.46277791,2.872947307,2.636427485,2.519005267,2.637205893,2.615619432,2.736638455,2.932193988,2.751730095,2.811653058,2.288357192,2.704830249,2.861299615,2.68744598,2.565077668,2.597294592,2.549431907,2.586779338,2.614567803,2.555907471,2.809490651,2.739597665,2.807948264,2.989527344,3.091828087,3.124296157,3.272874665,3.04434887,2.734596388,3.043801931,2.93241626,2.979941223,2.939776925,3.121257733,3.263343103,3.181259595,3.449722304,3.201093348,3.109279389,3.066425554,3.231293229,3.224562959,3.362814218,3.19323827,2.933702948,2.984016772,3.147074518,3.357666218,3.483430959,3.389913656,3.062166068,2.686624628,2.934521835,2.977888587,3.160969689,3.310266752,3.258691838,3.373157499,3.44737465,3.527341376,3.41646451,3.755688023,3.47911154,3.291933696
30,CA-Man,2.121469295,2.381989242,2.275964435,2.396939729,2.31555626,2.331217952,2.187219895,2.08398379,2.172517639,2.258964434,2.363691488,2.299437012,2.291467362,2.07918867,2.208693214,2.295198312,2.073407899,1.905513258,2.347195759,2.186002902,2.063666383,2.451965393,2.351092086,2.498470873,2.393861368,2.425683998,2.221730699,2.146018836,2.219381759,2.313005646,2.402485462,2.336363135,2.321263156,2.108689876,2.243441528,2.334201047,2.112620135,1.964232291,2.387868332,2.216104073,2.09654826,2.495688358,2.385906711,2.531660393,2.428147991,2.462689237,2.249738324,2.172536665,2.227266211,2.334169396,2.426135476,2.358119475,2.345906016,2.130874583,2.269267452,2.357158434,2.1402457,2.000558336,2.428139988,2.266702883,2.138615246,2.540014784,2.426451382,2.572289119,2.467526965,2.520707561,2.29606678,2.225977666,2.269494443,2.388313577,2.471937785,2.268886064,2.458630512,2.450875422,2.189387661,2.375998455,2.3881651,2.170968659,2.260164039,2.095227098,2.217954049,2.010783466,2.153973741,2.271038792,2.070437272,2.419820062,2.312778541,2.528991452,2.582679614,2.491570407,2.665425437,2.476639648,2.628052273,2.533306092,2.340248055,1.920707997,2.365301968,2.167295441,2.142126716,2.37551869,2.314596935,2.558066407,2.872821846,2.513968423,2.402409561,2.695955128,2.289964995,2.681477481,2.505181062,2.46310163,2.462260959,2.258218441,2.489741194,2.54980248,2.737012195,2.513694787,2.394703942,2.291003406,2.297488442,2.640076075,2.431186277,2.699940128,2.676499772,2.532873487,2.483969942,2.843421393,2.694575475,3.043235013,2.676320336,2.448339966,2.797472223,2.429727878,2.751209706,2.235593293,2.927251455,2.80446985,2.722293371,3.040363562,2.852153133,2.652799833,2.542468726,2.534853509,2.660377918,2.664029312,2.626302508,2.543326073,2.250500585,2.380373218,2.811972192,3.113846026,2.727796881,2.879720403,2.195825357,2.718444331,2.214006246,2.946926055,3.048712945,2.742500027,2.582711102,2.345994506,3.070013802,2.782495449,2.882914842,2.644693278,2.608778148
31,US-MOz,3.082370052,3.056480352,2.70182307,2.838907156,2.748331942,2.85468464,3.003769676,2.896458452,3.008424313,3.199117976,2.980222259,2.105283155,2.30335878,2.965121485,2.935338222,3.018637634,3.118027062,3.258437335,3.099384976,3.085819352,3.210449158,3.00571571,2.848489833,2.822506135,2.782380793,3.042880995,3.077197849,3.001221151,2.990487809,3.319698901,3.058406248,1.975377948,2.505381968,3.195058327,3.183714215,3.165479615,3.228812163,3.37296958,3.147631637,3.198315244,3.316181946,2.855665953,3.005323556,2.768757605,2.717337447,3.244142819,3.251955701,3.167121548,3.078141134,3.49668662,3.196648606,2.024467243,2.648570906,3.429045812,3.433945723,3.35933426,3.395838734,3.458402888,3.214045412,3.298943621,3.450678224,2.766831316,3.015419174,2.829259029,2.858599903,3.43810414,3.41304207,3.289475964,3.198024301,3.643080849,3.32225477,3.25884315,3.466978849,3.446858436,3.516750629,3.597379273,3.507261821,3.464965177,3.627324705,3.319874188,2.849910342,2.777797918,2.812173696,2.753654278,2.117806368,2.895595517,1.928478324,2.744588982,3.267941665,3.120253663,2.814187673,2.736990976,3.459766478,3.602365746,3.066313946,3.192370167,3.83038721,3.566888093,3.474268947,3.676435822,3.358272971,3.609464403,3.642095326,3.044321245,3.311629958,3.72577018,3.425880278,3.27602959,3.660593412,3.150484445,3.044583333,3.294061286,3.376238926,3.455751835,3.165091783,3.679113529,3.683439905,3.809715401,3.736116232,3.598716553,3.65389907,3.562306289,2.988577551,3.347477021,3.858734459,3.820931128,2.71243009,3.225805168,3.449850672,3.450146897,2.559079899,3.244665885,3.750645739,3.357713147,3.242283823,3.61892083,3.838804849,3.877191321,2.864119581,3.468908484,3.885627069,3.837512563,3.353875269,3.663224395,3.363482585,3.522556515,3.666298503,3.626475485,3.569763123,3.459299361,3.545467499,3.726505598,4.020658183,3.529923172,3.764752398,3.345378778,3.746061492,3.89363966,4.034792242,4.102699782,4.036770376,3.654771741,2.95927049,3.406123162,3.732659243
32,US-IB2,2.788634323,2.651944652,2.749282197,2.607180191,2.602497184,2.714122052,2.468526546,2.509852084,2.774419132,2.767293954,2.736514606,2.062155849,2.607900839,2.93145427,2.975658146,3.010551859,2.914838454,2.890052112,3.022187471,2.951611843,2.798212314,2.787341413,3.012709923,2.741185082,2.804192638,2.958715007,2.612249824,2.707572874,2.9097557,2.8872923,2.883025719,2.157125693,2.87237889,3.14245721,3.171511521,3.196891887,3.074298017,3.032998635,3.142747513,3.133788961,2.879393185,2.927283821,3.19077369,2.885978176,2.960000951,3.103797071,2.748530368,2.824886372,3.035387551,3.010722147,2.996294725,2.131856857,2.955970507,3.271227763,3.300608098,3.332022363,3.184331342,3.123256951,3.248619861,3.245440434,2.816317437,2.893224923,3.266401879,3.012034827,3.071669784,3.18205576,2.840671853,2.893428029,3.123008328,3.105721263,3.063043062,2.976072733,3.022290973,2.85254474,3.111042494,3.217710989,3.054123609,2.641771505,3.260626551,3.255114392,3.404565903,2.887128488,2.693935163,2.639916405,1.813953041,2.817477409,2.257544971,2.785744806,3.22901775,3.183955966,3.304237302,3.163376182,3.52955747,3.184888475,3.184882541,3.365927358,3.115892393,3.003125043,2.999704956,3.159378224,3.141304279,3.408489927,3.327889074,3.216018873,3.450691809,3.504881682,3.438040046,3.646713527,3.468148104,3.427142411,3.428369667,3.10133626,2.87813498,2.871076099,3.385770579,3.399836185,2.713580176,3.1327459,3.370410929,3.386525835,3.513502429,3.075784631,3.121359193,3.430628401,3.210511546,3.288407202,2.803199512,3.056042785,3.376733793,3.605222891,3.397804744,3.46856621,3.629890754,3.33727909,3.207615412,3.339717381,3.563710506,3.600825738,2.048418325,3.130221286,3.423213343,3.055719834,3.261035922,3.329439836,3.531492176,3.481547992,3.550303351,3.015871736,3.491170474,3.574463056,3.662598474,3.517598769,3.451262867,2.940259722,3.345791584,2.600802669,3.11094782,3.691699827,3.558882485,3.817999297,3.7621557,3.711261132,3.077217066,3.173340868,3.612190261
33,US-Bar,2.292227886,2.080110175,2.066006867,2.249301603,2.14608881,2.239676865,2.186853363,2.132862706,2.320050565,2.179172261,2.15574271,2.270953839,2.383297536,2.374347539,2.228465377,2.283954002,2.144719657,2.251721945,2.085558582,2.184027571,2.228622597,2.053879158,2.053627467,2.239754956,2.155553973,2.251111537,2.203092051,2.152584734,2.341399917,2.198990306,2.180931817,2.295078722,2.406395478,2.392903235,2.245741084,2.304183251,2.167398143,2.272049589,2.106655061,2.208852021,2.256690447,2.072363893,2.078882246,2.284480203,2.169773836,2.271344592,2.219559595,2.185793333,2.36459973,2.258923142,2.20543189,2.323347786,2.440894288,2.433302643,2.304185668,2.356751099,2.223406556,2.326069285,2.171437172,2.271012595,2.326075118,2.126443535,2.137322801,2.360047749,2.219023513,2.32378564,2.272388275,2.24648271,2.434569678,2.338406173,2.271572477,2.517206068,2.29076969,2.343434678,2.353825396,2.470775852,2.162205291,2.488034396,2.322137388,2.387406258,2.368973391,2.458890312,2.428982218,2.342436272,2.428858286,2.403994591,2.592982122,2.380639132,2.605461705,2.302062146,2.367609994,2.461552235,2.496832978,2.221406467,2.384468134,2.639461916,2.652608713,2.435158324,2.60343124,2.579394975,2.406203483,2.531364168,2.446752863,2.57191805,2.508481735,2.437820937,2.403968575,2.555903088,2.602968259,2.394039354,2.545742134,2.516775931,2.503007618,2.487896262,2.536578822,2.343204675,2.472426171,2.395492788,2.651558194,2.530973642,2.555104531,2.519328918,2.472460155,2.806714479,2.615090996,2.551015403,2.693624473,2.650713283,2.543007606,2.739213075,2.667877473,2.776561408,2.669759194,2.825536216,2.768852519,2.670577258,2.885722735,2.905197939,2.805841849,2.692153482,2.971548599,2.860875656,2.793280421,2.848556098,2.89820359,2.949107013,2.866477223,2.743355066,3.110616746,2.969276956,3.067123943,2.975733746,2.89742079,2.826947696,2.982229865,2.906104518,3.034984162,2.97408092,2.99333174,3.105161123,3.332336159,3.021051123,3.28306671,3.077654828,3.024124028
34,CA-Obs,2.590331792,2.625150354,2.550383938,2.463168047,2.567094866,2.691392295,2.552875158,2.218767755,2.597749296,2.433671673,2.377246777,2.414461318,2.547821233,2.564649217,2.531050542,2.446593414,2.600124345,2.323074729,2.60360628,2.414629461,2.598671656,2.725328567,2.568055189,2.450653153,2.575016969,2.69416145,2.558059545,2.23339632,2.61140623,2.45409864,2.422114964,2.445469262,2.576412848,2.599227019,2.564114544,2.484706651,2.637157104,2.363303762,2.651741479,2.466145191,2.65892301,2.777387485,2.616953679,2.497504529,2.630850371,2.745576291,2.603013121,2.270773627,2.655146443,2.495666294,2.438587094,2.492932829,2.61403789,2.649858595,2.603534898,2.523537416,2.678058883,2.406483262,2.701474003,2.515352657,2.70580742,2.777985632,2.665764773,2.550064231,2.685932969,2.807824981,2.660986462,2.317772544,2.706291315,2.549670823,2.485756701,2.39121071,2.49957649,2.780123625,2.340098628,2.638650021,2.509836426,2.421142419,2.268381025,2.153829648,2.226283708,2.236029939,2.105498844,2.040664033,2.096998109,2.179917038,2.036877713,2.276424781,2.246526364,2.219957366,2.327440702,2.40278931,2.30388923,2.48949595,2.314743127,2.086353755,2.540376504,2.240248062,2.428534828,2.759372742,2.593337003,2.46277791,2.872947307,2.636427485,2.519005267,2.637205893,2.615619432,2.736638455,2.932193988,2.751730095,2.811653058,2.288357192,2.704830249,2.861299615,2.68744598,2.565077668,2.597294592,2.549431907,2.586779338,2.614567803,2.555907471,2.809490651,2.739597665,2.807948264,2.989527344,3.091828087,3.124296157,3.272874665,3.04434887,2.734596388,3.043801931,2.93241626,2.979941223,2.939776925,3.121257733,3.263343103,3.181259595,3.449722304,3.201093348,3.109279389,3.066425554,3.231293229,3.224562959,3.362814218,3.19323827,2.933702948,2.984016772,3.147074518,3.357666218,3.483430959,3.389913656,3.062166068,2.686624628,2.934521835,2.977888587,3.160969689,3.310266752,3.258691838,3.373157499,3.44737465,3.527341376,3.41646451,3.755688023,3.47911154,3.291933696
35,US-Ivo,1.944041731,1.573596893,1.777257709,1.208143032,1.094461946,1.326181005,1.429811374,1.942743021,1.665847117,1.943693163,1.838524589,1.839891015,1.921092409,1.644097251,2.136176302,2.000862612,1.645508588,1.867122865,1.064131309,1.622636135,1.867713541,1.548243516,1.787991696,1.219092161,1.104122848,1.342901127,1.446150988,1.953849247,1.684641044,1.949234781,1.844209999,1.855833315,1.937738336,1.668237897,2.152332175,2.023834264,1.671261322,1.894272237,1.096213648,1.655140317,1.902330126,1.578259511,1.802198622,1.241856935,1.130845186,1.353080694,1.461433987,1.980045722,1.710995559,1.955605881,1.848854919,1.890652738,1.974862103,1.680808063,2.206874985,2.060774231,1.69704936,1.914589885,1.11744519,1.64960283,1.903721368,1.589964227,1.800080441,1.265744132,1.153713944,1.376279086,1.485688963,2.009963541,1.733630712,1.968678919,1.857306216,2.04076493,2.343717376,2.136652339,2.127523306,2.147303547,1.951699469,2.124731108,1.435249401,1.765606025,2.106178243,1.849581487,1.832863484,1.410355673,1.479803961,1.507523474,1.964718981,1.542135091,2.194587739,2.11893851,1.45041467,1.719431267,2.007378405,2.153675065,1.910640199,1.765578153,1.84598862,1.608429004,1.981343535,2.299014219,1.375302599,1.993786941,1.863013074,2.313684053,2.104076993,1.796915821,1.70656146,1.43916493,1.795062087,1.88697114,2.043348637,2.307586989,1.743750656,2.312377775,2.152959515,2.194544724,1.969103027,2.286270748,2.099616397,1.152013253,1.381413352,1.731777753,1.84970959,2.197684088,1.730454645,1.249890149,1.178977892,1.520605769,1.333835475,1.850947207,2.035020448,2.126961584,1.901126064,1.168089857,1.554993889,1.25005865,1.177287141,1.342654157,1.518951096,1.839716508,1.50802312,1.732878372,1.548334308,2.049945108,1.982128562,2.182692539,2.017470097,1.709439062,2.040091128,2.194911749,2.170365983,2.111527388,2.394977561,2.17482983,1.818894437,2.521316961,2.754887401,2.036235678,1.961214773,1.940102886,1.644780793,2.41365303,2.472293874,1.920333751,2.117714159
36,US-Whs,1.67575812,1.705245979,1.532925036,1.312207724,1.426224732,1.462169746,1.654319784,1.473283121,1.005920239,1.456578376,1.352775884,1.439067797,0.714618801,1.624339908,1.04051759,1.229597028,1.576645597,1.788852437,1.543504977,1.75149955,1.186270897,1.720854736,1.563795229,1.304661753,1.427428238,1.470116465,1.668460086,1.482402042,1.015397435,1.462981655,1.364258117,1.44940247,0.718915437,1.639735321,1.051743531,1.244349546,1.583832644,1.800451375,1.578694837,1.748400127,1.198707559,1.738188094,1.57097058,1.318013007,1.434597508,1.481390505,1.676301297,1.498271382,1.021982238,1.470351136,1.552095149,1.37935849,0.699373719,1.65115998,1.063736375,1.24670002,1.587297291,1.804269928,1.594794434,1.747667151,1.210684126,1.746346927,1.581132547,1.328306067,1.444200678,1.492617028,1.690873045,1.525859525,1.028091793,1.481403569,1.575439907,1.261477347,1.4376506,1.121798683,1.11089299,1.273121428,1.198313681,1.681386075,1.091767774,1.527792467,1.723273048,1.677908429,1.541934568,1.865389663,1.173342108,1.541060041,1.204580037,1.627982002,1.327877449,1.530094444,1.542681325,1.796558193,1.351299774,1.227478027,1.144188974,1.084266743,1.365005751,1.160929036,1.112398459,1.358200241,0.929594481,1.032994461,1.130941453,1.100947167,1.141187279,1.412665593,1.003362193,1.079722044,1.330367201,1.18989978,0.973282278,0.709762895,1.417149853,1.110673012,0.941612114,1.316023227,1.377948008,0.866758258,1.617841902,0.81060506,1.394151304,1.069676457,1.368451131,1.393000328,1.081042582,1.499134794,1.371425835,1.131717039,1.631635892,1.396471674,1.066625601,0.916973014,0.824434279,2.000496624,1.973305497,1.960793652,1.923171956,1.746562015,1.640695312,1.157123393,1.23717186,1.707607322,2.128203268,1.392705829,1.469554039,1.916423152,1.135589164,1.042560835,1.666476629,1.200900046,1.071042928,1.870418228,1.136569863,1.056517754,1.577597815,1.632780234,1.126239608,1.606560985,1.414347533,1.170512553,1.60293328,0.969721233,0.904284952,1.032302868,1.452319383
37,US-Ses,1.113777539,1.194909111,0.690183636,0.81884615,1.39101749,1.227599014,1.181952961,1.035311401,1.026986316,1.330966255,1.446123252,1.165987944,0.996525305,1.136706197,0.756669977,1.300507771,1.04302626,1.34710781,1.295191428,1.198588917,0.993597103,1.137179709,0.677024552,0.807293964,1.389424552,1.243512964,1.193382311,1.04724231,1.035871306,1.346540585,1.462061788,1.180377698,1.009109162,1.148111848,0.768510732,1.320787576,1.059724223,1.370515866,1.317105207,1.21947624,1.009772404,1.15803609,0.692952085,0.826399883,1.414301654,1.255535722,1.208772212,1.063515277,1.052135144,1.368579727,1.484543342,1.195391007,1.025354317,1.162831469,0.782663112,1.34327616,1.079926494,1.395659257,1.344158552,1.239725932,1.03076852,1.188665847,0.724124638,0.85249912,1.446266301,1.284991475,1.233938503,1.088876912,1.081339202,1.409558565,1.518478832,1.308646746,0.745321553,0.753614765,0.83064145,0.630390623,1.231079478,1.218413804,1.130532008,1.162559202,0.800384709,1.520754017,1.020273004,1.055041943,1.010716806,1.24552674,1.419046777,0.992401348,1.047073924,1.276810042,1.311689813,1.326041134,1.415421794,1.223415263,1.102471338,0.996632244,0.763521444,0.428841706,0.935787667,1.031234586,1.11533293,0.505346775,0.759897696,1.083756007,0.642475814,0.94608477,0.35837295,0.921908366,1.188448902,1.350549789,0.950853547,0.583991623,1.406413719,1.171411104,1.057810702,0.870374092,0.939592677,1.060189971,1.387562509,1.27276135,0.782515464,1.122218523,1.336958758,1.62405873,0.728347646,0.867918529,1.597035457,1.32164683,1.338455273,1.103853692,1.275482743,1.251773016,1.142510968,1.289443214,1.319085743,1.68442292,1.57205916,1.596787437,1.373300906,1.265282976,1.383693602,1.253451482,1.22669973,1.374059251,1.496536025,1.389328717,1.244149424,1.818103025,1.545083497,1.816730705,1.337082124,1.377897484,1.225481183,1.299146976,1.626402463,1.70520837,1.575550702,1.736046571,1.034339118,1.73660519,1.575266926,0.320024539,0.528850866,0.751069924,1.349581365
